"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","external_gene_name"
"11365","ENSMUSG00000039257",0.232704506638801,0.990557871503994,1.64190619214065,0.603297482064151,0.54631080770928,NA,"Vstm2b"
"11366","ENSMUSG00000039262",1273.52784267822,0.03143953829057,0.115246733246805,0.272801991039878,0.785005428969112,0.879347666143536,"Prrc2b"
"11367","ENSMUSG00000039263",474.140569374951,-0.401180491747325,0.0997798340400423,-4.02065703563235,5.80360465580219e-05,0.00049979103563921,"Npepl1"
"11368","ENSMUSG00000039264",0.342068975598303,-0.798810678032286,1.41908867744957,-0.562903989529347,0.573500263419116,NA,"Gimap3"
"11369","ENSMUSG00000039269",0,NA,NA,NA,NA,NA,"2300002M23Rik"
"11370","ENSMUSG00000039270",46.444632773611,1.26470627308413,0.183212147454588,6.90296080612018,5.09296854043024e-12,2.1069660782824e-10,"Megf9"
"11371","ENSMUSG00000039275",245.986182117294,-0.177593723000887,0.0957407271142446,-1.85494437272207,0.0636041706130064,0.161780409249086,"Foxk2"
"11372","ENSMUSG00000039278",0.260937691581179,0.194229031296922,1.84715928720437,0.10515012573219,0.916256685143218,NA,"Pcsk1n"
"11373","ENSMUSG00000039285",115.115584848147,-0.133597923590432,0.140607355177276,-0.95014889812836,0.342036600132011,0.528273998726626,"Azi2"
"11374","ENSMUSG00000039286",96.7931035845128,0.353237425700197,0.13529599536176,2.61084908504272,0.00903177407508187,0.0357689616643142,"Fndc3b"
"11375","ENSMUSG00000039294",12.7338427206368,0.509316180349249,0.268932189016983,1.89384611121091,0.0582454390967363,0.151319803988581,"Cybc1"
"11376","ENSMUSG00000039296",0,NA,NA,NA,NA,NA,"Spdye4a"
"11377","ENSMUSG00000039298",78.0644693712209,-0.383318113203841,0.13775978548003,-2.78251096187578,0.00539400430926245,0.0233509614608979,"Cdk5rap2"
"11378","ENSMUSG00000039304",40.2914449630678,-1.10962174606763,0.301954089385801,-3.67480284279208,0.000238033153445163,0.00170099982938226,"Tnfsf10"
"11379","ENSMUSG00000039307",48.2313012083581,-0.202382808603366,0.191306872039702,-1.05789617720249,0.290102778215752,0.473908805544349,"Hexdc"
"11380","ENSMUSG00000039308",92.5124623617238,-0.603388330016155,0.13963619141163,-4.32114571384608,1.5522112303741e-05,0.000158306787658517,"Ndst2"
"11381","ENSMUSG00000039313",0.304126995878138,2.21544877779001,1.65462129932113,1.33894612543606,0.180588212181544,NA,"Minar1"
"11382","ENSMUSG00000039315",0.0434700000844963,-0.324027251485434,3.69742042616923,-0.0876360311075437,0.930165963655275,NA,"Clnk"
"11383","ENSMUSG00000039316",33.4236131974726,-0.10146330075805,0.200437392649117,-0.506209442345271,0.612709627090109,0.760827322567053,"Rftn1"
"11384","ENSMUSG00000039318",116.463608969421,0.721190583376151,0.111319027948341,6.47859217483311,9.25823672210443e-11,3.10059082603969e-09,"Rab3gap2"
