Interval,Sample #,Date/Time,Light/Dark,Start Time,End Time,Duration (s),Weight (g),Accumulated (g),
5,1,9/8/2015 2:25:24 PM,Light,9/8/2015 2:10:00 PM,9/8/2015 2:25:14 PM,914,-0.04,-0.04,
6,2,9/8/2015 2:36:15 PM,Light,9/8/2015 2:25:55 PM,9/8/2015 2:36:04 PM,609,-0.08,-0.13,
6,3,9/8/2015 2:42:15 PM,Light,9/8/2015 2:36:26 PM,9/8/2015 2:42:04 PM,338,0.11,-0.02,
6,4,9/8/2015 2:42:43 PM,Light,9/8/2015 2:42:17 PM,9/8/2015 2:42:32 PM,15,-0.08,-0.10,
6,5,9/8/2015 2:47:18 PM,Light,9/8/2015 2:42:54 PM,9/8/2015 2:47:07 PM,253,0.06,-0.04,
6,6,9/8/2015 2:47:34 PM,Light,9/8/2015 2:47:19 PM,9/8/2015 2:47:24 PM,5,0.03,-0.01,
7,7,9/8/2015 3:03:43 PM,Light,9/8/2015 2:47:37 PM,9/8/2015 3:03:32 PM,955,-0.11,-0.13,
7,8,9/8/2015 3:13:13 PM,Light,9/8/2015 3:03:47 PM,9/8/2015 3:13:02 PM,555,-0.08,-0.21,
7,9,9/8/2015 3:14:08 PM,Light,9/8/2015 3:13:14 PM,9/8/2015 3:13:57 PM,43,0.06,-0.15,
8,10,9/8/2015 3:40:17 PM,Light,9/8/2015 3:22:01 PM,9/8/2015 3:40:06 PM,1085,0.04,-0.10,
10,11,9/8/2015 4:23:55 PM,Light,9/8/2015 4:07:06 PM,9/8/2015 4:23:45 PM,999,-0.11,-0.21,
11,12,9/8/2015 4:37:46 PM,Light,9/8/2015 4:23:58 PM,9/8/2015 4:37:35 PM,817,-0.07,-0.29,
11,13,9/8/2015 4:38:13 PM,Light,9/8/2015 4:37:47 PM,9/8/2015 4:38:02 PM,15,0.07,-0.21,
11,14,9/8/2015 4:38:53 PM,Light,9/8/2015 4:38:16 PM,9/8/2015 4:38:42 PM,26,0.08,-0.13,
11,15,9/8/2015 4:43:08 PM,Light,9/8/2015 4:41:44 PM,9/8/2015 4:42:58 PM,74,-0.04,-0.17,
11,16,9/8/2015 4:47:40 PM,Light,9/8/2015 4:43:18 PM,9/8/2015 4:47:30 PM,252,-0.03,-0.20,
