Interval,Sample #,Date/Time,Light/Dark,Start Time,End Time,Duration (s),Weight (g),Accumulated (g),
45,48,11/13/2015 5:12:48 PM,Light,5/14/1981 5:08:00 PM,5/14/1981 5:12:37 PM,277,0.06,0.34,
46,49,11/13/2015 5:20:51 PM,Light,5/14/1981 5:13:04 PM,5/14/1981 5:20:40 PM,456,-0.04,0.30,
47,50,11/13/2015 5:28:59 PM,Light,5/14/1981 5:22:10 PM,5/14/1981 5:28:49 PM,399,0.11,0.41,
48,51,11/13/2015 5:44:56 PM,Light,5/14/1981 5:41:56 PM,5/14/1981 5:44:45 PM,169,-0.11,0.31,
49,52,11/13/2015 5:47:52 PM,Light,5/14/1981 5:45:24 PM,5/14/1981 5:47:41 PM,137,0.09,0.40,
49,53,11/13/2015 5:51:22 PM,Light,5/14/1981 5:48:49 PM,5/14/1981 5:51:12 PM,143,0.07,0.46,
50,54,11/13/2015 5:59:36 PM,Light,5/14/1981 5:56:05 PM,5/14/1981 5:59:25 PM,200,-0.12,0.35,
52,55,11/13/2015 6:22:30 PM,Light,5/14/1981 6:10:37 PM,5/14/1981 6:22:19 PM,702,0.10,0.45,
52,56,11/13/2015 6:24:26 PM,Light,5/14/1981 6:24:11 PM,5/14/1981 6:24:16 PM,5,-0.03,0.42,
55,57,11/13/2015 6:53:11 PM,Light,5/14/1981 6:47:42 PM,5/14/1981 6:53:01 PM,319,0.11,0.52,
56,58,11/13/2015 7:00:36 PM,Dark,5/14/1981 6:55:10 PM,5/14/1981 7:00:25 PM,315,0.05,0.58,
58,59,11/13/2015 7:15:39 PM,Dark,5/14/1981 7:10:17 PM,5/14/1981 7:15:28 PM,311,0.06,0.63,
60,60,11/13/2015 7:37:26 PM,Dark,5/14/1981 7:32:34 PM,5/14/1981 7:37:16 PM,282,-0.03,0.60,
61,61,11/13/2015 7:47:09 PM,Dark,5/14/1981 7:46:05 PM,5/14/1981 7:46:58 PM,53,0.09,0.69,
62,62,11/13/2015 7:52:55 PM,Dark,5/14/1981 7:47:20 PM,5/14/1981 7:52:45 PM,325,-0.11,0.58,
62,63,11/13/2015 7:57:56 PM,Dark,5/14/1981 7:53:07 PM,5/14/1981 7:57:46 PM,279,0.10,0.68,
62,64,11/13/2015 7:59:46 PM,Dark,5/14/1981 7:58:08 PM,5/14/1981 7:59:35 PM,87,-0.12,0.57,
63,65,11/13/2015 8:07:50 PM,Dark,5/14/1981 8:01:15 PM,5/14/1981 8:07:39 PM,384,-0.06,0.51,
65,66,11/13/2015 8:29:10 PM,Dark,5/14/1981 8:08:21 PM,5/14/1981 8:29:00 PM,1239,0.04,0.55,
66,67,11/13/2015 8:36:36 PM,Dark,5/14/1981 8:30:47 PM,5/14/1981 8:36:25 PM,338,0.05,0.60,
67,68,11/13/2015 8:44:04 PM,Dark,5/14/1981 8:37:35 PM,5/14/1981 8:43:54 PM,379,-0.04,0.56,
70,69,11/13/2015 9:12:59 PM,Dark,5/14/1981 8:59:22 PM,5/14/1981 9:12:49 PM,807,0.11,0.67,
71,70,11/13/2015 9:21:50 PM,Dark,5/14/1981 9:20:27 PM,5/14/1981 9:21:39 PM,72,-0.10,0.57,
71,71,11/13/2015 9:26:49 PM,Dark,5/14/1981 9:21:52 PM,5/14/1981 9:26:38 PM,286,0.11,0.68,
72,72,11/13/2015 9:33:49 PM,Dark,5/14/1981 9:27:36 PM,5/14/1981 9:33:39 PM,363,0.07,0.75,
73,73,11/13/2015 9:41:24 PM,Dark,5/14/1981 9:35:34 PM,5/14/1981 9:41:14 PM,340,-0.09,0.66,
74,74,11/13/2015 9:49:17 PM,Dark,5/14/1981 9:42:16 PM,5/14/1981 9:49:06 PM,410,0.07,0.73,
75,75,11/13/2015 10:03:16 PM,Dark,5/14/1981 9:56:31 PM,5/14/1981 10:03:06 PM,395,-0.08,0.65,
76,76,11/13/2015 10:10:06 PM,Dark,5/14/1981 10:04:03 PM,5/14/1981 10:09:56 PM,353,0.08,0.73,
76,77,11/13/2015 10:11:49 PM,Dark,5/14/1981 10:10:43 PM,5/14/1981 10:11:39 PM,56,-0.15,0.58,
77,78,11/13/2015 10:20:00 PM,Dark,5/14/1981 10:12:16 PM,5/14/1981 10:19:49 PM,453,0.13,0.71,
81,79,11/13/2015 10:53:52 PM,Dark,5/14/1981 10:41:00 PM,5/14/1981 10:53:41 PM,761,0.03,0.75,
81,80,11/13/2015 11:01:42 PM,Dark,5/14/1981 10:55:30 PM,5/14/1981 11:01:31 PM,361,0.03,0.78,
82,81,11/13/2015 11:08:37 PM,Dark,5/14/1981 11:03:12 PM,5/14/1981 11:08:26 PM,314,0.11,0.88,
84,82,11/13/2015 11:23:27 PM,Dark,5/14/1981 11:18:44 PM,5/14/1981 11:23:17 PM,273,0.07,0.95,
84,83,11/13/2015 11:30:54 PM,Dark,5/14/1981 11:25:31 PM,5/14/1981 11:30:43 PM,312,-0.05,0.90,
87,84,11/13/2015 11:59:21 PM,Dark,5/14/1981 11:54:04 PM,5/14/1981 11:59:10 PM,306,0.04,0.93,
88,85,11/14/2015 12:06:41 AM,Dark,5/14/1981 12:01:45 AM,5/14/1981 12:06:30 AM,285,-0.06,0.87,
89,86,11/14/2015 12:15:08 AM,Dark,5/14/1981 12:08:28 AM,5/14/1981 12:14:57 AM,389,-0.04,0.84,
90,87,11/14/2015 12:21:43 AM,Dark,5/14/1981 12:15:38 AM,5/15/1981 12:21:33 AM,355,0.05,0.89,
92,88,11/14/2015 12:44:58 AM,Dark,5/15/1981 12:43:57 AM,5/15/1981 12:44:47 AM,50,0.04,0.93,
94,89,11/14/2015 1:00:13 AM,Dark,5/15/1981 12:59:00 AM,5/15/1981 1:00:03 AM,63,0.06,0.99,
94,90,11/14/2015 1:04:35 AM,Dark,5/15/1981 1:00:25 AM,5/15/1981 1:04:24 AM,239,-0.11,0.88,
