Interval,Sample #,Date/Time,Light/Dark,Start Time,End Time,Duration (s),Weight (g),Accumulated (g),
6,1,10/26/2015 11:52:01 AM,Light,10/26/2015 11:51:39 AM,10/26/2015 11:51:49 AM,10,0.06,0.06,
37,2,10/26/2015 4:50:11 PM,Light,10/26/2015 4:49:56 PM,10/26/2015 4:50:00 PM,4,-0.03,0.02,
39,3,10/26/2015 5:13:43 PM,Light,10/26/2015 5:13:26 PM,10/26/2015 5:13:32 PM,6,-0.05,-0.03,
40,4,10/26/2015 5:22:20 PM,Light,10/26/2015 5:22:03 PM,10/26/2015 5:22:09 PM,6,-0.17,-0.20,
40,5,10/26/2015 5:23:04 PM,Light,10/26/2015 5:22:20 PM,10/26/2015 5:22:54 PM,34,0.14,-0.05,
44,6,10/26/2015 6:01:23 PM,Light,10/26/2015 6:01:07 PM,10/26/2015 6:01:13 PM,6,0.05,-0.01,
54,7,10/26/2015 7:34:01 PM,Dark,10/26/2015 7:33:23 PM,10/26/2015 7:33:50 PM,27,-0.05,-0.06,
58,8,10/26/2015 8:13:32 PM,Dark,10/26/2015 8:13:18 PM,10/26/2015 8:13:22 PM,4,0.04,-0.02,
59,9,10/26/2015 8:18:38 PM,Dark,10/26/2015 8:17:50 PM,10/26/2015 8:18:28 PM,38,0.03,0.01,
61,10,10/26/2015 8:39:06 PM,Dark,10/26/2015 8:38:50 PM,10/26/2015 8:38:56 PM,6,0.10,0.11,
64,11,10/26/2015 9:06:45 PM,Dark,10/26/2015 9:06:27 PM,10/26/2015 9:06:35 PM,8,-0.12,-0.01,
71,12,10/26/2015 10:20:06 PM,Dark,10/26/2015 10:19:35 PM,10/26/2015 10:19:56 PM,21,-0.03,-0.04,
77,13,10/26/2015 11:15:37 PM,Dark,10/26/2015 11:15:14 PM,10/26/2015 11:15:27 PM,13,0.03,-0.01,
78,14,10/26/2015 11:21:27 PM,Dark,10/26/2015 11:21:08 PM,10/26/2015 11:21:16 PM,8,-0.05,-0.06,
80,15,10/26/2015 11:42:50 PM,Dark,10/26/2015 11:40:13 PM,10/26/2015 11:42:39 PM,146,0.06,0.00,
80,16,10/26/2015 11:44:18 PM,Dark,10/26/2015 11:42:51 PM,10/26/2015 11:44:08 PM,77,0.04,0.04,
80,17,10/26/2015 11:47:37 PM,Dark,10/26/2015 11:44:44 PM,10/26/2015 11:47:26 PM,162,0.09,0.14,
86,18,10/27/2015 12:39:47 AM,Dark,10/27/2015 12:37:25 AM,10/27/2015 12:39:37 AM,132,0.08,0.21,
88,19,10/27/2015 1:00:24 AM,Dark,10/27/2015 12:58:13 AM,10/27/2015 1:00:13 AM,120,0.05,0.26,
89,20,10/27/2015 1:10:40 AM,Dark,10/27/2015 1:07:39 AM,10/27/2015 1:10:30 AM,171,0.09,0.36,
89,21,10/27/2015 1:12:05 AM,Dark,10/27/2015 1:11:05 AM,10/27/2015 1:11:55 AM,50,-0.04,0.32,
92,22,10/27/2015 1:41:23 AM,Dark,10/27/2015 1:41:01 AM,10/27/2015 1:41:13 AM,12,0.05,0.37,
93,23,10/27/2015 1:47:11 AM,Dark,10/27/2015 1:46:39 AM,10/27/2015 1:47:01 AM,22,-0.03,0.34,
93,24,10/27/2015 1:50:51 AM,Dark,10/27/2015 1:50:08 AM,10/27/2015 1:50:40 AM,32,0.04,0.39,
95,25,10/27/2015 2:02:44 AM,Dark,10/27/2015 1:57:40 AM,10/27/2015 2:02:34 AM,294,0.22,0.61,
95,26,10/27/2015 2:07:16 AM,Dark,10/27/2015 2:06:58 AM,10/27/2015 2:07:05 AM,7,-0.04,0.57,
96,27,10/27/2015 2:19:08 AM,Dark,10/27/2015 2:14:57 AM,10/27/2015 2:18:57 AM,240,0.13,0.70,
97,28,10/27/2015 2:24:11 AM,Dark,10/27/2015 2:19:22 AM,10/27/2015 2:24:00 AM,278,0.20,0.91,
108,29,10/27/2015 4:10:02 AM,Dark,10/27/2015 4:09:14 AM,10/27/2015 4:09:51 AM,37,0.04,0.95,
112,30,10/27/2015 4:49:25 AM,Dark,10/27/2015 4:45:43 AM,10/27/2015 4:49:15 AM,212,0.03,0.98,
113,31,10/27/2015 5:02:07 AM,Dark,10/27/2015 4:56:46 AM,10/27/2015 5:01:56 AM,310,0.13,1.11,
114,32,10/27/2015 5:11:24 AM,Dark,10/27/2015 5:05:26 AM,10/27/2015 5:11:14 AM,348,0.19,1.30,
116,33,10/27/2015 5:29:35 AM,Dark,10/27/2015 5:27:40 AM,10/27/2015 5:29:24 AM,104,0.16,1.45,
116,34,10/27/2015 5:31:22 AM,Dark,10/27/2015 5:30:27 AM,10/27/2015 5:31:12 AM,45,0.06,1.52,
116,35,10/27/2015 5:32:42 AM,Dark,10/27/2015 5:31:28 AM,10/27/2015 5:32:31 AM,63,0.07,1.59,
117,36,10/27/2015 5:33:45 AM,Dark,10/27/2015 5:32:54 AM,10/27/2015 5:33:35 AM,41,0.08,1.67,
119,37,10/27/2015 5:53:27 AM,Dark,10/27/2015 5:49:45 AM,10/27/2015 5:53:17 AM,212,0.17,1.84,
126,38,10/27/2015 7:05:12 AM,Light,10/27/2015 7:04:50 AM,10/27/2015 7:05:01 AM,11,-0.07,1.77,
128,39,10/27/2015 7:21:51 AM,Light,10/27/2015 7:21:18 AM,10/27/2015 7:21:41 AM,23,0.47,2.24,
141,40,10/27/2015 9:25:43 AM,Light,10/27/2015 9:25:28 AM,10/27/2015 9:25:33 AM,5,-0.04,2.20,
149,41,10/27/2015 10:44:01 AM,Light,10/27/2015 10:42:57 AM,10/27/2015 10:43:51 AM,54,0.05,2.25,
167,42,10/27/2015 1:37:33 PM,Light,10/27/2015 1:37:17 PM,10/27/2015 1:37:22 PM,5,-0.03,2.22,
169,43,10/27/2015 1:50:56 PM,Light,10/27/2015 1:47:51 PM,10/27/2015 1:50:46 PM,175,0.14,2.36,
176,44,10/27/2015 2:59:25 PM,Light,10/27/2015 2:58:07 PM,10/27/2015 2:59:15 PM,68,0.09,2.45,
176,45,10/27/2015 3:01:41 PM,Light,10/27/2015 2:59:34 PM,10/27/2015 3:01:30 PM,116,0.07,2.53,
180,46,10/27/2015 3:35:52 PM,Light,10/27/2015 3:35:41 PM,10/27/2015 3:35:42 PM,1,-0.04,2.49,
186,47,10/27/2015 4:37:42 PM,Light,10/27/2015 4:34:20 PM,10/27/2015 4:37:32 PM,192,0.13,2.62,
186,48,10/27/2015 4:39:17 PM,Light,10/27/2015 4:39:03 PM,10/27/2015 4:39:07 PM,4,0.09,2.71,
186,49,10/27/2015 4:41:25 PM,Light,10/27/2015 4:41:03 PM,10/27/2015 4:41:14 PM,11,-0.03,2.67,
187,50,10/27/2015 4:47:26 PM,Light,10/27/2015 4:47:10 PM,10/27/2015 4:47:15 PM,5,0.04,2.72,
193,51,10/27/2015 5:44:58 PM,Light,10/27/2015 5:42:49 PM,10/27/2015 5:44:47 PM,118,0.13,2.85,
197,52,10/27/2015 6:23:14 PM,Light,10/27/2015 6:20:17 PM,10/27/2015 6:23:03 PM,166,0.06,2.91,
200,53,10/27/2015 6:53:12 PM,Light,10/27/2015 6:49:49 PM,10/27/2015 6:53:02 PM,193,0.21,3.12,
202,54,10/27/2015 7:13:47 PM,Dark,10/27/2015 7:13:29 PM,10/27/2015 7:13:37 PM,8,-0.04,3.07,
203,55,10/27/2015 7:17:24 PM,Dark,10/27/2015 7:17:05 PM,10/27/2015 7:17:13 PM,8,0.08,3.15,
203,56,10/27/2015 7:20:16 PM,Dark,10/27/2015 7:17:49 PM,10/27/2015 7:20:05 PM,136,0.04,3.19,
203,57,10/27/2015 7:21:18 PM,Dark,10/27/2015 7:20:50 PM,10/27/2015 7:21:07 PM,17,0.09,3.27,
204,58,10/27/2015 7:33:47 PM,Dark,10/27/2015 7:33:26 PM,10/27/2015 7:33:36 PM,10,-0.05,3.23,
205,59,10/27/2015 7:39:30 PM,Dark,10/27/2015 7:37:06 PM,10/27/2015 7:39:19 PM,133,0.11,3.34,
205,60,10/27/2015 7:42:07 PM,Dark,10/27/2015 7:41:33 PM,10/27/2015 7:41:56 PM,23,-0.05,3.29,
206,61,10/27/2015 7:43:58 PM,Dark,10/27/2015 7:43:42 PM,10/27/2015 7:43:47 PM,5,0.04,3.33,
207,62,10/27/2015 8:00:35 PM,Dark,10/27/2015 7:57:22 PM,10/27/2015 8:00:25 PM,183,0.08,3.41,
211,63,10/27/2015 8:35:38 PM,Dark,10/27/2015 8:34:39 PM,10/27/2015 8:35:27 PM,48,0.11,3.52,
211,64,10/27/2015 8:38:14 PM,Dark,10/27/2015 8:35:42 PM,10/27/2015 8:38:04 PM,142,0.06,3.58,
215,65,10/27/2015 9:15:30 PM,Dark,10/27/2015 9:14:01 PM,10/27/2015 9:15:19 PM,78,0.04,3.62,
215,66,10/27/2015 9:18:27 PM,Dark,10/27/2015 9:15:44 PM,10/27/2015 9:18:17 PM,153,0.15,3.77,
221,67,10/27/2015 10:10:23 PM,Dark,10/27/2015 10:09:35 PM,10/27/2015 10:10:12 PM,37,0.08,3.85,
221,68,10/27/2015 10:11:54 PM,Dark,10/27/2015 10:10:36 PM,10/27/2015 10:11:43 PM,67,0.09,3.94,
224,69,10/27/2015 10:39:45 PM,Dark,10/27/2015 10:37:23 PM,10/27/2015 10:39:35 PM,132,0.11,4.05,
227,70,10/27/2015 11:07:36 PM,Dark,10/27/2015 11:06:38 PM,10/27/2015 11:07:25 PM,47,0.05,4.10,
229,71,10/27/2015 11:32:02 PM,Dark,10/27/2015 11:30:57 PM,10/27/2015 11:31:51 PM,54,0.04,4.14,
230,72,10/27/2015 11:32:51 PM,Dark,10/27/2015 11:32:02 PM,10/27/2015 11:32:41 PM,39,0.06,4.20,
230,73,10/27/2015 11:34:41 PM,Dark,10/27/2015 11:32:53 PM,10/27/2015 11:34:30 PM,97,0.08,4.28,
233,74,10/28/2015 12:11:39 AM,Dark,10/28/2015 12:10:13 AM,10/28/2015 12:11:29 AM,76,1.11,5.39,
252,75,10/28/2015 3:05:45 AM,Dark,10/28/2015 3:05:29 AM,10/28/2015 3:05:34 AM,5,-0.03,5.36,
262,76,10/28/2015 4:41:04 AM,Dark,10/28/2015 4:40:48 AM,10/28/2015 4:40:54 AM,6,0.04,5.39,
262,77,10/28/2015 4:45:17 AM,Dark,10/28/2015 4:41:10 AM,10/28/2015 4:45:07 AM,237,0.20,5.59,
265,78,10/28/2015 5:09:24 AM,Dark,10/28/2015 5:09:00 AM,10/28/2015 5:09:13 AM,13,0.04,5.63,
267,79,10/28/2015 5:27:24 AM,Dark,10/28/2015 5:27:06 AM,10/28/2015 5:27:14 AM,8,-0.03,5.60,
267,80,10/28/2015 5:32:59 AM,Dark,10/28/2015 5:30:26 AM,10/28/2015 5:32:49 AM,143,0.04,5.64,
267,81,10/28/2015 5:34:37 AM,Dark,10/28/2015 5:33:03 AM,10/28/2015 5:34:27 AM,84,0.10,5.74,
272,82,10/28/2015 6:18:15 AM,Dark,10/28/2015 6:16:31 AM,10/28/2015 6:18:04 AM,93,0.08,5.82,
272,83,10/28/2015 6:18:46 AM,Dark,10/28/2015 6:18:18 AM,10/28/2015 6:18:36 AM,18,0.41,6.23,
298,84,10/28/2015 10:28:29 AM,Light,10/28/2015 10:28:10 AM,10/28/2015 10:28:18 AM,8,-0.05,6.18,
298,85,10/28/2015 10:30:03 AM,Light,10/28/2015 10:29:04 AM,10/28/2015 10:29:52 AM,48,0.04,6.22,
298,86,10/28/2015 10:31:01 AM,Light,10/28/2015 10:30:07 AM,10/28/2015 10:30:50 AM,43,0.07,6.29,
306,87,10/28/2015 11:40:52 AM,Light,10/28/2015 11:36:30 AM,10/28/2015 11:40:42 AM,252,0.18,6.47,
306,88,10/28/2015 11:41:58 AM,Light,10/28/2015 11:40:54 AM,10/28/2015 11:41:47 AM,53,0.08,6.55,
