"","Cause_of_Death","Genotype","age","strain"
"141","Sacrificed","fl/fl; ?",53,"Muscle TSC1"
"142","Sacrificed","fl/fl; Tg/+",273,"Muscle TSC1"
"143","Sacrificed","fl/fl; +/+",212,"Muscle TSC1"
"144","Sacrificed","fl/fl; Tg/+",273,"Muscle TSC1"
"145","Sacrificed","fl/fl; ?",810,"Muscle TSC1"
"146","Sacrificed","fl/fl; Tg/+",209,"Muscle TSC1"
"147","Unknown","fl/fl; ?",1,"Muscle TSC1"
"148","Sacrificed","fl/fl; ?",40,"Muscle TSC1"
"149","Sacrificed","fl/fl; ?",40,"Muscle TSC1"
"150","Sacrificed","fl/fl; ?",40,"Muscle TSC1"
"151","Sacrificed","fl/fl; +/+",273,"Muscle TSC1"
"152","Sacrificed","fl/fl; +/+",273,"Muscle TSC1"
"153","Sacrificed","fl/fl; Tg/+",209,"Muscle TSC1"
"154","Sacrificed","fl/fl; +/+",209,"Muscle TSC1"
"155","Sacrificed","fl/fl; +/+",209,"Muscle TSC1"
"156","Sacrificed","fl/fl; +/+",209,"Muscle TSC1"
"157","Sacrificed","fl/fl; +/+",270,"Muscle TSC1"
"158","Sacrificed","fl/fl; ?",37,"Muscle TSC1"
"159","Unknown","fl/fl; Tg/+",292,"Muscle TSC1"
"160","Unknown","fl/fl; Tg/+",309,"Muscle TSC1"
"161","Unknown","fl/fl; +/+",869,"Muscle TSC1"
"162","Unknown","fl/fl; Tg/+",586,"Muscle TSC1"
"163","Unknown","fl/fl; Tg/+",638,"Muscle TSC1"
"164","Sacrificed","fl/fl; ?",37,"Muscle TSC1"
"165","Sacrificed","fl/fl; ?",37,"Muscle TSC1"
"166","Sacrificed","fl/fl; ?",37,"Muscle TSC1"
"167","Sacrificed","fl/fl; ?",37,"Muscle TSC1"
"168","Sacrificed","fl/fl; ?",37,"Muscle TSC1"
"169","Sacrificed","fl/fl; ?",37,"Muscle TSC1"
"170","Accidental","fl/fl; Tg/+",137,"Muscle TSC1"
"171","Sacrificed","fl/fl; ?",35,"Muscle TSC1"
"172","Sacrificed","fl/fl; ?",35,"Muscle TSC1"
"173","Sacrificed","fl/fl; ?",34,"Muscle TSC1"
"174","Sacrificed","fl/fl; ?",34,"Muscle TSC1"
"175","Sacrificed","fl/fl; ?",34,"Muscle TSC1"
"176","Unknown","fl/fl; Tg/+",244,"Muscle TSC1"
"177","Accidental","fl/fl; Tg/+",147,"Muscle TSC1"
"178","Sacrificed","fl/fl; Tg/+",267,"Muscle TSC1"
"179","Sacrificed","fl/fl; Tg/+",257,"Muscle TSC1"
"180","Sacrificed","fl/fl; Tg/+",62,"Muscle TSC1"
"181","Sacrificed","fl/fl; Tg/+",62,"Muscle TSC1"
"182","Sacrificed","fl/fl; +/+",318,"Muscle TSC1"
"183","Sacrificed","fl/fl; Tg/+",318,"Muscle TSC1"
"184","Sacrificed","fl/fl; +/+",318,"Muscle TSC1"
"185","Accidental","fl/fl; +/+",126,"Muscle TSC1"
"186","Sacrificed","fl/fl; Tg/+",317,"Muscle TSC1"
"187","Sacrificed","fl/fl; +/+",317,"Muscle TSC1"
"188","Sacrificed","fl/fl; +/+",317,"Muscle TSC1"
"189","Sacrificed","fl/fl; +/+",317,"Muscle TSC1"
"190","Sacrificed","fl/fl; +/+",317,"Muscle TSC1"
"191","Sacrificed","fl/fl; +/+",317,"Muscle TSC1"
"192","Sacrificed","fl/fl; Tg/+",316,"Muscle TSC1"
"193","Sacrificed","fl/fl; +/+",316,"Muscle TSC1"
"194","Sacrificed","fl/fl; +/+",316,"Muscle TSC1"
"195","Sacrificed","fl/fl; +/+",316,"Muscle TSC1"
"196","Sacrificed","fl/fl; +/+",316,"Muscle TSC1"
"197","Sacrificed","fl/fl; ?",26,"Muscle TSC1"
"198","Sacrificed","fl/fl; ?",26,"Muscle TSC1"
"199","Sacrificed","fl/fl; ?",26,"Muscle TSC1"
"200","Sacrificed","fl/fl; ?",26,"Muscle TSC1"
"201","Accidental","fl/fl; Tg/+",123,"Muscle TSC1"
"202","Sacrificed","fl/fl; +/+",243,"Muscle TSC1"
"203","Sacrificed","fl/fl; Tg/+",314,"Muscle TSC1"
"204","Sacrificed","fl/fl; +/+",314,"Muscle TSC1"
"205","Sacrificed","fl/fl; +/+",314,"Muscle TSC1"
"206","Sacrificed","fl/fl; ?",24,"Muscle TSC1"
"207","Sacrificed","fl/fl; ?",24,"Muscle TSC1"
"208","Sacrificed","fl/fl; ?",24,"Muscle TSC1"
"209","Sacrificed","fl/fl; ?",24,"Muscle TSC1"
"210","Sacrificed","fl/fl; ?",24,"Muscle TSC1"
"211","Sacrificed","fl/fl; ?",24,"Muscle TSC1"
"212","Sacrificed","fl/fl; ?",24,"Muscle TSC1"
"213","Sacrificed","fl/fl; ?",8,"Muscle TSC1"
"214","Sacrificed","fl/fl; +/+",297,"Muscle TSC1"
"215","Sacrificed","fl/fl; +/+",297,"Muscle TSC1"
"216","Sacrificed","fl/fl; Tg/+",297,"Muscle TSC1"
"217","Sacrificed","fl/fl; +/+",297,"Muscle TSC1"
"218","Sacrificed","fl/fl; Tg/+",41,"Muscle TSC1"
"219","Sacrificed","fl/fl; +/+",41,"Muscle TSC1"
"220","Sacrificed","fl/fl; +/+",41,"Muscle TSC1"
"221","Sacrificed","fl/fl; +/+",223,"Muscle TSC1"
"222","Sacrificed","fl/fl; +/+",223,"Muscle TSC1"
"223","Unknown","fl/fl; +/+",132,"Muscle TSC1"
"224","Sacrificed","fl/fl; ?",38,"Muscle TSC1"
"225","Sacrificed","fl/fl; ?",38,"Muscle TSC1"
"226","Sacrificed","fl/fl; ?",38,"Muscle TSC1"
"227","Sacrificed","fl/fl; ?",61,"Muscle TSC1"
"228","Sacrificed","fl/fl; ?",61,"Muscle TSC1"
"229","Sacrificed","fl/fl; ?",61,"Muscle TSC1"
"230","Sacrificed","fl/fl; ?",61,"Muscle TSC1"
"231","Sacrificed","fl/fl; ?",61,"Muscle TSC1"
"232","Sacrificed","fl/fl; ?",65,"Muscle TSC1"
"233","Sacrificed","fl/fl; ?",65,"Muscle TSC1"
"234","Sacrificed","fl/fl; ?",65,"Muscle TSC1"
"235","Sacrificed","fl/fl; ?",65,"Muscle TSC1"
"236","Sacrificed","fl/fl; ?",65,"Muscle TSC1"
"237","Sacrificed","fl/fl; ?",65,"Muscle TSC1"
"238","Sacrificed","fl/fl; ?",65,"Muscle TSC1"
"239","Sacrificed","fl/fl; ?",65,"Muscle TSC1"
"240","Sacrificed","+/+",106,"Muscle TSC1"
"241","Sacrificed","fl/fl; +/+",106,"Muscle TSC1"
"242","Sacrificed","fl/+; ?",27,"Muscle TSC1"
"243","Sacrificed","fl/fl; Tg/+",204,"Muscle TSC1"
"244","Sacrificed","fl/fl; Tg/+",204,"Muscle TSC1"
"245","Sacrificed","fl/fl; Tg/+",204,"Muscle TSC1"
"246","Sacrificed","fl/+; +/+",204,"Muscle TSC1"
"247","Sacrificed","fl/+; +/+",204,"Muscle TSC1"
"248","Estimated","fl/fl; +/+",468,"Muscle TSC1"
"249","Sacrificed","fl/fl; +/+",204,"Muscle TSC1"
"250","Sacrificed","fl/fl; +/+",204,"Muscle TSC1"
"251","Sacrificed","fl/fl; +/+",62,"Muscle TSC1"
"252","Sacrificed","fl/fl; +/+",62,"Muscle TSC1"
"253","Sacrificed","fl/fl; +/+",62,"Muscle TSC1"
"254","Estimated","fl/fl; Tg/+",62,"Muscle TSC1"
"255","Sacrificed","fl/fl; ?",47,"Muscle TSC1"
"256","Sacrificed","fl/fl; ?",47,"Muscle TSC1"
"257","Sacrificed","fl/fl; ?",47,"Muscle TSC1"
"258","Sacrificed","fl/fl; ?",47,"Muscle TSC1"
"259","Sacrificed","fl/fl; ?",47,"Muscle TSC1"
"260","Sacrificed","fl/fl; +/+",202,"Muscle TSC1"
"261","Sacrificed","fl/fl; +/+",202,"Muscle TSC1"
"262","Sacrificed","fl/fl; Tg/+",202,"Muscle TSC1"
"263","Sacrificed","fl/fl; Tg/+",202,"Muscle TSC1"
"264","Sacrificed","fl/fl; Tg/+",202,"Muscle TSC1"
"265","Estimated","fl/fl; Tg/+",464,"Muscle TSC1"
"266","Sacrificed","fl/fl; Tg/+",200,"Muscle TSC1"
"267","Sacrificed","fl/fl; +/+",131,"Muscle TSC1"
"268","Sacrificed","fl/fl; Tg/+",200,"Muscle TSC1"
"269","Sacrificed","fl/fl; +/+",131,"Muscle TSC1"
"270","Sacrificed","fl/fl; ?",34,"Muscle TSC1"
"271","Sacrificed","fl/fl; ?",34,"Muscle TSC1"
"272","Sacrificed","fl/fl; Tg/+",196,"Muscle TSC1"
"273","Sacrificed","fl/fl; +/+",196,"Muscle TSC1"
"274","Sacrificed","fl/fl; +/+",196,"Muscle TSC1"
"275","Sacrificed","fl/fl; Tg/+",124,"Muscle TSC1"
"276","Sacrificed","fl/fl; +/+",124,"Muscle TSC1"
"277","Sacrificed","fl/fl; Tg/+",124,"Muscle TSC1"
"278","Sacrificed","fl/fl; Tg/+",124,"Muscle TSC1"
"279","Sacrificed","fl/fl; ?",27,"Muscle TSC1"
"280","Sacrificed","fl/fl; ?",27,"Muscle TSC1"
"281","Sacrificed","fl/fl; ?",27,"Muscle TSC1"
"282","Sacrificed","fl/fl; Tg/+",195,"Muscle TSC1"
"283","Sacrificed","fl/fl; +/+",195,"Muscle TSC1"
"284","Sacrificed","fl/fl; +/+",195,"Muscle TSC1"
"285","Sacrificed","fl/fl; ?",26,"Muscle TSC1"
"286","Sacrificed","fl/fl; ?",26,"Muscle TSC1"
"287","Sacrificed","fl/fl; ?",26,"Muscle TSC1"
"288","Sacrificed","fl/fl; ?",26,"Muscle TSC1"
"289","Sacrificed","fl/fl; ?",26,"Muscle TSC1"
"290","Sacrificed","fl/fl; ?",26,"Muscle TSC1"
"291","Sacrificed","fl/fl; Tg/+",191,"Muscle TSC1"
"292","Sacrificed","fl/fl; Tg/+",191,"Muscle TSC1"
"293","Sacrificed","fl/+; +/+",70,"Muscle TSC1"
"294","Sacrificed","fl/+; +/+",70,"Muscle TSC1"
"295","Sacrificed","fl/+; Tg/+",184,"Muscle TSC1"
"296","Sacrificed","fl/+; ?",22,"Muscle TSC1"
"297","Sacrificed","fl/+; ?",22,"Muscle TSC1"
"298","Sacrificed","fl/+; ?",22,"Muscle TSC1"
"299","Sacrificed","fl/+; ?",22,"Muscle TSC1"
"300","Sacrificed","fl/fl; ?",11,"Muscle TSC1"
"301","Sacrificed","fl/fl; Tg/+",180,"Muscle TSC1"
"302","Sacrificed","fl/fl; Tg/+",180,"Muscle TSC1"
"303","Sacrificed","fl/fl; Tg/+",180,"Muscle TSC1"
"304","Sacrificed","fl/fl; ?",49,"Muscle TSC1"
"305","Sacrificed","fl/fl; ?",49,"Muscle TSC1"
"306","Sacrificed","fl/fl; ?",49,"Muscle TSC1"
"307","Sacrificed","fl/fl; ?",49,"Muscle TSC1"
"308","Sacrificed","fl/fl; ?",49,"Muscle TSC1"
"309","Sacrificed","fl/fl; Tg/+",177,"Muscle TSC1"
"310","Sacrificed","fl/fl; Tg/+",177,"Muscle TSC1"
"311","Sacrificed","fl/fl; Tg/+",177,"Muscle TSC1"
"312","Unknown","fl/fl; ?",32,"Muscle TSC1"
"313","Sacrificed","fl/fl; Tg/+",177,"Muscle TSC1"
"314","Sacrificed","fl/fl; Tg/+",177,"Muscle TSC1"
"315","Sacrificed","fl/fl; +/+",177,"Muscle TSC1"
"316","Sacrificed","fl/fl; Tg/+",177,"Muscle TSC1"
"317","Sacrificed","fl/fl; ?",29,"Muscle TSC1"
"318","Sacrificed","fl/fl; ?",29,"Muscle TSC1"
"319","Sacrificed","fl/fl; ?",29,"Muscle TSC1"
"320","Sacrificed","fl/fl; ?",29,"Muscle TSC1"
"321","Unknown","fl/fl; ?",1,"Muscle TSC1"
"322","Sacrificed","fl/fl; +/+",177,"Muscle TSC1"
"323","Sacrificed","fl/fl; +/+",172,"Muscle TSC1"
"324","Sacrificed","fl/fl; Tg/+",172,"Muscle TSC1"
"325","Sacrificed","fl/fl; Tg/+",172,"Muscle TSC1"
"326","Sacrificed","fl/fl; +/+",172,"Muscle TSC1"
"327","Sacrificed","fl/fl; ?",24,"Muscle TSC1"
"328","Sacrificed","fl/fl; ?",24,"Muscle TSC1"
"329","Sacrificed","fl/fl; Tg/+",172,"Muscle TSC1"
"330","Sacrificed","fl/fl; Tg/+",172,"Muscle TSC1"
"331","Sacrificed","fl/fl; +/+",172,"Muscle TSC1"
"332","Sacrificed","fl/fl; +/+",172,"Muscle TSC1"
"333","Sacrificed","fl/fl; ?",24,"Muscle TSC1"
"334","Sacrificed","fl/fl; ?",24,"Muscle TSC1"
"335","Sacrificed","fl/fl; ?",24,"Muscle TSC1"
"336","Sacrificed","fl/fl; ?",24,"Muscle TSC1"
"337","Sacrificed","fl/fl; ?",24,"Muscle TSC1"
"338","Sacrificed","fl/fl; ?",24,"Muscle TSC1"
"339","Sacrificed","fl/fl; ?",24,"Muscle TSC1"
"340","Sacrificed","fl/fl; +/+",171,"Muscle TSC1"
"341","Sacrificed","fl/fl; +/+",171,"Muscle TSC1"
"342","Sacrificed","fl/fl; +/+",81,"Muscle TSC1"
"343","Sacrificed","fl/fl; ?",23,"Muscle TSC1"
"344","Sacrificed","fl/fl; Tg/+",164,"Muscle TSC1"
"345","Sacrificed","fl/fl; +/+",164,"Muscle TSC1"
"346","Sacrificed","fl/fl; +/+",164,"Muscle TSC1"
"347","Sacrificed","fl/fl; +/+",32,"Muscle TSC1"
"348","Sacrificed","fl/fl; +/+",32,"Muscle TSC1"
"349","Sacrificed","fl/fl; Tg/+",164,"Muscle TSC1"
"350","Sacrificed","fl/fl; +/+",32,"Muscle TSC1"
"351","Sacrificed","fl/fl; Tg/+",160,"Muscle TSC1"
"352","Sacrificed","fl/fl; +/+",160,"Muscle TSC1"
"353","Sacrificed","fl/fl; Tg/+",160,"Muscle TSC1"
"354","Sacrificed","fl/fl; Tg/+",160,"Muscle TSC1"
"355","Sacrificed","fl/fl; +/+",160,"Muscle TSC1"
"356","Sacrificed","fl/fl; ?",22,"Muscle TSC1"
"357","Sacrificed","fl/fl; ?",29,"Muscle TSC1"
"358","Unknown","fl/fl; ?",1,"Muscle TSC1"
"359","Unknown","fl/fl; ?",1,"Muscle TSC1"
"360","Estimated","fl/fl; +/+",1087,"Muscle TSC1"
"361","Unknown","fl/fl; +/+",718,"Muscle TSC1"
"362","Sacrificed","fl/fl; ?",22,"Muscle TSC1"
"363","Sacrificed","fl/fl; ?",22,"Muscle TSC1"
"364","Sacrificed","fl/fl; ?",22,"Muscle TSC1"
"365","Sacrificed","fl/fl; ?",22,"Muscle TSC1"
"366","Sacrificed","fl/fl; ?",22,"Muscle TSC1"
"367","Unknown","fl/fl; ?",1,"Muscle TSC1"
"368","Sacrificed","fl/fl; Tg/+",153,"Muscle TSC1"
"369","Sacrificed","fl/fl; Tg/+",153,"Muscle TSC1"
"370","Sacrificed","fl/fl; +/+",153,"Muscle TSC1"
"371","Sacrificed","fl/fl; +/+",153,"Muscle TSC1"
"372","Sacrificed","fl/fl; ?",153,"Muscle TSC1"
"373","Sacrificed","fl/fl; ?",153,"Muscle TSC1"
"374","Sacrificed","fl/fl; ?",153,"Muscle TSC1"
"375","Sacrificed","fl/fl; ?",153,"Muscle TSC1"
"376","Sacrificed","fl/fl; Tg/+",150,"Muscle TSC1"
"377","Sacrificed","fl/fl; +/+",180,"Muscle TSC1"
"378","Sacrificed","fl/fl; Tg/+",150,"Muscle TSC1"
"379","Sacrificed","fl/fl; +/+",221,"Muscle TSC1"
"380","Sacrificed","fl/fl; ?",150,"Muscle TSC1"
"381","Sacrificed","fl/fl; ?",150,"Muscle TSC1"
"382","Sacrificed","fl/fl; ?",150,"Muscle TSC1"
"383","Sacrificed","fl/fl; +/+",150,"Muscle TSC1"
"384","Sacrificed","fl/fl; Tg/+",221,"Muscle TSC1"
"385","Sacrificed","fl/fl; Tg/+",150,"Muscle TSC1"
"386","Sacrificed","fl/fl; Tg/+",148,"Muscle TSC1"
"387","Sacrificed","fl/fl; Tg/+",148,"Muscle TSC1"
"388","Sacrificed","fl/fl; ?",148,"Muscle TSC1"
"389","Sacrificed","fl/fl; ?",148,"Muscle TSC1"
"390","Sacrificed","fl/fl; ?",148,"Muscle TSC1"
"391","Sacrificed","fl/fl; ?",146,"Muscle TSC1"
"392","Sacrificed","fl/fl; ?",146,"Muscle TSC1"
"393","Sacrificed","fl/fl; ?",146,"Muscle TSC1"
"394","Sacrificed","fl/fl; ?",25,"Muscle TSC1"
"395","Sacrificed","fl/fl; ?",25,"Muscle TSC1"
"396","Sacrificed","fl/fl; ?",25,"Muscle TSC1"
"397","Sacrificed","fl/fl; ?",25,"Muscle TSC1"
"398","Sacrificed","fl/fl; ?",25,"Muscle TSC1"
"399","Sacrificed","fl/fl; ?",25,"Muscle TSC1"
"400","Sacrificed","fl/fl; ?",144,"Muscle TSC1"
"401","Sacrificed","fl/fl; ?",144,"Muscle TSC1"
"402","Sacrificed","fl/fl; ?",144,"Muscle TSC1"
"403","Sacrificed","fl/fl; ?",144,"Muscle TSC1"
"404","Sacrificed","fl/fl; +/+",141,"Muscle TSC1"
"405","Sacrificed","fl/fl; ?",54,"Muscle TSC1"
"406","Sacrificed","fl/fl; ?",54,"Muscle TSC1"
"407","Sacrificed","fl/fl; ?",54,"Muscle TSC1"
"408","Sacrificed","fl/fl; ?",54,"Muscle TSC1"
"409","Sacrificed","fl/fl; ?",54,"Muscle TSC1"
"410","Sacrificed","fl/fl; ?",54,"Muscle TSC1"
"411","Sacrificed","fl/fl; ?",54,"Muscle TSC1"
"412","Sacrificed","fl/fl; ?",54,"Muscle TSC1"
"413","","fl/fl; ?",8,"Muscle TSC1"
"414","Sacrificed","fl/fl; ?",52,"Muscle TSC1"
"415","Sacrificed","fl/fl; ?",52,"Muscle TSC1"
"416","Sacrificed","fl/fl; ?",52,"Muscle TSC1"
"417","Sacrificed","fl/fl; ?",52,"Muscle TSC1"
"418","Sacrificed","fl/fl; ?",52,"Muscle TSC1"
"419","Sacrificed","fl/fl; ?",52,"Muscle TSC1"
"420","Sacrificed","fl/fl; ?",52,"Muscle TSC1"
"421","Sacrificed","fl/fl; ?",52,"Muscle TSC1"
"422","Sacrificed","fl/fl; ?",52,"Muscle TSC1"
"423","Sacrificed","fl/fl; ?",52,"Muscle TSC1"
"424","Sacrificed","fl/fl; ?",52,"Muscle TSC1"
