"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","external_gene_name"
"1","ENSMUSG00000000001",44.4451742865186,-0.20172500378246,0.162509704484901,-1.24131050771311,0.214491064453195,0.385808580263823,"Gnai3"
"2","ENSMUSG00000000003",0,NA,NA,NA,NA,NA,"Pbsn"
"3","ENSMUSG00000000028",10.7624963135973,-0.243917888862462,0.282942064640099,-0.862077150574002,0.388645064202786,0.575178544935211,"Cdc45"
"4","ENSMUSG00000000037",0.403077245046404,-0.542521291224832,0.753592634325659,-0.719913208427652,0.471578435018023,NA,"Scml2"
"5","ENSMUSG00000000049",3.05528185238628,0.96948193015458,0.416875760594229,2.32558959238274,0.0200404553289426,0.0672803581791581,"Apoh"
"6","ENSMUSG00000000056",879.467716551401,-0.00237946815636384,0.129672621877374,-0.0183498114090266,0.985359790385479,0.992555395961321,"Narf"
"7","ENSMUSG00000000058",62.3524567807795,-0.810291080657791,0.254433830400138,-3.1846829463813,0.00144912680715101,0.00794329243501046,"Cav2"
"8","ENSMUSG00000000078",199.057497611722,0.151963959328998,0.29240402798306,0.519705423954698,0.603268905909253,0.75491413121431,"Klf6"
"9","ENSMUSG00000000085",477.810116901136,-0.527133895733711,0.0993782020294001,-5.30432111840546,1.1309308015516e-07,1.98901872968361e-06,"Scmh1"
"10","ENSMUSG00000000088",2180.98913640411,0.153812100279214,0.196391058543785,0.783192989638691,0.433513790980832,0.617268643475884,"Cox5a"
"11","ENSMUSG00000000093",12.4159149443814,-0.487937736620567,0.278677329248841,-1.75090574441694,0.0799621471481516,0.191182224545126,"Tbx2"
"12","ENSMUSG00000000094",22.6117970399449,1.20109041439275,0.228351222219731,5.25983790547441,1.44182444566515e-07,2.47718481393424e-06,"Tbx4"
"13","ENSMUSG00000000103",0,NA,NA,NA,NA,NA,"Zfy2"
"14","ENSMUSG00000000120",12.9176575410732,0.888685581957475,0.461126830274914,1.9272042388591,0.0539541819253507,0.143110432895868,"Ngfr"
"15","ENSMUSG00000000125",0.0393835817798038,-0.158929003850037,0.409363041741112,-0.388234861589059,0.697842236693204,NA,"Wnt3"
"16","ENSMUSG00000000126",89.7380981210517,0.286311635011919,0.132453317183467,2.16160411154775,0.0306487042777214,0.0938119247318975,"Wnt9a"
"17","ENSMUSG00000000127",42.8132426412081,0.898847113416373,0.16195228278469,5.55007374987953,2.8554911242708e-08,5.79746089897972e-07,"Fer"
"18","ENSMUSG00000000131",239.240790439449,-0.249201349409375,0.0925117954684759,-2.69372514226353,0.0070658406297471,0.0294037355320172,"Xpo6"
"19","ENSMUSG00000000134",103.015427088768,0.0701184766715372,0.18521268431593,0.378583556145276,0.704997135081226,0.828367999464813,"Tfe3"
"20","ENSMUSG00000000142",62.2710239835651,0.327752792051501,0.167780739557855,1.95345897815931,0.0507652335611779,0.136699229467679,"Axin2"
"21","ENSMUSG00000000148",50.941295521808,-0.0338577694536816,0.166140918027053,-0.203789468938461,0.838518022722813,0.913896435986387,"Brat1"
"22","ENSMUSG00000000149",150.160856914643,0.789155475520853,0.140529390743567,5.61559024304656,1.95892384672015e-08,4.07394199022883e-07,"Gna12"
"23","ENSMUSG00000000154",2.37383359635351,-0.342850726826384,0.499816063464225,-0.685953797583226,0.492742243940537,0.668154886980525,"Slc22a18"
"24","ENSMUSG00000000157",0.0453528980689145,0.594371480345777,0.444208165331492,1.33804717412663,0.18088105936227,NA,"Itgb2l"
"25","ENSMUSG00000000159",0,NA,NA,NA,NA,NA,"Igsf5"
"26","ENSMUSG00000000167",2.32248883011543,0.333503589660931,0.490634821012863,0.679738932863446,0.496669779586721,0.671384458600315,"Pih1d2"
"27","ENSMUSG00000000168",937.320374992273,0.197275856537507,0.101726422269381,1.93927843068246,0.0524674438428974,0.140086574107544,"Dlat"
"28","ENSMUSG00000000171",1867.97952151438,0.172371355516831,0.134514407198414,1.28143415346265,0.200041214349642,0.367219610053558,"Sdhd"
"29","ENSMUSG00000000182",0.306794690282308,0.244000874108194,0.749832270771705,0.325407272558535,0.744872852074625,NA,"Fgf23"
"30","ENSMUSG00000000183",5.81055720053201,-0.122026268933229,0.360265028005416,-0.338712501762438,0.734826321772368,0.849290512521035,"Fgf6"
"31","ENSMUSG00000000184",42.6919871848532,-0.377507059814214,0.242633015938025,-1.55587671510723,0.119737411328589,0.257214255675072,"Ccnd2"
"32","ENSMUSG00000000194",197.620779229854,0.1816027070571,0.096320130554595,1.8854076090996,0.0593748275079193,0.154163529199253,"Gpr107"
"33","ENSMUSG00000000197",1.43855114778723,-0.683995747413973,0.6534376876634,-1.04676507083612,0.295207943841924,0.480718212990826,"Nalcn"
"34","ENSMUSG00000000202",0.0790303460967832,0.272250555646956,0.5589971408242,0.487033896533966,0.626234309942246,NA,"Btbd17"
"35","ENSMUSG00000000204",0.900014137867531,0.112233682803004,0.689850591508945,0.162692739825749,0.870760363608197,0.932743180392388,"Slfn4"
"36","ENSMUSG00000000214",0.743780360471477,-0.356758940381623,0.742433722887722,-0.48052631417926,0.630853196696591,0.775412381185521,"Th"
"37","ENSMUSG00000000215",0,NA,NA,NA,NA,NA,"Ins2"
"38","ENSMUSG00000000216",0,NA,NA,NA,NA,NA,"Scnn1g"
"39","ENSMUSG00000000223",72.1938161776618,0.445410111279418,0.323725915344388,1.37588648349509,0.168856780539042,0.327395713218849,"Drp2"
"40","ENSMUSG00000000244",1.76235728268692,0.671994968014498,0.623475527978714,1.07782092136492,0.281113681092589,0.465572406343519,"Tspan32"
"41","ENSMUSG00000000247",0.421174858350238,0.79824661613099,0.747198092067919,1.06831993363606,0.285376219744919,NA,"Lhx2"
"42","ENSMUSG00000000248",0.12604774028343,1.60326731690346,0.684551822340685,2.34206858353165,0.0191771905643413,NA,"Clec2g"
"43","ENSMUSG00000000253",577.333302464956,-0.400803382191585,0.13118929067492,-3.05515320747297,0.00224945580393928,0.0114926619749976,"Gmpr"
"44","ENSMUSG00000000263",0.0697005379934992,0.359915824631853,0.548372814249419,0.656334185939696,0.51160912625497,NA,"Glra1"
"45","ENSMUSG00000000266",74.2245786559088,0.830511382147244,0.143005206535183,5.80756045370218,6.33896668355976e-09,1.47837156146595e-07,"Mid2"
"46","ENSMUSG00000000275",75.5203882004601,0.229918037780575,0.165746136704628,1.38716981494601,0.165389987405637,0.322608607336761,"Trim25"
"47","ENSMUSG00000000276",36.1212310177425,0.214601617954681,0.198373196837292,1.08180752932413,0.279338060288701,0.4630803084402,"Dgke"
"48","ENSMUSG00000000278",33.8112779085363,0.348039732010491,0.191374238741411,1.81863418137887,0.068967259360438,0.171815112032452,"Scpep1"
"49","ENSMUSG00000000282",61.2310695463667,-0.479961230083263,0.203051148676631,-2.36374545631172,0.0180912378766152,0.0619406592230596,"Mnt"
"50","ENSMUSG00000000290",13.9677333871843,0.699341178694721,0.327437360021932,2.13580142060722,0.0326956033000605,0.0984380659412704,"Itgb2"
"51","ENSMUSG00000000295",29.9556605004918,-0.00873419766713001,0.212126837008691,-0.041174411452579,0.967156853071133,0.98325711964804,"Hddc2"
"52","ENSMUSG00000000296",97.9942689952832,1.18295477038188,0.160730298818874,7.3598741436731,1.84083703875926e-13,9.83409661799672e-12,"Tpd52l1"
"53","ENSMUSG00000000301",8.26840974279857,0.685795720720722,0.319781573919703,2.1445754747987,0.031986804933857,0.0967470683553231,"Pemt"
"54","ENSMUSG00000000303",4.33447884533522,-0.190491962844681,0.453187585498008,-0.420337998966476,0.674238554414795,0.807716053799644,"Cdh1"
"55","ENSMUSG00000000305",62.6657266678506,-1.91727816201926,0.392429391148888,-4.88566403348683,1.03080843316797e-06,1.42652552133188e-05,"Cdh4"
"56","ENSMUSG00000000308",9.92889711092017,5.43439914172599,0.480500656106382,11.30986830645,1.17265398968487e-29,3.78236225540808e-27,"Ckmt1"
"57","ENSMUSG00000000317",22.0413268523468,-0.615630566473043,0.305737550107355,-2.01359161233834,0.0440524277819531,0.123392496090858,"Bcl6b"
"58","ENSMUSG00000000318",18.5196754165008,-0.209994381397338,0.291070264629009,-0.721455974436245,0.470629018453489,0.649346494791153,"Clec10a"
