Interval,Sample #,Date/Time,Light/Dark,Start Time,End Time,Duration (s),Weight (g),Accumulated (g),
2,1,8/27/2015 1:59:42 PM,Light,2/25/1981 1:58:14 PM,2/25/1981 1:59:32 PM,78,0.06,0.06,
2,2,8/27/2015 2:01:49 PM,Light,2/25/1981 2:00:20 PM,2/25/1981 2:01:39 PM,79,-0.04,0.02,
2,3,8/27/2015 2:02:08 PM,Light,2/25/1981 2:01:53 PM,2/25/1981 2:01:58 PM,5,-0.07,-0.05,
5,4,8/27/2015 2:09:43 PM,Light,2/25/1981 2:06:33 PM,2/25/1981 2:09:32 PM,179,0.07,0.01,
6,5,8/27/2015 2:14:50 PM,Light,2/25/1981 2:13:35 PM,2/25/1981 2:14:39 PM,64,0.04,0.06,
7,6,8/27/2015 2:16:28 PM,Light,2/25/1981 2:15:11 PM,2/25/1981 2:16:18 PM,67,0.07,0.12,
9,7,8/27/2015 2:22:04 PM,Light,2/25/1981 2:21:12 PM,2/25/1981 2:21:54 PM,42,-0.13,-0.01,
9,8,8/27/2015 2:24:14 PM,Light,2/25/1981 2:22:32 PM,2/25/1981 2:24:03 PM,91,-0.05,-0.05,
11,9,8/27/2015 2:30:10 PM,Light,2/25/1981 2:27:58 PM,2/25/1981 2:30:00 PM,122,0.04,-0.01,
11,10,8/27/2015 2:31:13 PM,Light,2/25/1981 2:30:26 PM,2/25/1981 2:31:03 PM,37,0.05,0.04,
16,11,8/27/2015 2:44:43 PM,Light,2/25/1981 2:43:01 PM,2/25/1981 2:44:33 PM,92,-0.15,-0.11,
16,12,8/27/2015 2:46:01 PM,Light,2/25/1981 2:45:05 PM,2/25/1981 2:45:50 PM,45,0.08,-0.03,
18,13,8/27/2015 2:52:16 PM,Light,2/25/1981 2:51:01 PM,2/25/1981 2:52:05 PM,64,0.13,0.10,
19,14,8/27/2015 2:53:54 PM,Light,2/25/1981 2:52:39 PM,2/25/1981 2:53:44 PM,65,-0.14,-0.04,
21,15,8/27/2015 3:02:30 PM,Light,2/25/1981 2:58:45 PM,2/25/1981 3:02:19 PM,214,-0.10,-0.15,
23,16,8/27/2015 3:09:17 PM,Light,2/25/1981 3:06:14 PM,2/25/1981 3:09:07 PM,173,0.10,-0.05,
