Interval,Sample #,Date/Time,Light/Dark,Start Time,End Time,Duration (s),Weight (g),Accumulated (g),
1,1,9/21/2015 1:29:01 PM,Light,3/22/1981 1:25:23 PM,3/22/1981 1:28:51 PM,208,-0.06,-0.06,
1,2,9/21/2015 1:29:57 PM,Light,3/22/1981 1:29:33 PM,3/22/1981 1:29:47 PM,14,0.05,-0.01,
1,3,9/21/2015 1:30:53 PM,Light,3/22/1981 1:30:17 PM,3/22/1981 1:30:42 PM,25,0.06,0.05,
1,4,9/21/2015 1:34:13 PM,Light,3/22/1981 1:32:16 PM,3/22/1981 1:34:03 PM,107,-0.05,0.00,
1,5,9/21/2015 1:43:59 PM,Light,3/22/1981 1:37:57 PM,3/22/1981 1:43:49 PM,352,0.03,0.03,
2,6,9/21/2015 1:46:43 PM,Light,3/22/1981 1:44:17 PM,3/22/1981 1:46:33 PM,136,0.05,0.08,
2,7,9/21/2015 1:48:54 PM,Light,3/22/1981 1:48:06 PM,3/22/1981 1:48:43 PM,37,-0.10,-0.02,
2,8,9/21/2015 1:49:31 PM,Light,3/22/1981 1:48:55 PM,3/22/1981 1:49:20 PM,25,0.07,0.06,
2,9,9/21/2015 2:04:59 PM,Light,3/22/1981 2:02:52 PM,3/22/1981 2:04:49 PM,117,-0.12,-0.06,
3,10,9/21/2015 2:11:02 PM,Light,3/22/1981 2:08:09 PM,3/22/1981 2:10:51 PM,162,0.05,-0.01,
3,11,9/21/2015 2:14:01 PM,Light,3/22/1981 2:12:12 PM,3/22/1981 2:13:51 PM,99,0.08,0.07,
3,12,9/21/2015 2:23:12 PM,Light,3/22/1981 2:20:40 PM,3/22/1981 2:23:01 PM,141,-0.12,-0.05,
4,13,9/21/2015 2:36:00 PM,Light,3/22/1981 2:33:14 PM,3/22/1981 2:35:50 PM,156,-0.07,-0.12,
4,14,9/21/2015 2:44:05 PM,Light,3/22/1981 2:39:16 PM,3/22/1981 2:43:54 PM,278,0.09,-0.03,
5,15,9/21/2015 3:07:37 PM,Light,3/22/1981 3:04:29 PM,3/22/1981 3:07:26 PM,177,-0.04,-0.07,
5,16,9/21/2015 3:13:39 PM,Light,3/22/1981 3:10:58 PM,3/22/1981 3:13:29 PM,151,0.04,-0.03,
5,17,9/21/2015 3:19:16 PM,Light,3/22/1981 3:16:45 PM,3/22/1981 3:19:05 PM,140,-0.08,-0.11,
5,18,9/21/2015 3:24:57 PM,Light,3/22/1981 3:22:37 PM,3/22/1981 3:24:46 PM,129,-0.09,-0.20,
6,19,9/21/2015 3:33:00 PM,Light,3/22/1981 3:28:31 PM,3/22/1981 3:32:49 PM,258,0.12,-0.08,
6,20,9/21/2015 3:49:12 PM,Light,3/22/1981 3:46:36 PM,3/22/1981 3:49:01 PM,145,-0.06,-0.13,
7,21,9/21/2015 3:54:54 PM,Light,3/22/1981 3:52:32 PM,3/22/1981 3:54:43 PM,131,0.05,-0.08,
7,22,9/21/2015 4:06:57 PM,Light,3/22/1981 4:04:12 PM,3/22/1981 4:06:47 PM,155,-0.07,-0.15,
7,23,9/21/2015 4:13:37 PM,Light,3/22/1981 4:10:17 PM,3/22/1981 4:13:27 PM,190,0.07,-0.08,
8,24,9/21/2015 4:19:41 PM,Light,3/22/1981 4:16:23 PM,3/22/1981 4:19:30 PM,187,0.08,0.00,
8,25,9/21/2015 4:25:42 PM,Light,3/22/1981 4:22:13 PM,3/22/1981 4:25:31 PM,198,-0.05,-0.06,
8,26,9/21/2015 4:30:29 PM,Light,3/22/1981 4:28:09 PM,3/22/1981 4:30:19 PM,130,-0.07,-0.13,
8,27,9/21/2015 4:37:11 PM,Light,3/22/1981 4:34:26 PM,3/22/1981 4:37:00 PM,154,0.06,-0.07,
9,28,9/21/2015 4:44:42 PM,Light,3/22/1981 4:41:07 PM,3/22/1981 4:44:32 PM,205,0.05,-0.02,
9,29,9/21/2015 4:47:42 PM,Light,3/22/1981 4:46:55 PM,3/22/1981 4:47:32 PM,37,-0.06,-0.08,
9,30,9/21/2015 4:54:12 PM,Light,3/22/1981 4:48:16 PM,3/22/1981 4:54:02 PM,346,-0.05,-0.13,
9,31,9/21/2015 4:59:55 PM,Light,3/22/1981 4:54:43 PM,3/22/1981 4:59:45 PM,302,0.12,0.00,
9,32,9/21/2015 5:01:07 PM,Light,3/22/1981 5:00:39 PM,3/22/1981 5:00:56 PM,17,-0.10,-0.10,
9,33,9/21/2015 5:06:03 PM,Light,3/22/1981 5:01:30 PM,3/22/1981 5:05:53 PM,263,0.06,-0.04,
10,34,9/21/2015 5:09:17 PM,Light,3/22/1981 5:07:21 PM,3/22/1981 5:09:06 PM,105,0.10,0.06,
10,35,9/21/2015 5:12:17 PM,Light,3/22/1981 5:11:05 PM,3/22/1981 5:12:06 PM,61,-0.15,-0.09,
10,36,9/21/2015 5:21:14 PM,Light,3/22/1981 5:18:39 PM,3/22/1981 5:21:03 PM,144,-0.06,-0.15,
11,37,9/21/2015 5:33:54 PM,Light,3/22/1981 5:33:20 PM,3/22/1981 5:33:43 PM,23,0.07,-0.08,
11,38,9/21/2015 5:47:11 PM,Light,3/22/1981 5:42:49 PM,3/22/1981 5:47:00 PM,251,0.03,-0.05,
11,39,9/21/2015 5:57:39 PM,Light,3/22/1981 5:54:30 PM,3/22/1981 5:57:29 PM,179,-0.07,-0.12,
12,40,9/21/2015 6:03:31 PM,Light,3/22/1981 6:00:35 PM,3/22/1981 6:03:20 PM,165,0.04,-0.09,
12,41,9/21/2015 6:08:50 PM,Light,3/22/1981 6:06:21 PM,3/22/1981 6:08:40 PM,139,-0.07,-0.15,
