"","Subject","HFD","Treatment","Light.Dark","VO2","RER","Heat","Total.Activity","Lean.Mass","Fat.Mass","Percent.Fat.Mass","Body.Weight"
"1","4561",FALSE,"Rapamycin","Dark",86.388908592,0.876999343333333,0.515310165493333,841.933333333333,23.95,1.81,7.02639751552795,25.76
"2","4561",FALSE,"Rapamycin","Light",75.880724896,0.861783677142857,0.4507435611,353.142857142857,23.95,1.81,7.02639751552795,25.76
"3","4561",TRUE,"Rapamycin","Dark",97.2345900235294,0.901197311111111,0.582377648448366,1948.65359477124,23.95,1.81,7.02639751552795,25.76
"4","4561",TRUE,"Rapamycin","Light",86.9710607152941,0.869792425210084,0.517219947209244,554.588235294118,23.95,1.81,7.02639751552795,25.76
"5","4562",FALSE,"Rapamycin","Dark",84.2497009427586,0.87284334137931,0.497906563748276,921.51724137931,24.84,1.45,5.51540509699505,26.29
"6","4562",FALSE,"Rapamycin","Light",82.7500286372222,0.8799879,0.489255023569444,455.333333333333,24.84,1.45,5.51540509699505,26.29
"7","4562",TRUE,"Rapamycin","Dark",91.5596027298693,0.897826741176471,0.543297082760784,905.470588235294,24.84,1.45,5.51540509699505,26.29
"8","4562",TRUE,"Rapamycin","Light",88.1898668588235,0.860896946218487,0.518586418457143,322.613445378151,24.84,1.45,5.51540509699505,26.29
"9","4563",FALSE,"Vehicle","Dark",106.88300471931,0.843324751724138,0.621452795662069,858.862068965517,24.23,1.38,5.38852010933229,25.61
"10","4563",FALSE,"Vehicle","Light",85.8234807733333,0.812589413888889,0.497209972644444,461.083333333333,24.23,1.38,5.38852010933229,25.61
"11","4563",TRUE,"Vehicle","Dark",102.090982263636,0.894617795454545,0.603208679586364,1047.03896103896,24.23,1.38,5.38852010933229,25.61
"12","4563",TRUE,"Vehicle","Light",95.0221037755555,0.841199667521368,0.554535203858974,268,24.23,1.38,5.38852010933229,25.61
"13","4564",FALSE,"Vehicle","Dark",91.5705601351724,0.868978917241379,0.538793472989655,1688.10344827586,24.77,1.71,6.45770392749245,26.48
"14","4564",FALSE,"Vehicle","Light",81.5589818244444,0.837493686111111,0.476225259383333,504.527777777778,24.77,1.71,6.45770392749245,26.48
"15","4564",TRUE,"Vehicle","Dark",105.013338991895,0.90299601372549,0.622232431597386,2037.88888888889,24.77,1.71,6.45770392749245,26.48
"16","4564",TRUE,"Vehicle","Light",90.7049979518644,0.841805133050847,0.529576812386441,598.330508474576,24.77,1.71,6.45770392749245,26.48
"17","4565",FALSE,"Rapamycin","Dark",75.6434134203448,0.76240345862069,0.430616446489655,287.379310344828,26.39,2,7.04473406128919,28.39
"18","4565",FALSE,"Rapamycin","Light",84.8627720947222,0.888106477777778,0.499085536283333,475.833333333333,26.39,2,7.04473406128919,28.39
"19","4565",TRUE,"Rapamycin","Dark",86.0378804444445,0.909250548366013,0.508505866308497,975.202614379085,26.39,2,7.04473406128919,28.39
"20","4565",TRUE,"Rapamycin","Light",86.5421988916949,0.858714280508475,0.505193568260169,525.78813559322,26.39,2,7.04473406128919,28.39
"21","4566",FALSE,"Rapamycin","Dark",115.395685342667,0.675759783333333,0.639318525616667,888.266666666667,21.48,1.73,7.45368375700129,23.21
"22","4566",FALSE,"Rapamycin","Light",89.5293939037143,0.75725902,0.512349096605714,433.285714285714,21.48,1.73,7.45368375700129,23.21
"23","4566",TRUE,"Rapamycin","Dark",95.6540438103268,0.860875903921569,0.564813052521569,3115.56209150327,21.48,1.73,7.45368375700129,23.21
"24","4566",TRUE,"Rapamycin","Light",90.9519642573729,0.820329962711864,0.53147081899322,1031.42372881356,21.48,1.73,7.45368375700129,23.21
"25","4567",FALSE,"Rapamycin","Dark",86.907676473,0.94780058,0.519065558396667,1002.96666666667,20.32,2.27,10.0486941124391,22.59
"26","4567",FALSE,"Rapamycin","Light",80.9183629877143,0.813990188571429,0.467270219748571,346.228571428571,20.32,2.27,10.0486941124391,22.59
"27","4567",TRUE,"Rapamycin","Dark",100.290497418947,0.914004310526316,0.593790970391447,1307.625,20.32,2.27,10.0486941124391,22.59
"28","4567",TRUE,"Rapamycin","Light",99.8319816847059,0.838142202521008,0.5801089357,482.117647058824,20.32,2.27,10.0486941124391,22.59
"29","4568",FALSE,"Vehicle","Dark",104.909605784,0.83272861,0.60850652309,1939.43333333333,23.47,1.84,7.26985381272224,25.31
"30","4568",FALSE,"Vehicle","Light",70.4711399231429,0.813523294285714,0.407334290365714,367.314285714286,23.47,1.84,7.26985381272224,25.31
"31","4568",TRUE,"Vehicle","Dark",110.687065356993,0.86371855620915,0.647818290213072,2353.1568627451,23.47,1.84,7.26985381272224,25.31
"32","4568",TRUE,"Vehicle","Light",91.9861138860684,0.819827167521368,0.532581653447863,648.529914529915,23.47,1.84,7.26985381272224,25.31
"33","4569",FALSE,"Rapamycin","Dark",87.68457061,0.93095307,0.520586553056667,660.333333333333,25.62,1.68,6.15384615384615,27.3
"34","4569",FALSE,"Rapamycin","Light",76.4698896,0.870768491428571,0.447412998251429,361.285714285714,25.62,1.68,6.15384615384615,27.3
"35","4569",TRUE,"Rapamycin","Dark",91.428476354902,0.906599926143791,0.539215296339869,980.424836601307,25.62,1.68,6.15384615384615,27.3
"36","4569",TRUE,"Rapamycin","Light",79.5478644333333,0.850649785470086,0.462821131212821,283.555555555556,25.62,1.68,6.15384615384615,27.3
"37","4570",FALSE,"Vehicle","Dark",87.8806151241379,0.901977237931034,0.517000473168966,683.689655172414,27.6,1.78,6.05854322668482,29.38
