Oxymax CSV File 

CSV Generation Date,10/12/2015 10:23:23 AM 
Experiment Started,10/7/2015 3:39:16 PM 
Data Filename,C:\Users\Clams\Desktop\Data\BridgesLab\2015-10-07 mTSC-HFD cont & C57BL6J-Rapa2\2015-10-07-2.CDTA

Group/Cage,0116
O2 Calibration Date,10/7/2015 3:31:23 PM
CO2 Calibration Date,10/7/2015 3:37:33 PM
Subject ID,4374
Subject Mass (G), 22.9 

Reference Settle Time (s), 55 
Reference Measure Time (s), 5 
Cage Settle Time (s), 55 
Cage Measure Time (s), 5 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_0


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,STATUS1,FEED1,FEED1 ACC,XTOT,XAMB,YTOT,YAMB,WHEEL,WHEEL ACC,ENCLOSURE TEMP,ENCLOSURE SETPOINT,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/hr,LPM,,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,degC,degC,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0116,10/7/2015 3:56:21 PM ,2927,20.921,20.700,0.221,0.0,2263,0.042,0.222,0.180,0.0,0.773,0.3,0.48,STABLE / OPEN,0.00,0.00,103,1,39,2,0,0,24.9,25.0,
2,0116,10/7/2015 4:29:21 PM ,3553,20.921,20.651,0.271,0.0,2870,0.040,0.268,0.228,0.0,0.808,0.4,0.48,STABLE / OPEN,-0.05,-0.05,422,227,527,202,0,0,25.0,25.0,
3,0116,10/7/2015 5:02:21 PM ,3188,20.921,20.676,0.245,0.1,2740,0.039,0.256,0.217,0.1,0.860,0.4,0.48,STABLE / OPEN,0.02,-0.04,695,380,596,256,0,0,25.2,25.0,
4,0116,10/7/2015 5:35:21 PM ,3602,20.921,20.643,0.278,0.1,3174,0.039,0.290,0.251,0.1,0.881,0.4,0.48,STABLE / OPEN,0.00,-0.03,2317,1389,2177,1149,0,0,25.5,25.0,
5,0116,10/7/2015 6:08:21 PM ,3693,20.921,20.635,0.287,0.2,3347,0.039,0.304,0.265,0.1,0.906,0.4,0.48,STABLE / OPEN,0.03,0.00,624,250,784,245,0,0,25.6,25.0,
6,0116,10/7/2015 6:41:21 PM ,4369,20.921,20.583,0.338,0.2,3867,0.040,0.346,0.307,0.2,0.885,0.5,0.48,STABLE / OPEN,-0.04,-0.04,2674,1603,2355,1410,0,0,24.9,25.0,
7,0116,10/7/2015 7:14:21 PM ,4579,20.921,20.569,0.352,0.3,3857,0.040,0.346,0.306,0.2,0.842,0.5,0.48,STABLE / OPEN,0.09,0.06,3210,2058,2942,1781,0,0,25.6,25.0,
8,0116,10/7/2015 7:47:21 PM ,4370,20.921,20.584,0.337,0.3,3700,0.040,0.335,0.295,0.3,0.847,0.5,0.48,STABLE / OPEN,0.01,0.07,3750,2473,3698,2281,0,0,25.2,25.0,
9,0116,10/7/2015 8:20:21 PM ,4463,20.921,20.581,0.340,0.4,3667,0.040,0.330,0.290,0.3,0.822,0.5,0.48,UNSTABLE / OPEN,0.01,0.08,4612,3232,3644,2292,0,0,25.1,25.0,
10,0116,10/7/2015 8:53:21 PM ,4368,20.921,20.590,0.331,0.4,3443,0.040,0.313,0.273,0.4,0.788,0.5,0.48,STABLE / OPEN,-0.01,0.07,3627,2355,3222,1888,0,0,25.4,25.0,
11,0116,10/7/2015 9:26:21 PM ,4691,20.921,20.564,0.357,0.5,3828,0.040,0.343,0.303,0.4,0.816,0.5,0.48,STABLE / OPEN,0.11,0.18,3897,2463,3464,2347,0,0,24.9,25.0,
12,0116,10/7/2015 9:59:21 PM ,4641,20.921,20.572,0.350,0.6,3490,0.040,0.317,0.277,0.5,0.752,0.5,0.48,UNSTABLE / OPEN,0.01,0.19,5243,3681,4515,3028,0,0,25.6,25.0,
13,0116,10/7/2015 10:32:21 PM ,4538,20.921,20.577,0.344,0.6,3482,0.040,0.318,0.277,0.5,0.767,0.5,0.48,UNSTABLE / OPEN,-0.02,0.17,4335,2861,3324,2225,0,0,25.2,25.0,
14,0116,10/7/2015 11:05:21 PM ,4396,20.921,20.588,0.333,0.7,3419,0.040,0.312,0.271,0.6,0.778,0.5,0.48,STABLE / OPEN,0.06,0.23,4914,3387,4171,2770,0,0,25.1,25.0,
15,0116,10/7/2015 11:38:21 PM ,3246,20.921,20.675,0.246,0.7,2530,0.040,0.241,0.201,0.6,0.779,0.4,0.48,STABLE / OPEN,-0.03,0.20,3923,2485,3104,1891,0,0,25.5,25.0,
16,0116,10/8/2015 12:11:21 AM ,1967,20.921,20.773,0.148,0.8,1444,0.039,0.154,0.115,0.6,0.734,0.2,0.48,STABLE / OPEN,0.00,0.20,11,2,36,3,0,0,25.1,25.0,
17,0116,10/8/2015 12:43:21 AM ,2044,20.921,20.767,0.154,0.8,1558,0.040,0.164,0.123,0.6,0.762,0.2,0.48,STABLE / OPEN,0.00,0.20,1,0,100,1,0,0,25.4,25.0,
18,0116,10/8/2015 1:16:21 AM ,2394,20.921,20.743,0.179,0.8,1702,0.039,0.174,0.135,0.7,0.711,0.3,0.48,STABLE / OPEN,0.00,0.20,173,89,270,112,0,0,25.3,25.0,
19,0116,10/8/2015 1:49:21 AM ,2197,20.921,20.756,0.166,0.8,1672,0.039,0.171,0.133,0.7,0.761,0.2,0.48,STABLE / OPEN,0.00,0.20,7,1,120,34,0,0,25.1,25.0,
20,0116,10/8/2015 2:22:21 AM ,4227,20.921,20.603,0.318,0.9,3114,0.039,0.287,0.248,0.7,0.737,0.5,0.48,UNSTABLE / OPEN,-0.13,0.07,2672,1654,2686,1576,0,0,25.5,25.0,
21,0116,10/8/2015 2:55:21 AM ,4216,20.921,20.602,0.319,0.9,3155,0.039,0.291,0.252,0.8,0.748,0.5,0.48,UNSTABLE / OPEN,0.09,0.16,3467,2118,2791,1746,0,0,25.5,25.0,
22,0116,10/8/2015 3:28:21 AM ,3739,20.921,20.639,0.282,1.0,2800,0.038,0.261,0.223,0.8,0.749,0.4,0.48,STABLE / OPEN,0.07,0.23,4147,2712,3709,2333,0,0,25.1,25.0,
23,0116,10/8/2015 4:01:21 AM ,1920,20.921,20.777,0.144,1.0,1432,0.039,0.153,0.114,0.8,0.746,0.2,0.48,STABLE / OPEN,0.00,0.23,362,107,320,135,0,0,24.9,25.0,
24,0116,10/8/2015 4:34:21 AM ,2260,20.921,20.752,0.170,1.0,1682,0.039,0.173,0.133,0.8,0.744,0.2,0.48,STABLE / OPEN,0.00,0.23,7,0,4,1,0,0,25.5,25.0,
25,0116,10/8/2015 5:07:21 AM ,4007,20.921,20.614,0.307,1.1,3387,0.040,0.308,0.268,0.9,0.845,0.4,0.48,STABLE / OPEN,0.18,0.41,2359,1393,2145,1241,0,0,25.3,25.0,
26,0116,10/8/2015 5:40:21 AM ,2360,20.921,20.742,0.179,1.1,1875,0.040,0.189,0.149,0.9,0.795,0.3,0.48,STABLE / OPEN,-0.06,0.35,2268,1585,1831,1140,0,0,24.9,25.0,
27,0116,10/8/2015 6:13:21 AM ,2288,20.921,20.748,0.173,1.2,1761,0.040,0.180,0.140,0.9,0.770,0.2,0.48,STABLE / OPEN,0.00,0.35,91,2,82,9,0,0,25.1,25.0,
28,0116,10/8/2015 6:46:21 AM ,4051,20.921,20.610,0.312,1.2,3500,0.040,0.317,0.277,1.0,0.864,0.5,0.48,UNSTABLE / OPEN,0.10,0.45,2903,1843,2869,1739,0,0,24.9,25.0,
29,0116,10/8/2015 7:19:21 AM ,3644,20.921,20.641,0.280,1.2,3062,0.041,0.284,0.243,1.0,0.840,0.4,0.48,STABLE / OPEN,0.03,0.48,2785,1753,2706,1682,0,0,25.0,25.0,
30,0116,10/8/2015 7:52:21 AM ,1790,20.921,20.784,0.137,1.3,1491,0.041,0.160,0.119,1.0,0.833,0.2,0.48,STABLE / OPEN,0.00,0.48,35,2,157,2,0,0,25.4,25.0,
31,0116,10/8/2015 8:25:21 AM ,2204,20.921,20.755,0.166,1.3,1684,0.042,0.175,0.134,1.0,0.764,0.2,0.48,STABLE / OPEN,0.00,0.48,24,1,186,2,0,0,25.6,25.0,
32,0116,10/8/2015 8:58:21 AM ,2264,20.921,20.748,0.173,1.3,1793,0.041,0.184,0.143,1.1,0.792,0.2,0.48,STABLE / OPEN,0.00,0.48,71,1,48,0,0,0,25.5,25.0,
33,0116,10/8/2015 9:30:21 AM ,2398,20.921,20.737,0.184,1.4,2035,0.042,0.203,0.161,1.1,0.849,0.3,0.48,STABLE / OPEN,0.07,0.55,1871,1235,1928,1162,0,0,25.4,25.0,
34,0116,10/8/2015 10:03:21 AM ,2652,20.921,20.719,0.202,1.4,2140,0.041,0.211,0.170,1.1,0.807,0.3,0.48,STABLE / OPEN,0.05,0.59,98,3,85,15,0,0,25.1,25.0,
35,0116,10/8/2015 10:36:21 AM ,2273,20.921,20.750,0.171,1.4,1687,0.043,0.177,0.134,1.1,0.742,0.2,0.48,STABLE / OPEN,0.00,0.59,5,0,19,3,0,0,24.9,25.0,
36,0116,10/8/2015 11:09:21 AM ,2302,20.921,20.747,0.174,1.4,1779,0.043,0.184,0.141,1.2,0.773,0.3,0.48,STABLE / OPEN,0.00,0.59,6,0,54,4,0,0,25.0,25.0,
37,0116,10/8/2015 11:42:21 AM ,2329,20.921,20.745,0.176,1.5,1781,0.042,0.184,0.142,1.2,0.765,0.3,0.48,STABLE / OPEN,0.00,0.59,14,1,57,3,0,0,25.3,25.0,
38,0116,10/8/2015 12:15:21 PM ,2045,20.921,20.766,0.155,1.5,1635,0.042,0.172,0.129,1.2,0.800,0.2,0.48,STABLE / OPEN,-0.04,0.55,30,0,14,1,0,0,25.6,25.0,
39,0116,10/8/2015 12:48:21 PM ,2426,20.921,20.739,0.183,1.5,1873,0.041,0.189,0.148,1.2,0.772,0.3,0.48,STABLE / OPEN,0.00,0.55,59,3,95,10,0,0,25.2,25.0,
40,0116,10/8/2015 1:21:21 PM ,3195,20.921,20.679,0.242,1.6,2537,0.040,0.242,0.201,1.3,0.794,0.4,0.48,STABLE / OPEN,0.08,0.63,1415,654,1744,641,0,0,25.0,25.0,
41,0116,10/8/2015 1:54:21 PM ,2244,20.921,20.751,0.170,1.6,1790,0.040,0.182,0.142,1.3,0.798,0.2,0.48,STABLE / OPEN,0.00,0.63,44,0,33,6,0,0,25.3,25.0,
42,0116,10/8/2015 2:27:21 PM ,2481,20.921,20.734,0.187,1.6,1884,0.040,0.189,0.150,1.3,0.760,0.3,0.48,STABLE / OPEN,0.00,0.63,49,1,31,3,0,0,25.7,25.0,
43,0116,10/8/2015 3:00:21 PM ,3736,20.921,20.636,0.285,1.7,3027,0.039,0.280,0.241,1.3,0.810,0.4,0.48,UNSTABLE / OPEN,-0.16,0.48,655,338,671,378,0,0,25.3,25.0,
44,0116,10/8/2015 3:33:21 PM ,2236,20.921,20.749,0.173,1.7,1958,0.038,0.194,0.155,1.4,0.876,0.3,0.48,STABLE / OPEN,0.21,0.69,639,269,615,217,0,0,25.1,25.0,
