Oxymax Activity CSV File

CSV FILE CREATION:10/12/2015 10:23:33 AM
DATA FILENAME:C:\Users\Clams\Desktop\Data\BridgesLab\2015-10-07 mTSC-HFD cont & C57BL6J-Rapa2\2015-10-07-2.ADTA

GROUP/CAGE:0130
SUBJECT ID:4571
SUBJECT MASS:27.78 grams

SAMPLE FREQ:60 seconds


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,GROUP/CAGE,DATE/TIME,XTOT,XAMB,YTOT,YAMB,WHEEL,

===============,===============,===============,===============,===============,===============,===============,===============,
 1 ,0130,10/7/2015 3:41:21 PM , 113 , 40 , 106 , 29 , 0 ,
 1 ,0130,10/7/2015 3:42:21 PM , 77 , 53 , 56 , 29 , 0 ,
 1 ,0130,10/7/2015 3:43:21 PM , 80 , 45 , 57 , 37 , 0 ,
 1 ,0130,10/7/2015 3:44:21 PM , 51 , 16 , 19 , 3 , 0 ,
 1 ,0130,10/7/2015 3:45:21 PM , 74 , 36 , 15 , 2 , 0 ,
 1 ,0130,10/7/2015 3:46:21 PM , 46 , 27 , 43 , 19 , 0 ,
 1 ,0130,10/7/2015 3:47:21 PM , 71 , 51 , 66 , 40 , 0 ,
 1 ,0130,10/7/2015 3:48:21 PM , 68 , 6 , 20 , 0 , 0 ,
 1 ,0130,10/7/2015 3:49:21 PM , 49 , 9 , 32 , 1 , 0 ,
 1 ,0130,10/7/2015 3:50:21 PM , 82 , 15 , 91 , 7 , 0 ,
 1 ,0130,10/7/2015 3:51:21 PM , 53 , 22 , 37 , 19 , 0 ,
 1 ,0130,10/7/2015 3:52:21 PM , 92 , 33 , 48 , 9 , 0 ,
 1 ,0130,10/7/2015 3:53:21 PM , 70 , 10 , 34 , 5 , 0 ,
 1 ,0130,10/7/2015 3:54:21 PM , 52 , 20 , 42 , 12 , 0 ,
 1 ,0130,10/7/2015 3:55:21 PM , 99 , 65 , 72 , 38 , 0 ,
 1 ,0130,10/7/2015 3:56:21 PM , 94 , 61 , 66 , 41 , 0 ,
 1 ,0130,10/7/2015 3:57:21 PM , 138 , 89 , 79 , 49 , 0 ,
 1 ,0130,10/7/2015 3:58:21 PM , 103 , 60 , 75 , 44 , 0 ,
 1 ,0130,10/7/2015 3:59:21 PM , 65 , 30 , 19 , 12 , 0 ,
 1 ,0130,10/7/2015 4:00:21 PM , 26 , 3 , 2 , 0 , 0 ,
 1 ,0130,10/7/2015 4:01:21 PM , 122 , 14 , 51 , 3 , 0 ,
 1 ,0130,10/7/2015 4:02:21 PM , 41 , 18 , 43 , 13 , 0 ,
 1 ,0130,10/7/2015 4:03:21 PM , 67 , 38 , 41 , 18 , 0 ,
 1 ,0130,10/7/2015 4:04:21 PM , 59 , 30 , 48 , 25 , 0 ,
 1 ,0130,10/7/2015 4:05:21 PM , 23 , 0 , 29 , 15 , 0 ,
 1 ,0130,10/7/2015 4:06:21 PM , 100 , 57 , 56 , 32 , 0 ,
 1 ,0130,10/7/2015 4:07:21 PM , 131 , 85 , 113 , 77 , 0 ,
 1 ,0130,10/7/2015 4:08:21 PM , 129 , 77 , 108 , 64 , 0 ,
 1 ,0130,10/7/2015 4:09:21 PM , 85 , 56 , 71 , 36 , 0 ,
 1 ,0130,10/7/2015 4:10:21 PM , 206 , 139 , 72 , 37 , 0 ,
 1 ,0130,10/7/2015 4:11:21 PM , 86 , 47 , 56 , 34 , 0 ,
 1 ,0130,10/7/2015 4:12:21 PM , 116 , 60 , 36 , 23 , 0 ,
 2 ,0130,10/7/2015 4:13:21 PM , 64 , 13 , 40 , 17 , 0 ,
 2 ,0130,10/7/2015 4:14:21 PM , 55 , 29 , 25 , 10 , 0 ,
 2 ,0130,10/7/2015 4:15:21 PM , 68 , 29 , 50 , 23 , 0 ,
 2 ,0130,10/7/2015 4:16:21 PM , 57 , 26 , 61 , 28 , 0 ,
 2 ,0130,10/7/2015 4:17:21 PM , 45 , 18 , 53 , 25 , 0 ,
 2 ,0130,10/7/2015 4:18:21 PM , 43 , 15 , 49 , 12 , 0 ,
 2 ,0130,10/7/2015 4:19:21 PM , 34 , 20 , 35 , 14 , 0 ,
 2 ,0130,10/7/2015 4:20:21 PM , 48 , 23 , 41 , 11 , 0 ,
 2 ,0130,10/7/2015 4:21:21 PM , 33 , 16 , 54 , 6 , 0 ,
 2 ,0130,10/7/2015 4:22:21 PM , 40 , 1 , 35 , 9 , 0 ,
 2 ,0130,10/7/2015 4:23:21 PM , 29 , 4 , 35 , 6 , 0 ,
 2 ,0130,10/7/2015 4:24:21 PM , 54 , 9 , 27 , 5 , 0 ,
 2 ,0130,10/7/2015 4:25:21 PM , 81 , 4 , 74 , 12 , 0 ,
 2 ,0130,10/7/2015 4:26:21 PM , 20 , 2 , 69 , 18 , 0 ,
 2 ,0130,10/7/2015 4:27:21 PM , 2 , 0 , 86 , 16 , 0 ,
 2 ,0130,10/7/2015 4:28:21 PM , 0 , 0 , 23 , 0 , 0 ,
 2 ,0130,10/7/2015 4:29:21 PM , 0 , 0 , 0 , 0 , 0 ,
 2 ,0130,10/7/2015 4:30:21 PM , 4 , 0 , 3 , 0 , 0 ,
 2 ,0130,10/7/2015 4:31:21 PM , 0 , 0 , 0 , 0 , 0 ,
 2 ,0130,10/7/2015 4:32:21 PM , 31 , 0 , 0 , 0 , 0 ,
 2 ,0130,10/7/2015 4:33:21 PM , 31 , 1 , 0 , 0 , 0 ,
 2 ,0130,10/7/2015 4:34:21 PM , 23 , 12 , 19 , 6 , 0 ,
 2 ,0130,10/7/2015 4:35:21 PM , 0 , 0 , 6 , 0 , 0 ,
 2 ,0130,10/7/2015 4:36:21 PM , 0 , 0 , 0 , 0 , 0 ,
 2 ,0130,10/7/2015 4:37:21 PM , 0 , 0 , 0 , 0 , 0 ,
 2 ,0130,10/7/2015 4:38:21 PM , 0 , 0 , 0 , 0 , 0 ,
 2 ,0130,10/7/2015 4:39:21 PM , 0 , 0 , 0 , 0 , 0 ,
 2 ,0130,10/7/2015 4:40:21 PM , 0 , 0 , 2 , 0 , 0 ,
 2 ,0130,10/7/2015 4:41:21 PM , 1 , 1 , 8 , 0 , 0 ,
 2 ,0130,10/7/2015 4:42:21 PM , 0 , 0 , 44 , 0 , 0 ,
 2 ,0130,10/7/2015 4:43:21 PM , 0 , 0 , 45 , 0 , 0 ,
 2 ,0130,10/7/2015 4:44:21 PM , 0 , 0 , 127 , 0 , 0 ,
 2 ,0130,10/7/2015 4:45:21 PM , 0 , 0 , 3 , 0 , 0 ,
 3 ,0130,10/7/2015 4:46:21 PM , 0 , 0 , 0 , 0 , 0 ,
 3 ,0130,10/7/2015 4:47:21 PM , 0 , 0 , 0 , 0 , 0 ,
 3 ,0130,10/7/2015 4:48:21 PM , 0 , 0 , 3 , 0 , 0 ,
 3 ,0130,10/7/2015 4:49:21 PM , 0 , 0 , 0 , 0 , 0 ,
 3 ,0130,10/7/2015 4:50:21 PM , 0 , 0 , 0 , 0 , 0 ,
 3 ,0130,10/7/2015 4:51:21 PM , 0 , 0 , 0 , 0 , 0 ,
 3 ,0130,10/7/2015 4:52:21 PM , 0 , 0 , 1 , 0 , 0 ,
 3 ,0130,10/7/2015 4:53:21 PM , 0 , 0 , 0 , 0 , 0 ,
 3 ,0130,10/7/2015 4:54:21 PM , 0 , 0 , 0 , 0 , 0 ,
 3 ,0130,10/7/2015 4:55:21 PM , 4 , 0 , 9 , 0 , 0 ,
 3 ,0130,10/7/2015 4:56:21 PM , 34 , 11 , 18 , 1 , 0 ,
 3 ,0130,10/7/2015 4:57:21 PM , 65 , 45 , 52 , 28 , 0 ,
 3 ,0130,10/7/2015 4:58:21 PM , 14 , 6 , 7 , 3 , 0 ,
 3 ,0130,10/7/2015 4:59:21 PM , 9 , 1 , 0 , 0 , 0 ,
 3 ,0130,10/7/2015 5:00:21 PM , 4 , 2 , 0 , 0 , 0 ,
 3 ,0130,10/7/2015 5:01:21 PM , 13 , 10 , 10 , 5 , 0 ,
 3 ,0130,10/7/2015 5:02:21 PM , 2 , 0 , 4 , 1 , 0 ,
 3 ,0130,10/7/2015 5:03:21 PM , 32 , 21 , 22 , 11 , 0 ,
 3 ,0130,10/7/2015 5:04:21 PM , 12 , 5 , 21 , 10 , 0 ,
 3 ,0130,10/7/2015 5:05:21 PM , 1 , 0 , 0 , 0 , 0 ,
 3 ,0130,10/7/2015 5:06:21 PM , 4 , 1 , 1 , 0 , 0 ,
 3 ,0130,10/7/2015 5:07:21 PM , 0 , 0 , 6 , 2 , 0 ,
 3 ,0130,10/7/2015 5:08:21 PM , 0 , 0 , 12 , 3 , 0 ,
 3 ,0130,10/7/2015 5:09:21 PM , 0 , 0 , 25 , 9 , 0 ,
 3 ,0130,10/7/2015 5:10:21 PM , 47 , 29 , 56 , 41 , 0 ,
 3 ,0130,10/7/2015 5:11:21 PM , 11 , 2 , 11 , 3 , 0 ,
 3 ,0130,10/7/2015 5:12:21 PM , 6 , 1 , 1 , 0 , 0 ,
 3 ,0130,10/7/2015 5:13:21 PM , 3 , 0 , 0 , 0 , 0 ,
 3 ,0130,10/7/2015 5:14:21 PM , 2 , 0 , 0 , 0 , 0 ,
 3 ,0130,10/7/2015 5:15:21 PM , 0 , 0 , 0 , 0 , 0 ,
 3 ,0130,10/7/2015 5:16:21 PM , 0 , 0 , 0 , 0 , 0 ,
 3 ,0130,10/7/2015 5:17:21 PM , 19 , 0 , 0 , 0 , 0 ,
 3 ,0130,10/7/2015 5:18:21 PM , 14 , 2 , 1 , 0 , 0 ,
 4 ,0130,10/7/2015 5:19:21 PM , 16 , 0 , 0 , 0 , 0 ,
 4 ,0130,10/7/2015 5:20:21 PM , 0 , 0 , 0 , 0 , 0 ,
 4 ,0130,10/7/2015 5:21:21 PM , 1 , 0 , 0 , 0 , 0 ,
 4 ,0130,10/7/2015 5:22:21 PM , 1 , 0 , 0 , 0 , 0 ,
 4 ,0130,10/7/2015 5:23:21 PM , 1 , 0 , 0 , 0 , 0 ,
 4 ,0130,10/7/2015 5:24:21 PM , 13 , 0 , 2 , 1 , 0 ,
 4 ,0130,10/7/2015 5:25:21 PM , 9 , 1 , 2 , 1 , 0 ,
 4 ,0130,10/7/2015 5:26:21 PM , 31 , 1 , 6 , 1 , 0 ,
 4 ,0130,10/7/2015 5:27:21 PM , 5 , 0 , 0 , 0 , 0 ,
 4 ,0130,10/7/2015 5:28:21 PM , 1 , 0 , 0 , 0 , 0 ,
 4 ,0130,10/7/2015 5:29:21 PM , 18 , 1 , 0 , 0 , 0 ,
 4 ,0130,10/7/2015 5:30:21 PM , 29 , 1 , 6 , 2 , 0 ,
 4 ,0130,10/7/2015 5:31:21 PM , 0 , 0 , 0 , 0 , 0 ,
 4 ,0130,10/7/2015 5:32:21 PM , 1 , 0 , 1 , 0 , 0 ,
 4 ,0130,10/7/2015 5:33:21 PM , 0 , 0 , 0 , 0 , 0 ,
 4 ,0130,10/7/2015 5:34:21 PM , 0 , 0 , 0 , 0 , 0 ,
 4 ,0130,10/7/2015 5:35:21 PM , 0 , 0 , 0 , 0 , 0 ,
 4 ,0130,10/7/2015 5:36:21 PM , 5 , 0 , 1 , 0 , 0 ,
 4 ,0130,10/7/2015 5:37:21 PM , 39 , 8 , 5 , 2 , 0 ,
 4 ,0130,10/7/2015 5:38:21 PM , 14 , 3 , 3 , 2 , 0 ,
 4 ,0130,10/7/2015 5:39:21 PM , 39 , 10 , 13 , 5 , 0 ,
 4 ,0130,10/7/2015 5:40:21 PM , 58 , 41 , 53 , 27 , 0 ,
 4 ,0130,10/7/2015 5:41:21 PM , 23 , 6 , 12 , 9 , 0 ,
 4 ,0130,10/7/2015 5:42:21 PM , 24 , 9 , 15 , 3 , 0 ,
 4 ,0130,10/7/2015 5:43:21 PM , 10 , 2 , 6 , 0 , 0 ,
 4 ,0130,10/7/2015 5:44:21 PM , 0 , 0 , 0 , 0 , 0 ,
 4 ,0130,10/7/2015 5:45:21 PM , 4 , 0 , 3 , 0 , 0 ,
 4 ,0130,10/7/2015 5:46:21 PM , 1 , 0 , 0 , 0 , 0 ,
 4 ,0130,10/7/2015 5:47:21 PM , 0 , 0 , 0 , 0 , 0 ,
 4 ,0130,10/7/2015 5:48:21 PM , 0 , 0 , 0 , 0 , 0 ,
 4 ,0130,10/7/2015 5:49:21 PM , 8 , 3 , 0 , 0 , 0 ,
 4 ,0130,10/7/2015 5:50:21 PM , 0 , 0 , 0 , 0 , 0 ,
 4 ,0130,10/7/2015 5:51:21 PM , 0 , 0 , 0 , 0 , 0 ,
 5 ,0130,10/7/2015 5:52:21 PM , 9 , 7 , 3 , 0 , 0 ,
 5 ,0130,10/7/2015 5:53:21 PM , 1 , 1 , 1 , 0 , 0 ,
 5 ,0130,10/7/2015 5:54:21 PM , 0 , 0 , 0 , 0 , 0 ,
 5 ,0130,10/7/2015 5:55:21 PM , 0 , 0 , 16 , 0 , 0 ,
 5 ,0130,10/7/2015 5:56:21 PM , 1 , 0 , 2 , 0 , 0 ,
 5 ,0130,10/7/2015 5:57:21 PM , 1 , 0 , 1 , 0 , 0 ,
 5 ,0130,10/7/2015 5:58:21 PM , 2 , 0 , 17 , 0 , 0 ,
 5 ,0130,10/7/2015 5:59:21 PM , 0 , 0 , 0 , 0 , 0 ,
 5 ,0130,10/7/2015 6:00:21 PM , 4 , 1 , 4 , 0 , 0 ,
 5 ,0130,10/7/2015 6:01:21 PM , 1 , 1 , 3 , 0 , 0 ,
 5 ,0130,10/7/2015 6:02:21 PM , 0 , 0 , 5 , 0 , 0 ,
 5 ,0130,10/7/2015 6:03:21 PM , 1 , 0 , 3 , 0 , 0 ,
 5 ,0130,10/7/2015 6:04:21 PM , 0 , 0 , 0 , 0 , 0 ,
 5 ,0130,10/7/2015 6:05:21 PM , 0 , 0 , 5 , 0 , 0 ,
 5 ,0130,10/7/2015 6:06:21 PM , 0 , 0 , 11 , 0 , 0 ,
 5 ,0130,10/7/2015 6:07:21 PM , 1 , 0 , 3 , 0 , 0 ,
 5 ,0130,10/7/2015 6:08:21 PM , 1 , 0 , 3 , 0 , 0 ,
 5 ,0130,10/7/2015 6:09:21 PM , 1 , 0 , 0 , 0 , 0 ,
 5 ,0130,10/7/2015 6:10:21 PM , 1 , 0 , 0 , 0 , 0 ,
 5 ,0130,10/7/2015 6:11:21 PM , 22 , 6 , 10 , 4 , 0 ,
 5 ,0130,10/7/2015 6:12:21 PM , 27 , 4 , 10 , 6 , 0 ,
 5 ,0130,10/7/2015 6:13:21 PM , 63 , 32 , 33 , 14 , 0 ,
 5 ,0130,10/7/2015 6:14:21 PM , 46 , 26 , 39 , 21 , 0 ,
 5 ,0130,10/7/2015 6:15:21 PM , 0 , 0 , 0 , 0 , 0 ,
 5 ,0130,10/7/2015 6:16:21 PM , 2 , 1 , 3 , 0 , 0 ,
 5 ,0130,10/7/2015 6:17:21 PM , 7 , 2 , 3 , 0 , 0 ,
 5 ,0130,10/7/2015 6:18:21 PM , 6 , 0 , 3 , 0 , 0 ,
 5 ,0130,10/7/2015 6:19:21 PM , 1 , 0 , 1 , 0 , 0 ,
 5 ,0130,10/7/2015 6:20:21 PM , 3 , 0 , 1 , 0 , 0 ,
 5 ,0130,10/7/2015 6:21:21 PM , 1 , 0 , 0 , 0 , 0 ,
 5 ,0130,10/7/2015 6:22:21 PM , 0 , 0 , 0 , 0 , 0 ,
 5 ,0130,10/7/2015 6:23:21 PM , 1 , 0 , 0 , 0 , 0 ,
 5 ,0130,10/7/2015 6:24:21 PM , 7 , 0 , 0 , 0 , 0 ,
 6 ,0130,10/7/2015 6:25:21 PM , 9 , 2 , 0 , 0 , 0 ,
 6 ,0130,10/7/2015 6:26:21 PM , 7 , 2 , 0 , 0 , 0 ,
 6 ,0130,10/7/2015 6:27:21 PM , 3 , 0 , 0 , 0 , 0 ,
 6 ,0130,10/7/2015 6:28:21 PM , 1 , 1 , 0 , 0 , 0 ,
 6 ,0130,10/7/2015 6:29:21 PM , 4 , 2 , 1 , 0 , 0 ,
 6 ,0130,10/7/2015 6:30:21 PM , 1 , 0 , 0 , 0 , 0 ,
 6 ,0130,10/7/2015 6:31:21 PM , 3 , 1 , 0 , 0 , 0 ,
 6 ,0130,10/7/2015 6:32:21 PM , 0 , 0 , 0 , 0 , 0 ,
 6 ,0130,10/7/2015 6:33:21 PM , 15 , 6 , 1 , 0 , 0 ,
 6 ,0130,10/7/2015 6:34:21 PM , 9 , 1 , 0 , 0 , 0 ,
 6 ,0130,10/7/2015 6:35:21 PM , 4 , 0 , 0 , 0 , 0 ,
 6 ,0130,10/7/2015 6:36:21 PM , 7 , 0 , 0 , 0 , 0 ,
 6 ,0130,10/7/2015 6:37:21 PM , 6 , 0 , 0 , 0 , 0 ,
 6 ,0130,10/7/2015 6:38:21 PM , 1 , 0 , 0 , 0 , 0 ,
 6 ,0130,10/7/2015 6:39:21 PM , 14 , 6 , 0 , 0 , 0 ,
 6 ,0130,10/7/2015 6:40:21 PM , 13 , 3 , 0 , 0 , 0 ,
 6 ,0130,10/7/2015 6:41:21 PM , 8 , 1 , 0 , 0 , 0 ,
 6 ,0130,10/7/2015 6:42:21 PM , 11 , 4 , 2 , 0 , 0 ,
 6 ,0130,10/7/2015 6:43:21 PM , 5 , 0 , 4 , 0 , 0 ,
 6 ,0130,10/7/2015 6:44:21 PM , 14 , 0 , 30 , 0 , 0 ,
 6 ,0130,10/7/2015 6:45:21 PM , 15 , 10 , 8 , 3 , 0 ,
 6 ,0130,10/7/2015 6:46:21 PM , 40 , 18 , 13 , 5 , 0 ,
 6 ,0130,10/7/2015 6:47:21 PM , 24 , 9 , 8 , 0 , 0 ,
 6 ,0130,10/7/2015 6:48:21 PM , 2 , 0 , 0 , 0 , 0 ,
 6 ,0130,10/7/2015 6:49:21 PM , 3 , 0 , 0 , 0 , 0 ,
 6 ,0130,10/7/2015 6:50:21 PM , 1 , 0 , 0 , 0 , 0 ,
 6 ,0130,10/7/2015 6:51:21 PM , 0 , 0 , 0 , 0 , 0 ,
 6 ,0130,10/7/2015 6:52:21 PM , 0 , 0 , 0 , 0 , 0 ,
 6 ,0130,10/7/2015 6:53:21 PM , 17 , 0 , 0 , 0 , 0 ,
 6 ,0130,10/7/2015 6:54:21 PM , 2 , 0 , 0 , 0 , 0 ,
 6 ,0130,10/7/2015 6:55:21 PM , 0 , 0 , 0 , 0 , 0 ,
 6 ,0130,10/7/2015 6:56:21 PM , 6 , 3 , 0 , 0 , 0 ,
 6 ,0130,10/7/2015 6:57:21 PM , 3 , 0 , 0 , 0 , 0 ,
 7 ,0130,10/7/2015 6:58:21 PM , 33 , 22 , 7 , 5 , 0 ,
 7 ,0130,10/7/2015 6:59:21 PM , 49 , 31 , 28 , 16 , 0 ,
 7 ,0130,10/7/2015 7:00:21 PM , 45 , 31 , 27 , 14 , 0 ,
 7 ,0130,10/7/2015 7:01:21 PM , 7 , 2 , 0 , 0 , 0 ,
 7 ,0130,10/7/2015 7:02:21 PM , 12 , 4 , 0 , 0 , 0 ,
 7 ,0130,10/7/2015 7:03:21 PM , 8 , 5 , 0 , 0 , 0 ,
 7 ,0130,10/7/2015 7:04:21 PM , 18 , 10 , 0 , 0 , 0 ,
 7 ,0130,10/7/2015 7:05:21 PM , 1 , 0 , 0 , 0 , 0 ,
 7 ,0130,10/7/2015 7:06:21 PM , 12 , 3 , 0 , 0 , 0 ,
 7 ,0130,10/7/2015 7:07:21 PM , 7 , 4 , 0 , 0 , 0 ,
 7 ,0130,10/7/2015 7:08:21 PM , 2 , 0 , 0 , 0 , 0 ,
 7 ,0130,10/7/2015 7:09:21 PM , 26 , 14 , 6 , 1 , 0 ,
 7 ,0130,10/7/2015 7:10:21 PM , 0 , 0 , 0 , 0 , 0 ,
 7 ,0130,10/7/2015 7:11:21 PM , 35 , 23 , 24 , 13 , 0 ,
 7 ,0130,10/7/2015 7:12:21 PM , 40 , 25 , 34 , 19 , 0 ,
 7 ,0130,10/7/2015 7:13:21 PM , 22 , 11 , 8 , 5 , 0 ,
 7 ,0130,10/7/2015 7:14:21 PM , 8 , 3 , 0 , 0 , 0 ,
 7 ,0130,10/7/2015 7:15:21 PM , 22 , 13 , 0 , 0 , 0 ,
 7 ,0130,10/7/2015 7:16:21 PM , 11 , 0 , 0 , 0 , 0 ,
 7 ,0130,10/7/2015 7:17:21 PM , 9 , 2 , 0 , 0 , 0 ,
 7 ,0130,10/7/2015 7:18:21 PM , 9 , 0 , 0 , 0 , 0 ,
 7 ,0130,10/7/2015 7:19:21 PM , 4 , 0 , 0 , 0 , 0 ,
 7 ,0130,10/7/2015 7:20:21 PM , 7 , 0 , 0 , 0 , 0 ,
 7 ,0130,10/7/2015 7:21:21 PM , 11 , 4 , 2 , 0 , 0 ,
 7 ,0130,10/7/2015 7:22:21 PM , 7 , 1 , 0 , 0 , 0 ,
 7 ,0130,10/7/2015 7:23:21 PM , 0 , 0 , 0 , 0 , 0 ,
 7 ,0130,10/7/2015 7:24:21 PM , 2 , 0 , 0 , 0 , 0 ,
 7 ,0130,10/7/2015 7:25:21 PM , 1 , 0 , 0 , 0 , 0 ,
 7 ,0130,10/7/2015 7:26:21 PM , 12 , 3 , 1 , 0 , 0 ,
 7 ,0130,10/7/2015 7:27:21 PM , 2 , 0 , 4 , 0 , 0 ,
