Oxymax Activity CSV File

CSV FILE CREATION:10/12/2015 10:23:29 AM
DATA FILENAME:C:\Users\Clams\Desktop\Data\BridgesLab\2015-10-07 mTSC-HFD cont & C57BL6J-Rapa2\2015-10-07-2.ADTA

GROUP/CAGE:0124
SUBJECT ID:4565
SUBJECT MASS:29.23 grams

SAMPLE FREQ:60 seconds


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,GROUP/CAGE,DATE/TIME,XTOT,XAMB,YTOT,YAMB,WHEEL,

===============,===============,===============,===============,===============,===============,===============,===============,
 1 ,0124,10/7/2015 3:41:21 PM , 218 , 138 , 114 , 53 , 0 ,
 1 ,0124,10/7/2015 3:42:21 PM , 289 , 233 , 143 , 93 , 0 ,
 1 ,0124,10/7/2015 3:43:21 PM , 125 , 81 , 90 , 39 , 0 ,
 1 ,0124,10/7/2015 3:44:21 PM , 124 , 73 , 132 , 72 , 0 ,
 1 ,0124,10/7/2015 3:45:21 PM , 62 , 30 , 27 , 7 , 0 ,
 1 ,0124,10/7/2015 3:46:21 PM , 21 , 2 , 22 , 3 , 0 ,
 1 ,0124,10/7/2015 3:47:21 PM , 97 , 67 , 54 , 37 , 0 ,
 1 ,0124,10/7/2015 3:48:21 PM , 186 , 116 , 184 , 121 , 0 ,
 1 ,0124,10/7/2015 3:49:21 PM , 232 , 172 , 110 , 69 , 0 ,
 1 ,0124,10/7/2015 3:50:21 PM , 169 , 105 , 101 , 47 , 0 ,
 1 ,0124,10/7/2015 3:51:21 PM , 108 , 39 , 76 , 18 , 0 ,
 1 ,0124,10/7/2015 3:52:21 PM , 109 , 60 , 53 , 19 , 0 ,
 1 ,0124,10/7/2015 3:53:21 PM , 99 , 49 , 63 , 35 , 0 ,
 1 ,0124,10/7/2015 3:54:21 PM , 161 , 105 , 101 , 44 , 0 ,
 1 ,0124,10/7/2015 3:55:21 PM , 130 , 81 , 64 , 27 , 0 ,
 1 ,0124,10/7/2015 3:56:21 PM , 72 , 42 , 43 , 27 , 0 ,
 1 ,0124,10/7/2015 3:57:21 PM , 22 , 0 , 1 , 0 , 0 ,
 1 ,0124,10/7/2015 3:58:21 PM , 84 , 46 , 36 , 14 , 0 ,
 1 ,0124,10/7/2015 3:59:21 PM , 111 , 71 , 73 , 39 , 0 ,
 1 ,0124,10/7/2015 4:00:21 PM , 44 , 21 , 77 , 22 , 0 ,
 1 ,0124,10/7/2015 4:01:21 PM , 119 , 24 , 53 , 2 , 0 ,
 1 ,0124,10/7/2015 4:02:21 PM , 118 , 20 , 30 , 1 , 0 ,
 1 ,0124,10/7/2015 4:03:21 PM , 67 , 7 , 55 , 2 , 0 ,
 1 ,0124,10/7/2015 4:04:21 PM , 80 , 13 , 77 , 3 , 0 ,
 1 ,0124,10/7/2015 4:05:21 PM , 79 , 15 , 39 , 1 , 0 ,
 1 ,0124,10/7/2015 4:06:21 PM , 104 , 9 , 79 , 0 , 0 ,
 1 ,0124,10/7/2015 4:07:21 PM , 107 , 52 , 51 , 17 , 0 ,
 1 ,0124,10/7/2015 4:08:21 PM , 90 , 49 , 63 , 37 , 0 ,
 1 ,0124,10/7/2015 4:09:21 PM , 86 , 39 , 58 , 33 , 0 ,
 1 ,0124,10/7/2015 4:10:21 PM , 33 , 4 , 17 , 1 , 0 ,
 1 ,0124,10/7/2015 4:11:21 PM , 86 , 55 , 71 , 34 , 0 ,
 1 ,0124,10/7/2015 4:12:21 PM , 97 , 56 , 45 , 24 , 0 ,
 2 ,0124,10/7/2015 4:13:21 PM , 262 , 177 , 200 , 124 , 0 ,
 2 ,0124,10/7/2015 4:14:21 PM , 163 , 112 , 101 , 59 , 0 ,
 2 ,0124,10/7/2015 4:15:21 PM , 70 , 20 , 58 , 18 , 0 ,
 2 ,0124,10/7/2015 4:16:21 PM , 42 , 17 , 105 , 16 , 0 ,
 2 ,0124,10/7/2015 4:17:21 PM , 95 , 20 , 34 , 8 , 0 ,
 2 ,0124,10/7/2015 4:18:21 PM , 103 , 45 , 48 , 6 , 0 ,
 2 ,0124,10/7/2015 4:19:21 PM , 111 , 15 , 79 , 25 , 0 ,
 2 ,0124,10/7/2015 4:20:21 PM , 83 , 24 , 47 , 6 , 0 ,
 2 ,0124,10/7/2015 4:21:21 PM , 179 , 20 , 120 , 0 , 0 ,
 2 ,0124,10/7/2015 4:22:21 PM , 34 , 9 , 7 , 0 , 0 ,
 2 ,0124,10/7/2015 4:23:21 PM , 110 , 31 , 18 , 2 , 0 ,
 2 ,0124,10/7/2015 4:24:21 PM , 89 , 7 , 23 , 2 , 0 ,
 2 ,0124,10/7/2015 4:25:21 PM , 108 , 25 , 69 , 4 , 0 ,
 2 ,0124,10/7/2015 4:26:21 PM , 48 , 16 , 28 , 8 , 0 ,
 2 ,0124,10/7/2015 4:27:21 PM , 160 , 106 , 84 , 42 , 0 ,
 2 ,0124,10/7/2015 4:28:21 PM , 115 , 71 , 78 , 42 , 0 ,
 2 ,0124,10/7/2015 4:29:21 PM , 121 , 64 , 87 , 50 , 0 ,
 2 ,0124,10/7/2015 4:30:21 PM , 59 , 10 , 23 , 6 , 0 ,
 2 ,0124,10/7/2015 4:31:21 PM , 66 , 5 , 22 , 1 , 0 ,
 2 ,0124,10/7/2015 4:32:21 PM , 7 , 1 , 33 , 0 , 0 ,
 2 ,0124,10/7/2015 4:33:21 PM , 20 , 2 , 34 , 2 , 0 ,
 2 ,0124,10/7/2015 4:34:21 PM , 34 , 1 , 25 , 5 , 0 ,
 2 ,0124,10/7/2015 4:35:21 PM , 30 , 2 , 22 , 0 , 0 ,
 2 ,0124,10/7/2015 4:36:21 PM , 14 , 2 , 27 , 3 , 0 ,
 2 ,0124,10/7/2015 4:37:21 PM , 1 , 0 , 24 , 9 , 0 ,
 2 ,0124,10/7/2015 4:38:21 PM , 15 , 0 , 5 , 0 , 0 ,
 2 ,0124,10/7/2015 4:39:21 PM , 57 , 0 , 0 , 0 , 0 ,
 2 ,0124,10/7/2015 4:40:21 PM , 0 , 0 , 0 , 0 , 0 ,
 2 ,0124,10/7/2015 4:41:21 PM , 12 , 2 , 16 , 3 , 0 ,
 2 ,0124,10/7/2015 4:42:21 PM , 0 , 0 , 6 , 0 , 0 ,
 2 ,0124,10/7/2015 4:43:21 PM , 0 , 0 , 0 , 0 , 0 ,
 2 ,0124,10/7/2015 4:44:21 PM , 3 , 0 , 7 , 0 , 0 ,
 2 ,0124,10/7/2015 4:45:21 PM , 1 , 0 , 2 , 0 , 0 ,
 3 ,0124,10/7/2015 4:46:21 PM , 34 , 0 , 0 , 0 , 0 ,
 3 ,0124,10/7/2015 4:47:21 PM , 11 , 0 , 0 , 0 , 0 ,
 3 ,0124,10/7/2015 4:48:21 PM , 2 , 1 , 5 , 0 , 0 ,
 3 ,0124,10/7/2015 4:49:21 PM , 1 , 0 , 20 , 0 , 0 ,
 3 ,0124,10/7/2015 4:50:21 PM , 0 , 0 , 14 , 0 , 0 ,
 3 ,0124,10/7/2015 4:51:21 PM , 36 , 11 , 22 , 2 , 0 ,
 3 ,0124,10/7/2015 4:52:21 PM , 43 , 12 , 13 , 9 , 0 ,
 3 ,0124,10/7/2015 4:53:21 PM , 66 , 37 , 88 , 22 , 0 ,
 3 ,0124,10/7/2015 4:54:21 PM , 88 , 59 , 51 , 24 , 0 ,
 3 ,0124,10/7/2015 4:55:21 PM , 55 , 24 , 43 , 18 , 0 ,
 3 ,0124,10/7/2015 4:56:21 PM , 100 , 44 , 36 , 10 , 0 ,
 3 ,0124,10/7/2015 4:57:21 PM , 60 , 17 , 31 , 8 , 0 ,
 3 ,0124,10/7/2015 4:58:21 PM , 94 , 29 , 26 , 3 , 0 ,
 3 ,0124,10/7/2015 4:59:21 PM , 32 , 0 , 19 , 0 , 0 ,
 3 ,0124,10/7/2015 5:00:21 PM , 78 , 31 , 33 , 15 , 0 ,
 3 ,0124,10/7/2015 5:01:21 PM , 68 , 24 , 41 , 19 , 0 ,
 3 ,0124,10/7/2015 5:02:21 PM , 53 , 3 , 4 , 0 , 0 ,
 3 ,0124,10/7/2015 5:03:21 PM , 23 , 2 , 32 , 3 , 0 ,
 3 ,0124,10/7/2015 5:04:21 PM , 7 , 0 , 11 , 2 , 0 ,
 3 ,0124,10/7/2015 5:05:21 PM , 3 , 0 , 39 , 0 , 0 ,
 3 ,0124,10/7/2015 5:06:21 PM , 0 , 0 , 3 , 0 , 0 ,
 3 ,0124,10/7/2015 5:07:21 PM , 1 , 0 , 0 , 0 , 0 ,
 3 ,0124,10/7/2015 5:08:21 PM , 0 , 0 , 0 , 0 , 0 ,
 3 ,0124,10/7/2015 5:09:21 PM , 0 , 0 , 2 , 0 , 0 ,
 3 ,0124,10/7/2015 5:10:21 PM , 0 , 0 , 0 , 0 , 0 ,
 3 ,0124,10/7/2015 5:11:21 PM , 0 , 0 , 15 , 1 , 0 ,
 3 ,0124,10/7/2015 5:12:21 PM , 0 , 0 , 0 , 0 , 0 ,
 3 ,0124,10/7/2015 5:13:21 PM , 0 , 0 , 0 , 0 , 0 ,
 3 ,0124,10/7/2015 5:14:21 PM , 0 , 0 , 0 , 0 , 0 ,
 3 ,0124,10/7/2015 5:15:21 PM , 0 , 0 , 10 , 0 , 0 ,
 3 ,0124,10/7/2015 5:16:21 PM , 1 , 0 , 50 , 0 , 0 ,
 3 ,0124,10/7/2015 5:17:21 PM , 0 , 0 , 8 , 0 , 0 ,
 3 ,0124,10/7/2015 5:18:21 PM , 1 , 0 , 1 , 0 , 0 ,
 4 ,0124,10/7/2015 5:19:21 PM , 0 , 0 , 0 , 0 , 0 ,
 4 ,0124,10/7/2015 5:20:21 PM , 0 , 0 , 0 , 0 , 0 ,
 4 ,0124,10/7/2015 5:21:21 PM , 9 , 1 , 0 , 0 , 0 ,
 4 ,0124,10/7/2015 5:22:21 PM , 0 , 0 , 0 , 0 , 0 ,
 4 ,0124,10/7/2015 5:23:21 PM , 51 , 2 , 3 , 0 , 0 ,
 4 ,0124,10/7/2015 5:24:21 PM , 64 , 1 , 39 , 1 , 0 ,
 4 ,0124,10/7/2015 5:25:21 PM , 40 , 3 , 24 , 0 , 0 ,
 4 ,0124,10/7/2015 5:26:21 PM , 94 , 33 , 39 , 22 , 0 ,
 4 ,0124,10/7/2015 5:27:21 PM , 47 , 15 , 15 , 10 , 0 ,
 4 ,0124,10/7/2015 5:28:21 PM , 50 , 19 , 24 , 13 , 0 ,
 4 ,0124,10/7/2015 5:29:21 PM , 26 , 2 , 1 , 0 , 0 ,
 4 ,0124,10/7/2015 5:30:21 PM , 56 , 0 , 25 , 0 , 0 ,
 4 ,0124,10/7/2015 5:31:21 PM , 94 , 40 , 82 , 31 , 0 ,
 4 ,0124,10/7/2015 5:32:21 PM , 80 , 46 , 41 , 14 , 0 ,
 4 ,0124,10/7/2015 5:33:21 PM , 69 , 30 , 30 , 12 , 0 ,
 4 ,0124,10/7/2015 5:34:21 PM , 48 , 20 , 22 , 10 , 0 ,
 4 ,0124,10/7/2015 5:35:21 PM , 133 , 91 , 61 , 35 , 0 ,
 4 ,0124,10/7/2015 5:36:21 PM , 97 , 56 , 48 , 19 , 0 ,
 4 ,0124,10/7/2015 5:37:21 PM , 45 , 14 , 29 , 10 , 0 ,
 4 ,0124,10/7/2015 5:38:21 PM , 89 , 44 , 57 , 30 , 0 ,
 4 ,0124,10/7/2015 5:39:21 PM , 75 , 6 , 20 , 5 , 0 ,
 4 ,0124,10/7/2015 5:40:21 PM , 58 , 6 , 59 , 11 , 0 ,
 4 ,0124,10/7/2015 5:41:21 PM , 55 , 4 , 70 , 2 , 0 ,
 4 ,0124,10/7/2015 5:42:21 PM , 9 , 0 , 42 , 6 , 0 ,
 4 ,0124,10/7/2015 5:43:21 PM , 48 , 1 , 58 , 1 , 0 ,
 4 ,0124,10/7/2015 5:44:21 PM , 9 , 0 , 4 , 0 , 0 ,
 4 ,0124,10/7/2015 5:45:21 PM , 0 , 0 , 0 , 0 , 0 ,
 4 ,0124,10/7/2015 5:46:21 PM , 7 , 0 , 0 , 0 , 0 ,
 4 ,0124,10/7/2015 5:47:21 PM , 5 , 0 , 0 , 0 , 0 ,
 4 ,0124,10/7/2015 5:48:21 PM , 23 , 9 , 17 , 8 , 0 ,
 4 ,0124,10/7/2015 5:49:21 PM , 41 , 0 , 40 , 4 , 0 ,
 4 ,0124,10/7/2015 5:50:21 PM , 36 , 0 , 18 , 6 , 0 ,
 4 ,0124,10/7/2015 5:51:21 PM , 32 , 1 , 11 , 4 , 0 ,
 5 ,0124,10/7/2015 5:52:21 PM , 55 , 34 , 55 , 28 , 0 ,
 5 ,0124,10/7/2015 5:53:21 PM , 132 , 81 , 93 , 45 , 0 ,
 5 ,0124,10/7/2015 5:54:21 PM , 144 , 98 , 87 , 52 , 0 ,
 5 ,0124,10/7/2015 5:55:21 PM , 106 , 66 , 83 , 44 , 0 ,
 5 ,0124,10/7/2015 5:56:21 PM , 145 , 108 , 63 , 39 , 0 ,
 5 ,0124,10/7/2015 5:57:21 PM , 79 , 28 , 21 , 8 , 0 ,
 5 ,0124,10/7/2015 5:58:21 PM , 11 , 1 , 34 , 0 , 0 ,
 5 ,0124,10/7/2015 5:59:21 PM , 79 , 41 , 18 , 5 , 0 ,
 5 ,0124,10/7/2015 6:00:21 PM , 93 , 43 , 34 , 7 , 0 ,
 5 ,0124,10/7/2015 6:01:21 PM , 29 , 1 , 14 , 1 , 0 ,
 5 ,0124,10/7/2015 6:02:21 PM , 19 , 12 , 46 , 3 , 0 ,
 5 ,0124,10/7/2015 6:03:21 PM , 102 , 58 , 54 , 33 , 0 ,
 5 ,0124,10/7/2015 6:04:21 PM , 107 , 69 , 58 , 32 , 0 ,
 5 ,0124,10/7/2015 6:05:21 PM , 240 , 170 , 127 , 86 , 0 ,
 5 ,0124,10/7/2015 6:06:21 PM , 127 , 93 , 89 , 60 , 0 ,
 5 ,0124,10/7/2015 6:07:21 PM , 148 , 95 , 95 , 48 , 0 ,
 5 ,0124,10/7/2015 6:08:21 PM , 60 , 19 , 8 , 3 , 0 ,
 5 ,0124,10/7/2015 6:09:21 PM , 108 , 16 , 31 , 8 , 0 ,
 5 ,0124,10/7/2015 6:10:21 PM , 116 , 70 , 69 , 36 , 0 ,
 5 ,0124,10/7/2015 6:11:21 PM , 109 , 45 , 35 , 13 , 0 ,
 5 ,0124,10/7/2015 6:12:21 PM , 114 , 23 , 6 , 0 , 0 ,
 5 ,0124,10/7/2015 6:13:21 PM , 94 , 17 , 51 , 3 , 0 ,
 5 ,0124,10/7/2015 6:14:21 PM , 92 , 9 , 15 , 1 , 0 ,
 5 ,0124,10/7/2015 6:15:21 PM , 93 , 19 , 56 , 1 , 0 ,
 5 ,0124,10/7/2015 6:16:21 PM , 43 , 3 , 60 , 0 , 0 ,
 5 ,0124,10/7/2015 6:17:21 PM , 169 , 52 , 39 , 5 , 0 ,
 5 ,0124,10/7/2015 6:18:21 PM , 97 , 72 , 55 , 21 , 0 ,
 5 ,0124,10/7/2015 6:19:21 PM , 35 , 16 , 20 , 11 , 0 ,
 5 ,0124,10/7/2015 6:20:21 PM , 35 , 13 , 25 , 9 , 0 ,
 5 ,0124,10/7/2015 6:21:21 PM , 38 , 2 , 11 , 0 , 0 ,
 5 ,0124,10/7/2015 6:22:21 PM , 1 , 0 , 9 , 0 , 0 ,
 5 ,0124,10/7/2015 6:23:21 PM , 0 , 0 , 0 , 0 , 0 ,
 5 ,0124,10/7/2015 6:24:21 PM , 0 , 0 , 0 , 0 , 0 ,
 6 ,0124,10/7/2015 6:25:21 PM , 0 , 0 , 0 , 0 , 0 ,
 6 ,0124,10/7/2015 6:26:21 PM , 0 , 0 , 0 , 0 , 0 ,
 6 ,0124,10/7/2015 6:27:21 PM , 40 , 1 , 27 , 0 , 0 ,
 6 ,0124,10/7/2015 6:28:21 PM , 14 , 0 , 13 , 0 , 0 ,
 6 ,0124,10/7/2015 6:29:21 PM , 121 , 75 , 50 , 24 , 0 ,
 6 ,0124,10/7/2015 6:30:21 PM , 105 , 69 , 64 , 37 , 0 ,
 6 ,0124,10/7/2015 6:31:21 PM , 103 , 67 , 76 , 45 , 0 ,
 6 ,0124,10/7/2015 6:32:21 PM , 77 , 38 , 63 , 30 , 0 ,
 6 ,0124,10/7/2015 6:33:21 PM , 122 , 76 , 64 , 29 , 0 ,
 6 ,0124,10/7/2015 6:34:21 PM , 122 , 81 , 66 , 32 , 0 ,
 6 ,0124,10/7/2015 6:35:21 PM , 163 , 116 , 140 , 93 , 0 ,
 6 ,0124,10/7/2015 6:36:21 PM , 188 , 130 , 75 , 47 , 0 ,
 6 ,0124,10/7/2015 6:37:21 PM , 113 , 62 , 52 , 27 , 0 ,
 6 ,0124,10/7/2015 6:38:21 PM , 141 , 92 , 68 , 44 , 0 ,
 6 ,0124,10/7/2015 6:39:21 PM , 75 , 40 , 76 , 37 , 0 ,
 6 ,0124,10/7/2015 6:40:21 PM , 32 , 19 , 44 , 25 , 0 ,
 6 ,0124,10/7/2015 6:41:21 PM , 5 , 0 , 5 , 0 , 0 ,
 6 ,0124,10/7/2015 6:42:21 PM , 101 , 16 , 2 , 0 , 0 ,
 6 ,0124,10/7/2015 6:43:21 PM , 92 , 18 , 1 , 1 , 0 ,
 6 ,0124,10/7/2015 6:44:21 PM , 132 , 17 , 1 , 1 , 0 ,
 6 ,0124,10/7/2015 6:45:21 PM , 139 , 97 , 82 , 46 , 0 ,
 6 ,0124,10/7/2015 6:46:21 PM , 212 , 161 , 148 , 98 , 0 ,
 6 ,0124,10/7/2015 6:47:21 PM , 244 , 190 , 101 , 51 , 0 ,
 6 ,0124,10/7/2015 6:48:21 PM , 144 , 88 , 92 , 62 , 0 ,
 6 ,0124,10/7/2015 6:49:21 PM , 156 , 111 , 103 , 75 , 0 ,
 6 ,0124,10/7/2015 6:50:21 PM , 178 , 120 , 115 , 59 , 0 ,
 6 ,0124,10/7/2015 6:51:21 PM , 131 , 76 , 63 , 34 , 0 ,
 6 ,0124,10/7/2015 6:52:21 PM , 60 , 27 , 36 , 6 , 0 ,
 6 ,0124,10/7/2015 6:53:21 PM , 126 , 82 , 43 , 23 , 0 ,
 6 ,0124,10/7/2015 6:54:21 PM , 245 , 178 , 174 , 123 , 0 ,
 6 ,0124,10/7/2015 6:55:21 PM , 221 , 140 , 96 , 48 , 0 ,
 6 ,0124,10/7/2015 6:56:21 PM , 330 , 238 , 225 , 151 , 0 ,
 6 ,0124,10/7/2015 6:57:21 PM , 290 , 217 , 130 , 72 , 0 ,
 7 ,0124,10/7/2015 6:58:21 PM , 180 , 131 , 106 , 48 , 0 ,
 7 ,0124,10/7/2015 6:59:21 PM , 107 , 67 , 87 , 42 , 0 ,
 7 ,0124,10/7/2015 7:00:21 PM , 74 , 47 , 71 , 33 , 0 ,
 7 ,0124,10/7/2015 7:01:21 PM , 89 , 60 , 56 , 29 , 0 ,
 7 ,0124,10/7/2015 7:02:21 PM , 23 , 2 , 0 , 0 , 0 ,
 7 ,0124,10/7/2015 7:03:21 PM , 34 , 8 , 1 , 1 , 0 ,
 7 ,0124,10/7/2015 7:04:21 PM , 244 , 194 , 76 , 42 , 0 ,
 7 ,0124,10/7/2015 7:05:21 PM , 198 , 136 , 121 , 72 , 0 ,
 7 ,0124,10/7/2015 7:06:21 PM , 170 , 114 , 108 , 57 , 0 ,
 7 ,0124,10/7/2015 7:07:21 PM , 30 , 21 , 28 , 3 , 0 ,
 7 ,0124,10/7/2015 7:08:21 PM , 51 , 9 , 12 , 2 , 0 ,
 7 ,0124,10/7/2015 7:09:21 PM , 45 , 9 , 18 , 2 , 0 ,
 7 ,0124,10/7/2015 7:10:21 PM , 109 , 77 , 97 , 65 , 0 ,
 7 ,0124,10/7/2015 7:11:21 PM , 211 , 152 , 128 , 78 , 0 ,
 7 ,0124,10/7/2015 7:12:21 PM , 190 , 139 , 106 , 75 , 0 ,
 7 ,0124,10/7/2015 7:13:21 PM , 203 , 151 , 101 , 61 , 0 ,
 7 ,0124,10/7/2015 7:14:21 PM , 298 , 223 , 243 , 175 , 0 ,
 7 ,0124,10/7/2015 7:15:21 PM , 22 , 4 , 4 , 3 , 0 ,
 7 ,0124,10/7/2015 7:16:21 PM , 97 , 49 , 47 , 26 , 0 ,
 7 ,0124,10/7/2015 7:17:21 PM , 224 , 153 , 114 , 67 , 0 ,
 7 ,0124,10/7/2015 7:18:21 PM , 206 , 149 , 137 , 83 , 0 ,
 7 ,0124,10/7/2015 7:19:21 PM , 191 , 125 , 93 , 47 , 0 ,
 7 ,0124,10/7/2015 7:20:21 PM , 174 , 104 , 64 , 37 , 0 ,
 7 ,0124,10/7/2015 7:21:21 PM , 102 , 31 , 31 , 1 , 0 ,
 7 ,0124,10/7/2015 7:22:21 PM , 85 , 38 , 35 , 19 , 0 ,
 7 ,0124,10/7/2015 7:23:21 PM , 191 , 135 , 97 , 54 , 0 ,
 7 ,0124,10/7/2015 7:24:21 PM , 204 , 157 , 148 , 113 , 0 ,
 7 ,0124,10/7/2015 7:25:21 PM , 187 , 127 , 140 , 82 , 0 ,
 7 ,0124,10/7/2015 7:26:21 PM , 120 , 81 , 86 , 44 , 0 ,
 7 ,0124,10/7/2015 7:27:21 PM , 95 , 55 , 24 , 14 , 0 ,
