Oxymax Feeding Bouts CSV File 

CSV FILE CREATION:10/12/2015 10:23:18 AM
DATA FILENAME:C:\Users\Clams\Desktop\Data\BridgesLab\2015-10-07 mTSC-HFD cont & C57BL6J-Rapa2\2015-10-07-2.BDTA

GROUP/CAGE:0107
SUBJECT ID:4394
SUBJECT MASS:22.1 grams



:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,
COUNT,INTERVAL,CHANNEL,DATE,START,END,DURATION,WEIGHT,ACCUM,
#,#,#,,,,seconds,grams,grams,
===============,===============,===============,===============,===============,===============,===============,===============,===============,
 1 , 1 ,010701,10/7/2015,10/7/2015 3:40:32 PM ,10/7/2015 3:41:02 PM , 30 ,-0.05,-0.05,
 2 , 1 ,010701,10/7/2015,10/7/2015 3:42:47 PM ,10/7/2015 3:44:52 PM , 125 ,0.05,-0.01,
 3 , 1 ,010701,10/7/2015,10/7/2015 3:45:36 PM ,10/7/2015 3:47:25 PM , 109 ,-0.07,-0.07,
 4 , 2 ,010701,10/7/2015,10/7/2015 4:10:14 PM ,10/7/2015 4:13:15 PM , 181 ,-0.07,-0.14,
 5 , 2 ,010701,10/7/2015,10/7/2015 4:15:12 PM ,10/7/2015 4:15:24 PM , 12 ,0.09,-0.05,
 6 , 2 ,010701,10/7/2015,10/7/2015 4:17:08 PM ,10/7/2015 4:17:37 PM , 29 ,0.05,0.00,
 7 , 2 ,010701,10/7/2015,10/7/2015 4:18:24 PM ,10/7/2015 4:24:43 PM , 379 ,0.11,0.11,
 8 , 2 ,010701,10/7/2015,10/7/2015 4:26:41 PM ,10/7/2015 4:27:02 PM , 21 ,-0.09,0.02,
 9 , 2 ,010701,10/7/2015,10/7/2015 4:27:24 PM ,10/7/2015 4:27:28 PM , 4 ,0.05,0.07,
 10 , 2 ,010701,10/7/2015,10/7/2015 4:31:18 PM ,10/7/2015 4:32:11 PM , 53 ,-0.04,0.02,
 11 , 2 ,010701,10/7/2015,10/7/2015 4:38:17 PM ,10/7/2015 4:41:28 PM , 191 ,-0.07,-0.05,
 12 , 2 ,010701,10/7/2015,10/7/2015 4:41:45 PM ,10/7/2015 4:42:24 PM , 39 ,0.31,0.26,
 13 , 2 ,010701,10/7/2015,10/7/2015 4:42:46 PM ,10/7/2015 4:43:15 PM , 29 ,-0.07,0.19,
 14 , 3 ,010701,10/7/2015,10/7/2015 4:48:04 PM ,10/7/2015 4:49:07 PM , 63 ,-0.06,0.13,
 15 , 3 ,010701,10/7/2015,10/7/2015 4:49:45 PM ,10/7/2015 4:50:05 PM , 20 ,0.08,0.21,
 16 , 3 ,010701,10/7/2015,10/7/2015 5:06:40 PM ,10/7/2015 5:07:23 PM , 43 ,0.03,0.24,
 17 , 3 ,010701,10/7/2015,10/7/2015 5:14:11 PM ,10/7/2015 5:14:32 PM , 21 ,-0.03,0.20,
 18 , 5 ,010701,10/7/2015,10/7/2015 6:02:10 PM ,10/7/2015 6:06:53 PM , 283 ,0.16,0.37,
 19 , 5 ,010701,10/7/2015,10/7/2015 6:08:15 PM ,10/7/2015 6:08:21 PM , 6 ,0.04,0.41,
 20 , 5 ,010701,10/7/2015,10/7/2015 6:08:37 PM ,10/7/2015 6:08:53 PM , 16 ,0.07,0.48,
 21 , 5 ,010701,10/7/2015,10/7/2015 6:10:09 PM ,10/7/2015 6:11:59 PM , 110 ,-0.03,0.44,
 22 , 5 ,010701,10/7/2015,10/7/2015 6:14:27 PM ,10/7/2015 6:14:57 PM , 30 ,0.04,0.48,
 23 , 5 ,010701,10/7/2015,10/7/2015 6:15:59 PM ,10/7/2015 6:19:44 PM , 225 ,0.08,0.56,
 24 , 5 ,010701,10/7/2015,10/7/2015 6:22:26 PM ,10/7/2015 6:22:54 PM , 28 ,-0.07,0.49,
 25 , 6 ,010701,10/7/2015,10/7/2015 6:30:39 PM ,10/7/2015 6:31:44 PM , 65 ,0.03,0.53,
 26 , 6 ,010701,10/7/2015,10/7/2015 6:37:15 PM ,10/7/2015 6:44:21 PM , 426 ,0.32,0.85,
 27 , 6 ,010701,10/7/2015,10/7/2015 6:45:08 PM ,10/7/2015 6:45:30 PM , 22 ,-0.06,0.79,
 28 , 6 ,010701,10/7/2015,10/7/2015 6:46:12 PM ,10/7/2015 6:46:37 PM , 25 ,0.06,0.84,
 29 , 6 ,010701,10/7/2015,10/7/2015 6:48:57 PM ,10/7/2015 6:49:35 PM , 38 ,0.11,0.95,
 30 , 6 ,010701,10/7/2015,10/7/2015 6:49:53 PM ,10/7/2015 6:51:18 PM , 85 ,-0.22,0.73,
 31 , 6 ,010701,10/7/2015,10/7/2015 6:54:05 PM ,10/7/2015 6:54:21 PM , 16 ,0.07,0.81,
 32 , 7 ,010701,10/7/2015,10/7/2015 7:00:37 PM ,10/7/2015 7:01:16 PM , 39 ,-0.05,0.76,
 33 , 7 ,010701,10/7/2015,10/7/2015 7:01:38 PM ,10/7/2015 7:05:05 PM , 207 ,0.72,1.48,
 34 , 7 ,010701,10/7/2015,10/7/2015 7:06:27 PM ,10/7/2015 7:08:56 PM , 149 ,-0.09,1.39,
 35 , 7 ,010701,10/7/2015,10/7/2015 7:14:58 PM ,10/7/2015 7:20:19 PM , 321 ,0.22,1.61,
 36 , 7 ,010701,10/7/2015,10/7/2015 7:22:39 PM ,10/7/2015 7:22:42 PM , 3 ,-0.04,1.58,
 37 , 7 ,010701,10/7/2015,10/7/2015 7:27:52 PM ,10/7/2015 7:28:08 PM , 16 ,-0.04,1.53,
 38 , 8 ,010701,10/7/2015,10/7/2015 7:40:01 PM ,10/7/2015 7:40:49 PM , 48 ,-0.06,1.47,
 39 , 8 ,010701,10/7/2015,10/7/2015 7:42:21 PM ,10/7/2015 7:47:26 PM , 305 ,0.31,1.78,
 40 , 8 ,010701,10/7/2015,10/7/2015 7:48:37 PM ,10/7/2015 7:51:51 PM , 194 ,0.15,1.93,
 41 , 8 ,010701,10/7/2015,10/7/2015 7:52:49 PM ,10/7/2015 7:55:16 PM , 147 ,-0.10,1.83,
 42 , 8 ,010701,10/7/2015,10/7/2015 7:58:15 PM ,10/7/2015 7:58:23 PM , 8 ,-0.03,1.80,
 43 , 8 ,010701,10/7/2015,10/7/2015 7:58:55 PM ,10/7/2015 7:59:59 PM , 64 ,0.14,1.93,
 44 , 8 ,010701,10/7/2015,10/7/2015 8:00:14 PM ,10/7/2015 8:03:03 PM , 169 ,-0.06,1.87,
 45 , 9 ,010701,10/7/2015,10/7/2015 8:05:32 PM ,10/7/2015 8:06:04 PM , 32 ,-0.06,1.81,
 46 , 9 ,010701,10/7/2015,10/7/2015 8:11:12 PM ,10/7/2015 8:13:05 PM , 113 ,0.05,1.86,
 47 , 9 ,010701,10/7/2015,10/7/2015 8:13:19 PM ,10/7/2015 8:13:26 PM , 7 ,-0.03,1.83,
 48 , 9 ,010701,10/7/2015,10/7/2015 8:16:09 PM ,10/7/2015 8:21:52 PM , 343 ,0.21,2.04,
 49 , 9 ,010701,10/7/2015,10/7/2015 8:23:20 PM ,10/7/2015 8:23:31 PM , 11 ,-0.10,1.94,
 50 , 9 ,010701,10/7/2015,10/7/2015 8:24:55 PM ,10/7/2015 8:27:27 PM , 152 ,0.07,2.01,
 51 , 9 ,010701,10/7/2015,10/7/2015 8:28:53 PM ,10/7/2015 8:29:01 PM , 8 ,-0.09,1.93,
 52 , 9 ,010701,10/7/2015,10/7/2015 8:29:33 PM ,10/7/2015 8:30:03 PM , 30 ,0.09,2.02,
 53 , 9 ,010701,10/7/2015,10/7/2015 8:31:54 PM ,10/7/2015 8:33:56 PM , 122 ,-0.06,1.96,
 54 , 10 ,010701,10/7/2015,10/7/2015 8:39:08 PM ,10/7/2015 8:43:12 PM , 244 ,0.18,2.14,
 55 , 10 ,010701,10/7/2015,10/7/2015 8:44:05 PM ,10/7/2015 8:44:47 PM , 42 ,-0.06,2.08,
 56 , 10 ,010701,10/7/2015,10/7/2015 8:48:28 PM ,10/7/2015 8:48:56 PM , 28 ,-0.05,2.03,
 57 , 10 ,010701,10/7/2015,10/7/2015 8:49:19 PM ,10/7/2015 8:55:44 PM , 385 ,0.15,2.18,
 58 , 10 ,010701,10/7/2015,10/7/2015 8:56:06 PM ,10/7/2015 8:56:30 PM , 24 ,-0.04,2.14,
 59 , 10 ,010701,10/7/2015,10/7/2015 8:58:24 PM ,10/7/2015 9:05:52 PM , 448 ,0.25,2.39,
 60 , 10 ,010701,10/7/2015,10/7/2015 9:08:01 PM ,10/7/2015 9:08:21 PM , 20 ,0.04,2.43,
 61 , 11 ,010701,10/7/2015,10/7/2015 9:09:56 PM ,10/7/2015 9:11:33 PM , 97 ,0.08,2.51,
 62 , 11 ,010701,10/7/2015,10/7/2015 9:12:32 PM ,10/7/2015 9:13:02 PM , 30 ,0.06,2.57,
 63 , 11 ,010701,10/7/2015,10/7/2015 9:20:24 PM ,10/7/2015 9:21:42 PM , 78 ,-0.04,2.53,
 64 , 11 ,010701,10/7/2015,10/7/2015 9:25:05 PM ,10/7/2015 9:26:57 PM , 112 ,0.11,2.64,
 65 , 11 ,010701,10/7/2015,10/7/2015 9:32:38 PM ,10/7/2015 9:33:49 PM , 71 ,0.05,2.68,
 66 , 11 ,010701,10/7/2015,10/7/2015 9:35:47 PM ,10/7/2015 9:36:40 PM , 53 ,0.03,2.72,
 67 , 11 ,010701,10/7/2015,10/7/2015 9:38:14 PM ,10/7/2015 9:38:57 PM , 43 ,0.04,2.76,
 68 , 12 ,010701,10/7/2015,10/7/2015 9:41:48 PM ,10/7/2015 9:44:49 PM , 181 ,0.05,2.81,
 69 , 12 ,010701,10/7/2015,10/7/2015 9:46:14 PM ,10/7/2015 9:47:21 PM , 67 ,-0.14,2.67,
 70 , 12 ,010701,10/7/2015,10/7/2015 9:48:57 PM ,10/7/2015 9:49:26 PM , 29 ,0.11,2.78,
 71 , 12 ,010701,10/7/2015,10/7/2015 9:50:02 PM ,10/7/2015 9:51:11 PM , 69 ,0.06,2.84,
 72 , 12 ,010701,10/7/2015,10/7/2015 9:53:14 PM ,10/7/2015 9:53:32 PM , 18 ,-0.12,2.73,
 73 , 12 ,010701,10/7/2015,10/7/2015 9:54:42 PM ,10/7/2015 9:55:21 PM , 39 ,0.04,2.77,
 74 , 12 ,010701,10/7/2015,10/7/2015 9:57:34 PM ,10/7/2015 9:58:44 PM , 70 ,-0.07,2.70,
 75 , 12 ,010701,10/7/2015,10/7/2015 9:59:23 PM ,10/7/2015 10:04:12 PM , 289 ,0.12,2.82,
 76 , 12 ,010701,10/7/2015,10/7/2015 10:06:15 PM ,10/7/2015 10:06:37 PM , 22 ,0.11,2.93,
 77 , 12 ,010701,10/7/2015,10/7/2015 10:07:57 PM ,10/7/2015 10:10:42 PM , 165 ,0.05,2.98,
 78 , 12 ,010701,10/7/2015,10/7/2015 10:12:50 PM ,10/7/2015 10:14:29 PM , 99 ,0.04,3.02,
 79 , 13 ,010701,10/7/2015,10/7/2015 10:15:33 PM ,10/7/2015 10:21:35 PM , 362 ,0.11,3.13,
 80 , 13 ,010701,10/7/2015,10/7/2015 10:26:25 PM ,10/7/2015 10:27:16 PM , 51 ,0.12,3.24,
 81 , 13 ,010701,10/7/2015,10/7/2015 10:28:03 PM ,10/7/2015 10:28:09 PM , 6 ,-0.09,3.15,
 82 , 13 ,010701,10/7/2015,10/7/2015 10:31:02 PM ,10/7/2015 10:34:36 PM , 214 ,0.17,3.33,
 83 , 13 ,010701,10/7/2015,10/7/2015 10:38:32 PM ,10/7/2015 10:40:03 PM , 91 ,0.05,3.37,
 84 , 13 ,010701,10/7/2015,10/7/2015 10:40:16 PM ,10/7/2015 10:42:46 PM , 150 ,-0.10,3.27,
 85 , 13 ,010701,10/7/2015,10/7/2015 10:44:08 PM ,10/7/2015 10:45:57 PM , 109 ,0.10,3.37,
 86 , 13 ,010701,10/7/2015,10/7/2015 10:46:09 PM ,10/7/2015 10:46:22 PM , 13 ,-0.08,3.29,
 87 , 14 ,010701,10/7/2015,10/7/2015 10:49:32 PM ,10/7/2015 10:54:15 PM , 283 ,0.70,3.98,
 88 , 14 ,010701,10/7/2015,10/7/2015 10:58:01 PM ,10/7/2015 10:58:06 PM , 5 ,-0.03,3.95,
