Oxymax CSV File 

CSV Generation Date,10/12/2015 10:23:28 AM 
Experiment Started,10/7/2015 3:39:16 PM 
Data Filename,C:\Users\Clams\Desktop\Data\BridgesLab\2015-10-07 mTSC-HFD cont & C57BL6J-Rapa2\2015-10-07-2.CDTA

Group/Cage,0123
O2 Calibration Date,10/7/2015 3:31:23 PM
CO2 Calibration Date,10/7/2015 3:37:33 PM
Subject ID,4564
Subject Mass (G), 27.39 

Reference Settle Time (s), 55 
Reference Measure Time (s), 5 
Cage Settle Time (s), 55 
Cage Measure Time (s), 5 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_0


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,STATUS1,FEED1,FEED1 ACC,XTOT,XAMB,YTOT,YAMB,WHEEL,WHEEL ACC,ENCLOSURE TEMP,ENCLOSURE SETPOINT,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/hr,LPM,,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,degC,degC,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0123,10/7/2015 4:04:21 PM ,2977,20.921,20.635,0.286,0.0,2286,0.041,0.272,0.231,0.0,0.768,0.4,0.45,STABLE / OPEN,-0.03,-0.03,1184,455,711,261,0,0,25.3,25.0,
2,0123,10/7/2015 4:37:21 PM ,2693,20.921,20.663,0.258,0.0,2010,0.039,0.243,0.203,0.0,0.746,0.3,0.45,STABLE / OPEN,0.00,-0.03,156,25,41,2,0,0,25.3,25.0,
3,0123,10/7/2015 5:10:21 PM ,3688,20.921,20.569,0.353,0.1,2866,0.039,0.326,0.287,0.1,0.777,0.5,0.46,UNSTABLE / OPEN,-0.06,-0.09,1273,386,715,180,0,0,25.7,25.0,
4,0123,10/7/2015 5:43:21 PM ,2817,20.921,20.652,0.270,0.1,2164,0.039,0.256,0.218,0.1,0.768,0.4,0.45,STABLE / OPEN,0.05,-0.04,315,108,128,37,0,0,25.1,25.0,
5,0123,10/7/2015 6:16:21 PM ,4282,20.921,20.509,0.412,0.2,3498,0.039,0.390,0.350,0.1,0.817,0.6,0.46,STABLE / OPEN,0.11,0.06,2052,658,994,277,0,0,25.1,25.0,
6,0123,10/7/2015 6:49:21 PM ,4431,20.921,20.486,0.436,0.3,3755,0.040,0.421,0.381,0.2,0.848,0.6,0.45,STABLE / OPEN,0.09,0.16,1463,733,1044,376,0,0,25.4,25.0,
7,0123,10/7/2015 7:22:21 PM ,4131,20.921,20.510,0.411,0.3,3728,0.040,0.419,0.379,0.3,0.902,0.6,0.45,UNSTABLE / OPEN,0.13,0.29,3216,1625,2254,1042,0,0,25.5,25.0,
8,0123,10/7/2015 7:54:21 PM ,4177,20.921,20.506,0.416,0.4,3849,0.040,0.430,0.389,0.3,0.921,0.6,0.45,UNSTABLE / OPEN,0.17,0.46,3684,1935,2706,1357,0,0,25.2,25.0,
9,0123,10/7/2015 8:27:21 PM ,4451,20.921,20.480,0.441,0.4,4121,0.040,0.455,0.415,0.4,0.926,0.6,0.45,STABLE / OPEN,0.22,0.68,2395,1173,1614,677,0,0,25.4,25.0,
10,0123,10/7/2015 9:00:21 PM ,4198,20.921,20.504,0.418,0.5,3839,0.040,0.429,0.389,0.4,0.915,0.6,0.45,UNSTABLE / OPEN,0.23,0.91,3453,2126,2402,1257,0,0,25.4,25.0,
11,0123,10/7/2015 9:33:21 PM ,2532,20.921,20.671,0.250,0.6,2299,0.040,0.271,0.231,0.5,0.908,0.3,0.45,STABLE / OPEN,0.06,0.96,1251,446,920,296,0,0,25.3,25.0,
12,0123,10/7/2015 10:06:21 PM ,3027,20.921,20.621,0.300,0.6,2776,0.040,0.320,0.280,0.5,0.917,0.4,0.45,STABLE / OPEN,0.00,0.96,1025,263,769,189,0,0,25.6,25.0,
13,0123,10/7/2015 10:39:21 PM ,4078,20.921,20.513,0.408,0.7,3786,0.040,0.425,0.385,0.6,0.928,0.6,0.45,STABLE / OPEN,0.18,1.14,2954,1706,2018,1038,0,0,25.2,25.0,
14,0123,10/7/2015 11:12:21 PM ,4419,20.921,20.477,0.445,0.7,4171,0.040,0.465,0.425,0.6,0.944,0.6,0.45,STABLE / OPEN,0.36,1.50,2432,1238,1626,757,0,0,25.6,25.0,
15,0123,10/7/2015 11:45:21 PM ,4158,20.921,20.504,0.417,0.8,3916,0.040,0.437,0.397,0.7,0.942,0.6,0.45,UNSTABLE / OPEN,0.00,1.50,2579,1398,1859,882,0,0,25.2,25.0,
16,0123,10/8/2015 12:18:21 AM ,4233,20.921,20.497,0.424,0.9,3974,0.039,0.443,0.404,0.8,0.939,0.6,0.45,UNSTABLE / OPEN,0.27,1.77,2949,1631,2141,1000,0,0,25.6,25.0,
17,0123,10/8/2015 12:51:21 AM ,2681,20.921,20.653,0.268,0.9,2478,0.039,0.290,0.252,0.8,0.924,0.4,0.45,STABLE / OPEN,0.14,1.90,898,371,933,250,0,0,25.2,25.0,
18,0123,10/8/2015 1:24:21 AM ,2568,20.921,20.668,0.253,0.9,2260,0.039,0.267,0.229,0.8,0.880,0.3,0.45,STABLE / OPEN,-0.01,1.89,504,34,93,32,0,0,25.5,25.0,
19,0123,10/8/2015 1:57:21 AM ,2591,20.921,20.666,0.255,1.0,2364,0.039,0.276,0.237,0.9,0.912,0.4,0.45,STABLE / OPEN,-0.03,1.86,381,24,662,19,0,0,25.1,25.0,
20,0123,10/8/2015 2:30:21 AM ,2792,20.921,20.644,0.277,1.0,2545,0.039,0.296,0.257,0.9,0.912,0.4,0.45,STABLE / OPEN,0.04,1.90,694,143,1039,228,0,0,25.4,25.0,
21,0123,10/8/2015 3:03:21 AM ,3884,20.921,20.537,0.385,1.1,3459,0.039,0.389,0.350,1.0,0.890,0.5,0.45,UNSTABLE / OPEN,0.02,1.92,1694,556,1176,291,0,0,25.2,25.0,
22,0123,10/8/2015 3:36:21 AM ,3380,20.921,20.587,0.334,1.1,3022,0.039,0.344,0.306,1.0,0.894,0.5,0.45,STABLE / OPEN,0.28,2.20,2570,1430,1552,762,0,0,25.3,25.0,
23,0123,10/8/2015 4:09:21 AM ,2874,20.921,20.640,0.281,1.2,2641,0.039,0.302,0.263,1.0,0.919,0.4,0.46,UNSTABLE / OPEN,0.13,2.33,875,274,666,163,0,0,25.2,25.0,
24,0123,10/8/2015 4:41:21 AM ,2705,20.921,20.651,0.270,1.2,2511,0.039,0.294,0.254,1.1,0.928,0.4,0.45,STABLE / OPEN,0.07,2.40,1739,434,558,276,0,0,25.3,25.0,
25,0123,10/8/2015 5:14:21 AM ,2805,20.921,20.639,0.282,1.3,2722,0.040,0.315,0.275,1.1,0.970,0.4,0.45,STABLE / OPEN,0.29,2.68,732,252,443,94,0,0,25.6,25.0,
26,0123,10/8/2015 5:47:21 AM ,2528,20.921,20.669,0.252,1.3,2403,0.040,0.282,0.242,1.2,0.951,0.3,0.45,STABLE / OPEN,0.00,2.68,278,68,81,16,0,0,25.2,25.0,
27,0123,10/8/2015 6:20:21 AM ,3966,20.921,20.521,0.401,1.3,3883,0.040,0.434,0.394,1.2,0.979,0.5,0.45,STABLE / OPEN,0.26,2.94,3310,1822,1745,953,0,0,25.4,25.0,
28,0123,10/8/2015 6:53:21 AM ,4002,20.921,20.522,0.399,1.4,3766,0.040,0.420,0.380,1.3,0.941,0.5,0.45,STABLE / OPEN,0.24,3.18,3811,2529,2592,1398,0,0,25.5,25.0,
29,0123,10/8/2015 7:26:21 AM ,4246,20.921,20.502,0.419,1.5,4009,0.041,0.441,0.400,1.3,0.944,0.6,0.46,UNSTABLE / OPEN,0.19,3.37,3752,2463,2507,1419,0,0,25.5,25.0,
30,0123,10/8/2015 7:59:21 AM ,2987,20.921,20.628,0.293,1.5,2756,0.041,0.316,0.275,1.4,0.922,0.4,0.46,STABLE / OPEN,0.05,3.42,1457,508,783,318,0,0,25.2,25.0,
31,0123,10/8/2015 8:32:21 AM ,2908,20.921,20.635,0.286,1.6,2711,0.042,0.312,0.270,1.4,0.932,0.4,0.46,STABLE / OPEN,0.04,3.46,593,30,132,21,0,0,25.1,25.0,
32,0123,10/8/2015 9:05:21 AM ,2783,20.921,20.647,0.275,1.6,2531,0.041,0.296,0.254,1.5,0.909,0.4,0.45,STABLE / OPEN,-0.01,3.45,1029,179,147,37,0,0,25.3,25.0,
33,0123,10/8/2015 9:38:21 AM ,4301,20.921,20.496,0.425,1.7,3901,0.041,0.434,0.393,1.5,0.907,0.6,0.45,UNSTABLE / OPEN,0.94,4.39,1175,292,359,142,0,0,25.7,25.0,
34,0123,10/8/2015 10:11:21 AM ,3794,20.921,20.546,0.376,1.7,3528,0.043,0.397,0.354,1.6,0.930,0.5,0.45,UNSTABLE / OPEN,-0.04,4.36,1953,786,1354,573,0,0,25.0,25.0,
35,0123,10/8/2015 10:44:21 AM ,3342,20.921,20.594,0.327,1.8,2953,0.043,0.340,0.297,1.6,0.884,0.4,0.45,STABLE / OPEN,0.00,4.36,291,64,209,48,0,0,25.4,25.0,
36,0123,10/8/2015 11:17:21 AM ,3016,20.921,20.625,0.297,1.8,2687,0.043,0.313,0.270,1.6,0.891,0.4,0.45,UNSTABLE / OPEN,0.03,4.38,138,9,112,21,0,0,25.7,25.0,
37,0123,10/8/2015 11:50:21 AM ,3087,20.921,20.617,0.304,1.9,2810,0.042,0.324,0.282,1.7,0.910,0.4,0.45,STABLE / OPEN,0.05,4.43,987,228,491,128,0,0,25.1,25.0,
38,0123,10/8/2015 12:23:21 PM ,3060,20.921,20.624,0.298,1.9,2625,0.042,0.305,0.263,1.7,0.858,0.4,0.46,STABLE / OPEN,-0.03,4.40,357,7,61,5,0,0,25.4,25.0,
39,0123,10/8/2015 12:56:21 PM ,2888,20.921,20.641,0.280,2.0,2514,0.041,0.291,0.250,1.8,0.871,0.4,0.46,UNSTABLE / OPEN,-0.07,4.33,966,376,600,224,0,0,25.2,25.0,
40,0123,10/8/2015 1:28:21 PM ,3451,20.921,20.585,0.336,2.0,3037,0.040,0.344,0.304,1.8,0.880,0.5,0.46,STABLE / OPEN,0.03,4.35,400,15,573,42,0,0,25.0,25.0,
41,0123,10/8/2015 2:01:21 PM ,2988,20.921,20.629,0.292,2.1,2604,0.040,0.301,0.261,1.9,0.871,0.4,0.45,STABLE / OPEN,-0.01,4.34,759,177,907,140,0,0,25.5,25.0,
42,0123,10/8/2015 2:34:21 PM ,2951,20.921,20.639,0.282,2.1,2372,0.040,0.276,0.236,1.9,0.804,0.4,0.46,UNSTABLE / OPEN,-0.06,4.28,84,11,37,9,0,0,25.3,25.0,
43,0123,10/8/2015 3:07:21 PM ,3390,20.921,20.591,0.330,2.2,2871,0.039,0.328,0.289,1.9,0.847,0.5,0.45,STABLE / OPEN,0.06,4.34,422,87,350,56,0,0,25.3,25.0,
44,0123,10/8/2015 3:40:21 PM ,2612,20.921,20.665,0.256,2.2,2364,0.038,0.275,0.236,2.0,0.905,0.4,0.46,UNSTABLE / OPEN,0.00,4.34,298,77,150,45,0,0,25.2,25.0,
