Oxymax CSV File 

CSV Generation Date,10/12/2015 10:23:18 AM 
Experiment Started,10/7/2015 3:39:16 PM 
Data Filename,C:\Users\Clams\Desktop\Data\BridgesLab\2015-10-07 mTSC-HFD cont & C57BL6J-Rapa2\2015-10-07-2.CDTA

Group/Cage,0108
O2 Calibration Date,10/7/2015 3:31:23 PM
CO2 Calibration Date,10/7/2015 3:37:33 PM
Subject ID,4373
Subject Mass (G), 18.5 

Reference Settle Time (s), 55 
Reference Measure Time (s), 5 
Cage Settle Time (s), 55 
Cage Measure Time (s), 5 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_0


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,STATUS1,FEED1,FEED1 ACC,XTOT,XAMB,YTOT,YAMB,WHEEL,WHEEL ACC,ENCLOSURE TEMP,ENCLOSURE SETPOINT,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/hr,LPM,,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,degC,degC,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0108,10/7/2015 3:48:21 PM ,5033,20.921,20.582,0.339,0.0,4247,0.042,0.338,0.296,0.0,0.844,0.5,0.44,STABLE / OPEN,-0.01,-0.01,648,304,417,201,0,0,24.9,25.0,
2,0108,10/7/2015 4:21:21 PM ,3080,20.921,20.710,0.211,0.0,2810,0.040,0.236,0.196,0.0,0.912,0.3,0.44,STABLE / OPEN,0.00,-0.01,610,132,296,115,0,0,25.0,25.0,
3,0108,10/7/2015 4:54:21 PM ,4809,20.921,20.589,0.333,0.1,4546,0.039,0.357,0.318,0.1,0.945,0.4,0.44,STABLE / OPEN,0.17,0.16,1594,645,1059,548,0,0,25.3,25.0,
4,0108,10/7/2015 5:27:21 PM ,3239,20.921,20.700,0.221,0.1,3066,0.039,0.250,0.211,0.1,0.947,0.3,0.45,STABLE / OPEN,0.00,0.16,913,236,244,128,0,0,25.5,25.0,
5,0108,10/7/2015 6:00:21 PM ,4886,20.921,20.584,0.338,0.2,4747,0.039,0.369,0.330,0.2,0.972,0.5,0.44,STABLE / OPEN,0.17,0.33,1522,527,808,398,0,0,25.6,25.0,
6,0108,10/7/2015 6:33:21 PM ,4565,20.921,20.604,0.317,0.2,4352,0.040,0.345,0.305,0.2,0.953,0.4,0.44,STABLE / OPEN,0.01,0.35,708,216,343,167,0,0,25.3,25.0,
7,0108,10/7/2015 7:06:21 PM ,5366,20.921,20.553,0.368,0.3,5057,0.040,0.391,0.351,0.2,0.942,0.5,0.44,UNSTABLE / OPEN,0.09,0.44,2889,1612,2300,1296,0,0,24.9,25.0,
8,0108,10/7/2015 7:39:21 PM ,5177,20.921,20.561,0.360,0.3,4989,0.040,0.390,0.350,0.3,0.964,0.5,0.44,UNSTABLE / OPEN,0.17,0.61,2297,1281,1512,882,0,0,25.6,25.0,
9,0108,10/7/2015 8:11:21 PM ,5062,20.921,20.568,0.353,0.4,4906,0.040,0.384,0.344,0.3,0.969,0.5,0.44,STABLE / OPEN,0.44,1.05,2013,966,1366,756,0,0,25.1,25.0,
10,0108,10/7/2015 8:44:21 PM ,3924,20.921,20.648,0.273,0.4,3748,0.040,0.304,0.263,0.4,0.955,0.4,0.44,STABLE / OPEN,0.00,1.05,1775,891,1040,594,0,0,25.6,25.0,
11,0108,10/7/2015 9:17:21 PM ,2764,20.921,20.730,0.192,0.4,2677,0.041,0.228,0.187,0.4,0.968,0.3,0.44,STABLE / OPEN,0.00,1.05,105,3,165,21,0,0,25.3,25.0,
12,0108,10/7/2015 9:50:21 PM ,5041,20.921,20.570,0.351,0.5,4841,0.041,0.381,0.340,0.5,0.960,0.5,0.44,STABLE / OPEN,0.25,1.30,2021,1183,1743,859,0,0,24.9,25.0,
13,0108,10/7/2015 10:23:21 PM ,5629,20.921,20.532,0.389,0.5,5421,0.041,0.418,0.378,0.5,0.963,0.5,0.44,STABLE / OPEN,0.24,1.54,2284,1310,1802,989,0,0,25.5,25.0,
14,0108,10/7/2015 10:56:21 PM ,5636,20.921,20.533,0.389,0.6,5211,0.041,0.406,0.365,0.6,0.925,0.5,0.44,UNSTABLE / OPEN,0.79,2.33,2199,1185,1557,873,0,0,25.0,25.0,
15,0108,10/7/2015 11:29:21 PM ,5637,20.921,20.534,0.387,0.7,5066,0.040,0.396,0.355,0.6,0.899,0.5,0.44,UNSTABLE / OPEN,-0.06,2.27,3494,2000,2230,1067,0,0,25.2,25.0,
16,0108,10/8/2015 12:02:21 AM ,5948,20.921,20.517,0.404,0.7,5393,0.040,0.414,0.374,0.7,0.907,0.5,0.44,STABLE / OPEN,0.00,2.27,3603,2191,2594,1459,0,0,25.5,25.0,
17,0108,10/8/2015 12:35:21 AM ,5161,20.921,20.566,0.356,0.8,4761,0.040,0.374,0.333,0.7,0.922,0.5,0.44,STABLE / OPEN,0.00,2.27,3941,2235,2825,1434,0,0,25.1,25.0,
18,0108,10/8/2015 1:08:21 AM ,3030,20.921,20.713,0.208,0.8,2705,0.039,0.229,0.190,0.8,0.893,0.3,0.44,STABLE / OPEN,0.00,2.27,415,74,107,14,0,0,25.5,25.0,
19,0108,10/8/2015 1:41:21 AM ,3563,20.921,20.675,0.246,0.8,3413,0.039,0.277,0.238,0.8,0.958,0.3,0.44,STABLE / OPEN,0.00,2.27,519,84,123,22,0,0,25.4,25.0,
20,0108,10/8/2015 2:14:21 AM ,5634,20.921,20.534,0.388,0.9,5344,0.039,0.411,0.372,0.8,0.949,0.5,0.44,STABLE / OPEN,0.05,2.32,2711,1514,2215,1183,0,0,25.0,25.0,
21,0108,10/8/2015 2:47:21 AM ,5160,20.921,20.565,0.356,0.9,4697,0.039,0.369,0.330,0.9,0.910,0.5,0.44,STABLE / OPEN,0.19,2.51,2126,1088,1412,684,0,0,25.0,25.0,
22,0108,10/8/2015 3:20:21 AM ,3659,20.921,20.669,0.252,1.0,3329,0.038,0.272,0.234,0.9,0.910,0.3,0.44,STABLE / OPEN,0.00,2.51,1148,373,469,241,0,0,25.5,25.0,
23,0108,10/8/2015 3:53:21 AM ,2666,20.921,20.740,0.181,1.0,2313,0.039,0.200,0.162,1.0,0.868,0.2,0.44,STABLE / OPEN,0.00,2.51,71,1,17,4,0,0,25.2,25.0,
24,0108,10/8/2015 4:26:21 AM ,4510,20.921,20.617,0.304,1.1,3938,0.039,0.312,0.273,1.0,0.873,0.4,0.44,STABLE / OPEN,-0.03,2.48,734,319,361,184,0,0,25.0,25.0,
25,0108,10/8/2015 4:58:21 AM ,5214,20.921,20.566,0.356,1.1,4749,0.039,0.369,0.330,1.0,0.911,0.5,0.44,UNSTABLE / OPEN,0.06,2.54,2886,1617,1932,997,0,0,25.6,25.0,
26,0108,10/8/2015 5:31:21 AM ,4969,20.921,20.580,0.341,1.2,4534,0.039,0.357,0.317,1.1,0.913,0.5,0.44,STABLE / OPEN,0.21,2.76,3501,1973,2523,1365,0,0,25.1,25.0,
27,0108,10/8/2015 6:04:21 AM ,3129,20.921,20.712,0.210,1.2,2543,0.041,0.218,0.177,1.1,0.813,0.3,0.44,STABLE / OPEN,-0.05,2.71,942,279,819,257,0,0,25.0,25.0,
28,0108,10/8/2015 6:37:21 AM ,3112,20.921,20.716,0.205,1.2,2433,0.041,0.209,0.168,1.1,0.782,0.3,0.45,STABLE / OPEN,0.00,2.71,27,5,45,6,0,0,25.1,25.0,
29,0108,10/8/2015 7:10:21 AM ,4488,20.921,20.625,0.296,1.3,3593,0.041,0.289,0.247,1.2,0.801,0.4,0.45,STABLE / OPEN,0.00,2.71,216,7,113,5,0,0,24.9,25.0,
30,0108,10/8/2015 7:43:21 AM ,4968,20.921,20.584,0.337,1.3,4381,0.042,0.346,0.305,1.2,0.882,0.5,0.44,STABLE / OPEN,0.09,2.80,3899,2243,2848,1654,0,0,25.1,25.0,
31,0108,10/8/2015 8:16:21 AM ,4544,20.921,20.613,0.308,1.4,4009,0.042,0.321,0.279,1.3,0.882,0.4,0.44,STABLE / OPEN,0.13,2.93,3028,1250,2171,956,0,0,25.4,25.0,
32,0108,10/8/2015 8:49:21 AM ,3099,20.921,20.716,0.206,1.4,2451,0.042,0.212,0.170,1.3,0.791,0.3,0.44,STABLE / OPEN,0.00,2.93,115,3,25,11,0,0,25.6,25.0,
33,0108,10/8/2015 9:22:21 AM ,2860,20.921,20.732,0.189,1.4,2237,0.042,0.196,0.155,1.3,0.782,0.3,0.45,STABLE / OPEN,0.00,2.93,79,4,9,7,0,0,25.5,25.0,
34,0108,10/8/2015 9:55:21 AM ,3098,20.921,20.717,0.204,1.5,2403,0.041,0.207,0.166,1.3,0.776,0.3,0.45,STABLE / OPEN,0.00,2.93,58,3,50,13,0,0,25.1,25.0,
35,0108,10/8/2015 10:28:21 AM ,4710,20.921,20.602,0.319,1.5,4111,0.043,0.330,0.286,1.4,0.873,0.4,0.44,STABLE / OPEN,0.11,3.04,2842,1305,1534,753,0,0,24.9,25.0,
36,0108,10/8/2015 11:01:21 AM ,3260,20.921,20.702,0.220,1.5,2763,0.043,0.235,0.192,1.4,0.848,0.3,0.44,STABLE / OPEN,-0.03,3.01,2245,1107,1150,554,0,0,25.0,25.0,
37,0108,10/8/2015 11:34:21 AM ,3134,20.921,20.715,0.206,1.6,2483,0.042,0.213,0.171,1.4,0.792,0.3,0.45,STABLE / OPEN,0.00,3.01,44,0,2,1,0,0,25.4,25.0,
38,0108,10/8/2015 12:07:21 PM ,3188,20.921,20.709,0.212,1.6,2559,0.042,0.220,0.178,1.5,0.803,0.3,0.44,STABLE / OPEN,0.00,3.01,32,0,55,9,0,0,25.6,25.0,
39,0108,10/8/2015 12:40:21 PM ,3026,20.921,20.721,0.200,1.6,2313,0.041,0.202,0.161,1.5,0.764,0.3,0.44,STABLE / OPEN,0.00,3.01,118,2,2,2,0,0,25.3,25.0,
40,0108,10/8/2015 1:13:21 PM ,4052,20.921,20.654,0.267,1.7,3377,0.040,0.271,0.231,1.5,0.833,0.4,0.45,STABLE / OPEN,0.07,3.08,1277,404,625,318,0,0,25.0,25.0,
41,0108,10/8/2015 1:45:21 PM ,3209,20.921,20.709,0.212,1.7,2583,0.040,0.218,0.178,1.5,0.805,0.3,0.45,STABLE / OPEN,0.00,3.08,36,2,2,0,0,0,25.0,25.0,
42,0108,10/8/2015 2:18:21 PM ,3045,20.921,20.720,0.202,1.7,2345,0.040,0.203,0.163,1.6,0.770,0.3,0.44,STABLE / OPEN,0.00,3.08,51,1,1,0,0,0,25.4,25.0,
43,0108,10/8/2015 2:51:21 PM ,4503,20.921,20.617,0.304,1.8,3991,0.040,0.316,0.276,1.6,0.886,0.4,0.45,STABLE / OPEN,0.17,3.25,1609,622,1236,558,0,0,25.7,25.0,
44,0108,10/8/2015 3:24:21 PM ,3169,20.921,20.709,0.212,1.8,2735,0.039,0.228,0.189,1.6,0.863,0.3,0.45,STABLE / OPEN,-0.04,3.20,102,4,6,1,0,0,25.4,25.0,
45,0108,10/8/2015 3:57:21 PM ,4461,20.921,20.627,0.295,1.9,3723,0.039,0.294,0.255,1.7,0.835,0.4,0.45,STABLE / OPEN,0.12,3.32,322,128,234,106,0,0,25.0,25.0,
