Oxymax CSV File 

CSV Generation Date,10/12/2015 10:23:23 AM 
Experiment Started,10/7/2015 3:39:16 PM 
Data Filename,C:\Users\Clams\Desktop\Data\BridgesLab\2015-10-07 mTSC-HFD cont & C57BL6J-Rapa2\2015-10-07-2.CDTA

Group/Cage,0115
O2 Calibration Date,10/7/2015 3:31:23 PM
CO2 Calibration Date,10/7/2015 3:37:33 PM
Subject ID,4365
Subject Mass (G), 27.8 

Reference Settle Time (s), 55 
Reference Measure Time (s), 5 
Cage Settle Time (s), 55 
Cage Measure Time (s), 5 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_0


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,STATUS1,FEED1,FEED1 ACC,XTOT,XAMB,YTOT,YAMB,WHEEL,WHEEL ACC,ENCLOSURE TEMP,ENCLOSURE SETPOINT,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/hr,LPM,,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,degC,degC,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0115,10/7/2015 3:55:21 PM ,3075,20.921,20.621,0.300,0.0,2459,0.042,0.293,0.250,0.0,0.800,0.4,0.45,STABLE / OPEN,0.00,0.00,526,182,277,79,0,0,25.1,25.0,
2,0115,10/7/2015 4:28:21 PM ,2573,20.921,20.669,0.252,0.0,2098,0.040,0.254,0.214,0.0,0.815,0.3,0.46,STABLE / OPEN,-0.03,-0.03,58,1,100,0,0,0,24.9,25.0,
3,0115,10/7/2015 5:01:21 PM ,2769,20.921,20.647,0.274,0.1,2412,0.039,0.284,0.245,0.1,0.871,0.4,0.46,STABLE / OPEN,0.20,0.17,931,259,478,39,0,0,25.0,25.0,
4,0115,10/7/2015 5:34:21 PM ,3155,20.921,20.610,0.311,0.1,2752,0.039,0.318,0.279,0.1,0.872,0.4,0.46,UNSTABLE / OPEN,-0.06,0.11,585,147,162,30,0,0,25.3,25.0,
5,0115,10/7/2015 6:07:21 PM ,4000,20.921,20.526,0.395,0.2,3542,0.039,0.398,0.359,0.2,0.886,0.5,0.46,STABLE / OPEN,0.17,0.29,1459,580,696,175,0,0,25.5,25.0,
6,0115,10/7/2015 6:40:21 PM ,4126,20.921,20.514,0.408,0.2,3553,0.040,0.401,0.362,0.2,0.861,0.6,0.46,UNSTABLE / OPEN,0.10,0.38,2374,1194,1030,456,0,0,24.9,25.0,
7,0115,10/7/2015 7:13:21 PM ,4418,20.921,20.485,0.436,0.3,3776,0.040,0.424,0.384,0.3,0.855,0.6,0.46,STABLE / OPEN,0.22,0.61,3376,1931,1559,757,0,0,25.5,25.0,
8,0115,10/7/2015 7:46:21 PM ,3988,20.921,20.523,0.398,0.4,3568,0.040,0.404,0.364,0.3,0.895,0.5,0.45,STABLE / OPEN,-0.04,0.57,2706,1605,1178,559,0,0,25.2,25.0,
9,0115,10/7/2015 8:19:21 PM ,3676,20.921,20.557,0.364,0.4,3214,0.040,0.367,0.327,0.4,0.874,0.5,0.46,UNSTABLE / OPEN,0.25,0.81,3202,1800,1150,480,0,0,25.3,25.0,
10,0115,10/7/2015 8:52:21 PM ,2354,20.921,20.689,0.233,0.5,2026,0.040,0.246,0.206,0.4,0.861,0.3,0.45,STABLE / OPEN,0.04,0.85,219,20,70,17,0,0,25.3,25.0,
11,0115,10/7/2015 9:25:21 PM ,3315,20.921,20.593,0.328,0.5,2935,0.040,0.338,0.298,0.5,0.885,0.5,0.46,STABLE / OPEN,0.01,0.86,845,407,322,103,0,0,24.8,25.0,
12,0115,10/7/2015 9:58:21 PM ,2218,20.921,20.702,0.219,0.6,1874,0.040,0.231,0.191,0.5,0.845,0.3,0.45,STABLE / OPEN,0.00,0.86,138,43,125,15,0,0,25.5,25.0,
13,0115,10/7/2015 10:31:21 PM ,3220,20.921,20.602,0.319,0.6,2751,0.040,0.321,0.281,0.5,0.854,0.4,0.45,STABLE / OPEN,0.08,0.94,673,206,401,96,0,0,25.1,25.0,
14,0115,10/7/2015 11:04:21 PM ,3648,20.921,20.555,0.366,0.7,3343,0.040,0.382,0.341,0.6,0.916,0.5,0.45,UNSTABLE / OPEN,0.58,1.52,2593,1351,1373,697,0,0,25.4,25.0,
15,0115,10/7/2015 11:37:21 PM ,3617,20.921,20.563,0.358,0.7,3107,0.040,0.356,0.317,0.6,0.859,0.5,0.45,UNSTABLE / OPEN,0.04,1.56,2523,1537,1361,710,0,0,25.4,25.0,
16,0115,10/8/2015 12:09:21 AM ,2563,20.921,20.668,0.253,0.8,2203,0.040,0.264,0.224,0.7,0.860,0.3,0.46,UNSTABLE / OPEN,0.01,1.57,756,266,598,174,0,0,24.9,25.0,
17,0115,10/8/2015 12:42:21 AM ,2213,20.921,20.703,0.218,0.8,1882,0.040,0.232,0.192,0.7,0.851,0.3,0.46,STABLE / OPEN,0.12,1.69,37,1,35,0,0,0,25.6,25.0,
18,0115,10/8/2015 1:15:21 AM ,2282,20.921,20.699,0.222,0.8,1827,0.039,0.224,0.186,0.7,0.801,0.3,0.46,STABLE / OPEN,0.05,1.74,23,2,49,0,0,0,25.2,25.0,
19,0115,10/8/2015 1:48:21 AM ,2585,20.921,20.666,0.255,0.9,2251,0.039,0.268,0.229,0.8,0.871,0.4,0.46,STABLE / OPEN,-0.05,1.68,1702,772,1025,431,0,0,24.9,25.0,
20,0115,10/8/2015 2:21:21 AM ,2083,20.921,20.716,0.205,0.9,1713,0.039,0.214,0.175,0.8,0.823,0.3,0.45,STABLE / OPEN,0.08,1.76,19,2,13,0,0,0,25.6,25.0,
21,0115,10/8/2015 2:54:21 AM ,2741,20.921,20.653,0.268,0.9,2152,0.039,0.259,0.220,0.8,0.785,0.4,0.45,STABLE / OPEN,0.01,1.77,260,84,263,25,0,0,25.4,25.0,
22,0115,10/8/2015 3:27:21 AM ,2257,20.921,20.703,0.219,1.0,1713,0.038,0.213,0.175,0.8,0.759,0.3,0.45,STABLE / OPEN,-0.04,1.73,33,1,11,1,0,0,25.0,25.0,
23,0115,10/8/2015 4:00:21 AM ,3161,20.921,20.612,0.309,1.0,2542,0.039,0.298,0.259,0.9,0.804,0.4,0.45,UNSTABLE / OPEN,-0.08,1.64,995,387,716,213,0,0,25.2,25.0,
24,0115,10/8/2015 4:33:21 AM ,2297,20.921,20.697,0.224,1.1,1830,0.039,0.226,0.186,0.9,0.797,0.3,0.46,STABLE / OPEN,0.07,1.72,109,6,12,0,0,0,25.4,25.0,
25,0115,10/8/2015 5:06:21 AM ,2225,20.921,20.703,0.218,1.1,1841,0.040,0.227,0.187,0.9,0.827,0.3,0.46,STABLE / OPEN,0.04,1.76,340,67,306,68,0,0,25.2,25.0,
26,0115,10/8/2015 5:39:21 AM ,3434,20.921,20.584,0.337,1.1,2834,0.040,0.329,0.289,1.0,0.825,0.5,0.45,UNSTABLE / OPEN,0.03,1.78,1880,968,1216,584,0,0,25.2,25.0,
27,0115,10/8/2015 6:12:21 AM ,2730,20.921,20.654,0.268,1.2,2192,0.040,0.264,0.224,1.0,0.803,0.4,0.45,UNSTABLE / OPEN,0.58,2.37,1687,790,691,327,0,0,25.3,25.0,
28,0115,10/8/2015 6:45:21 AM ,2465,20.921,20.682,0.239,1.2,1943,0.040,0.238,0.197,1.0,0.788,0.3,0.46,UNSTABLE / OPEN,-0.07,2.30,208,41,87,15,0,0,25.1,25.0,
29,0115,10/8/2015 7:18:21 AM ,4053,20.921,20.524,0.397,1.3,3327,0.041,0.379,0.338,1.1,0.821,0.5,0.46,STABLE / OPEN,0.05,2.35,905,358,441,200,0,0,24.9,25.0,
30,0115,10/8/2015 7:51:21 AM ,3815,20.921,20.542,0.379,1.3,3349,0.041,0.382,0.341,1.1,0.878,0.5,0.45,STABLE / OPEN,0.09,2.44,2964,1672,1483,749,0,0,25.2,25.0,
31,0115,10/8/2015 8:24:21 AM ,2465,20.921,20.680,0.241,1.4,2018,0.042,0.247,0.205,1.2,0.819,0.3,0.46,STABLE / OPEN,0.05,2.49,1719,990,1063,528,0,0,25.4,25.0,
32,0115,10/8/2015 8:56:21 AM ,2724,20.921,20.656,0.265,1.4,2081,0.042,0.255,0.213,1.2,0.764,0.4,0.45,STABLE / OPEN,0.01,2.50,27,2,447,1,0,0,25.4,25.0,
33,0115,10/8/2015 9:29:21 AM ,3488,20.921,20.580,0.341,1.5,2869,0.042,0.333,0.291,1.2,0.823,0.5,0.46,STABLE / OPEN,0.17,2.67,581,271,288,145,0,0,25.6,25.0,
34,0115,10/8/2015 10:02:21 AM ,2689,20.921,20.656,0.265,1.5,2272,0.041,0.273,0.232,1.3,0.845,0.4,0.45,UNSTABLE / OPEN,-0.06,2.60,779,307,355,181,0,0,25.4,25.0,
35,0115,10/8/2015 10:35:21 AM ,2433,20.921,20.685,0.237,1.6,1884,0.043,0.235,0.192,1.3,0.774,0.3,0.45,STABLE / OPEN,0.01,2.62,189,62,140,57,0,0,25.1,25.0,
36,0115,10/8/2015 11:08:21 AM ,3154,20.921,20.614,0.307,1.6,2520,0.043,0.300,0.256,1.3,0.799,0.4,0.46,UNSTABLE / OPEN,-0.05,2.56,309,125,270,73,0,0,24.9,25.0,
37,0115,10/8/2015 11:41:21 AM ,2276,20.921,20.697,0.224,1.6,1911,0.042,0.237,0.195,1.4,0.839,0.3,0.45,STABLE / OPEN,0.06,2.63,86,1,313,3,0,0,25.1,25.0,
38,0115,10/8/2015 12:14:21 PM ,2382,20.921,20.689,0.232,1.7,1938,0.042,0.239,0.197,1.4,0.814,0.3,0.46,STABLE / OPEN,0.01,2.64,52,2,360,4,0,0,25.4,25.0,
39,0115,10/8/2015 12:47:21 PM ,2506,20.921,20.676,0.245,1.7,2071,0.041,0.251,0.210,1.4,0.827,0.3,0.46,UNSTABLE / OPEN,0.03,2.67,356,76,142,39,0,0,25.4,25.0,
40,0115,10/8/2015 1:20:21 PM ,2615,20.921,20.667,0.254,1.8,2036,0.040,0.248,0.207,1.5,0.778,0.3,0.45,UNSTABLE / OPEN,-0.04,2.63,40,5,464,61,0,0,25.2,25.0,
41,0115,10/8/2015 1:53:21 PM ,2452,20.921,20.683,0.238,1.8,1980,0.040,0.241,0.201,1.5,0.807,0.3,0.46,STABLE / OPEN,0.06,2.69,967,312,472,164,0,0,25.0,25.0,
42,0115,10/8/2015 2:26:21 PM ,2586,20.921,20.672,0.250,1.8,1955,0.040,0.238,0.199,1.5,0.756,0.3,0.46,STABLE / OPEN,0.02,2.71,5,0,0,0,0,0,25.4,25.0,
43,0115,10/8/2015 2:59:21 PM ,2518,20.921,20.677,0.244,1.9,1905,0.039,0.234,0.195,1.6,0.757,0.3,0.45,UNSTABLE / OPEN,-0.11,2.60,56,2,16,0,0,0,25.6,25.0,
44,0115,10/8/2015 3:32:21 PM ,3413,20.921,20.586,0.336,1.9,2819,0.038,0.326,0.288,1.6,0.826,0.5,0.45,UNSTABLE / OPEN,0.15,2.75,560,294,251,114,0,0,25.4,25.0,
45,0115,10/8/2015 4:05:21 PM ,2421,20.921,20.686,0.235,2.0,1910,0.039,0.233,0.194,1.6,0.789,0.3,0.46,STABLE / OPEN,-0.01,2.75,5,2,49,1,0,0,24.9,25.0,
