Oxymax CSV File 

CSV Generation Date,10/12/2015 10:23:17 AM 
Experiment Started,10/7/2015 3:39:16 PM 
Data Filename,C:\Users\Clams\Desktop\Data\BridgesLab\2015-10-07 mTSC-HFD cont & C57BL6J-Rapa2\2015-10-07-2.CDTA

Group/Cage,0106
O2 Calibration Date,10/7/2015 3:31:23 PM
CO2 Calibration Date,10/7/2015 3:37:33 PM
Subject ID,4392
Subject Mass (G), 19.6 

Reference Settle Time (s), 55 
Reference Measure Time (s), 5 
Cage Settle Time (s), 55 
Cage Measure Time (s), 5 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_0


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,STATUS1,FEED1,FEED1 ACC,XTOT,XAMB,YTOT,YAMB,WHEEL,WHEEL ACC,ENCLOSURE TEMP,ENCLOSURE SETPOINT,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/hr,LPM,,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,degC,degC,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0106,10/7/2015 3:46:21 PM ,2667,20.921,20.687,0.234,0.0,2028,0.042,0.230,0.187,0.0,0.760,0.2,0.35,UNSTABLE / OPEN,0.00,0.00,19,4,3,0,0,0,25.3,25.0,
2,0106,10/7/2015 4:19:21 PM ,3479,20.921,20.607,0.314,0.0,3069,0.040,0.324,0.284,0.0,0.882,0.3,0.35,UNSTABLE / OPEN,0.00,0.00,1444,654,857,242,0,0,25.1,25.0,
3,0106,10/7/2015 4:52:21 PM ,2522,20.921,20.692,0.229,0.1,2317,0.039,0.253,0.214,0.1,0.919,0.2,0.35,UNSTABLE / OPEN,0.00,0.00,270,54,290,28,0,0,25.0,25.0,
4,0106,10/7/2015 5:25:21 PM ,3019,20.921,20.652,0.269,0.1,2652,0.039,0.281,0.242,0.1,0.879,0.3,0.36,UNSTABLE / OPEN,0.00,0.00,306,28,136,35,0,0,25.0,25.0,
5,0106,10/7/2015 5:58:21 PM ,3705,20.921,20.588,0.333,0.1,3397,0.039,0.350,0.311,0.1,0.917,0.4,0.36,UNSTABLE / OPEN,0.00,0.00,1476,602,891,256,0,0,25.2,25.0,
6,0106,10/7/2015 6:31:21 PM ,3721,20.921,20.581,0.340,0.2,3382,0.040,0.354,0.315,0.2,0.909,0.4,0.35,UNSTABLE / OPEN,0.00,0.00,1096,384,637,239,0,0,25.1,25.0,
7,0106,10/7/2015 7:03:21 PM ,4594,20.921,20.500,0.421,0.2,4157,0.040,0.429,0.389,0.2,0.905,0.4,0.35,UNSTABLE / OPEN,0.00,0.00,2092,1250,1363,646,0,0,25.3,25.0,
8,0106,10/7/2015 7:36:21 PM ,4130,20.921,20.547,0.375,0.3,3681,0.040,0.382,0.342,0.2,0.891,0.4,0.35,UNSTABLE / OPEN,0.00,0.00,2700,1501,1404,594,0,0,25.4,25.0,
9,0106,10/7/2015 8:09:21 PM ,4562,20.921,20.508,0.413,0.3,3977,0.040,0.410,0.370,0.3,0.872,0.4,0.35,UNSTABLE / OPEN,0.00,0.00,3491,2163,2155,1019,0,0,24.9,25.0,
10,0106,10/7/2015 8:42:21 PM ,4667,20.921,20.496,0.426,0.4,4211,0.040,0.433,0.392,0.3,0.902,0.5,0.35,UNSTABLE / OPEN,0.00,0.00,3643,2240,2009,1046,0,0,25.5,25.0,
11,0106,10/7/2015 9:15:21 PM ,4703,20.921,20.495,0.426,0.4,4105,0.041,0.423,0.382,0.4,0.873,0.5,0.35,UNSTABLE / OPEN,0.00,0.00,2695,1650,1827,903,0,0,25.1,25.0,
12,0106,10/7/2015 9:48:21 PM ,4820,20.921,20.487,0.435,0.5,4180,0.041,0.429,0.388,0.4,0.867,0.5,0.35,UNSTABLE / OPEN,0.00,0.00,4262,2791,2519,1379,0,0,25.4,25.0,
13,0106,10/7/2015 10:21:21 PM ,4517,20.921,20.521,0.401,0.5,3749,0.041,0.386,0.345,0.5,0.830,0.4,0.36,UNSTABLE / OPEN,0.00,0.00,3941,2569,2463,1224,0,0,25.4,25.0,
14,0106,10/7/2015 10:54:21 PM ,4456,20.921,20.524,0.397,0.6,3659,0.041,0.380,0.339,0.5,0.821,0.4,0.35,UNSTABLE / OPEN,0.00,0.00,3486,2212,2143,1047,0,0,24.9,25.0,
15,0106,10/7/2015 11:27:21 PM ,4411,20.921,20.525,0.396,0.6,3689,0.040,0.383,0.343,0.5,0.836,0.4,0.35,UNSTABLE / OPEN,0.00,0.00,4782,3045,2962,1520,0,0,25.6,25.0,
16,0106,10/8/2015 12:00:21 AM ,4654,20.921,20.508,0.413,0.7,3801,0.040,0.391,0.351,0.6,0.817,0.4,0.35,UNSTABLE / OPEN,0.00,0.00,2752,1382,1690,681,0,0,25.3,25.0,
17,0106,10/8/2015 12:33:21 AM ,4159,20.921,20.545,0.376,0.7,3605,0.040,0.376,0.335,0.6,0.867,0.4,0.35,UNSTABLE / OPEN,0.00,0.00,2722,1536,1470,652,0,0,24.9,25.0,
18,0106,10/8/2015 1:06:21 AM ,3887,20.921,20.575,0.346,0.7,3214,0.039,0.336,0.297,0.6,0.827,0.4,0.35,UNSTABLE / OPEN,0.00,0.00,4000,2398,2270,1101,0,0,25.6,25.0,
19,0106,10/8/2015 1:39:21 AM ,3371,20.921,20.624,0.297,0.8,2744,0.039,0.291,0.252,0.7,0.814,0.3,0.36,UNSTABLE / OPEN,0.00,0.00,1207,482,609,212,0,0,25.2,25.0,
20,0106,10/8/2015 2:12:21 AM ,2313,20.921,20.717,0.204,0.8,1904,0.039,0.214,0.174,0.7,0.823,0.2,0.36,UNSTABLE / OPEN,0.00,0.00,121,5,37,4,0,0,24.8,25.0,
21,0106,10/8/2015 2:45:21 AM ,2582,20.921,20.691,0.230,0.8,2021,0.039,0.228,0.189,0.7,0.783,0.2,0.35,UNSTABLE / OPEN,0.00,0.00,80,3,72,3,0,0,25.6,25.0,
22,0106,10/8/2015 3:18:21 AM ,2446,20.921,20.705,0.216,0.9,1793,0.038,0.206,0.168,0.7,0.733,0.2,0.35,UNSTABLE / OPEN,0.00,0.00,182,4,93,0,0,0,25.4,25.0,
23,0106,10/8/2015 3:50:21 AM ,3637,20.921,20.599,0.322,0.9,2727,0.039,0.293,0.255,0.8,0.750,0.3,0.35,UNSTABLE / OPEN,0.00,0.00,1862,1084,1158,454,0,0,24.9,25.0,
24,0106,10/8/2015 4:23:21 AM ,4476,20.921,20.522,0.399,0.9,3575,0.039,0.372,0.333,0.8,0.799,0.4,0.35,UNSTABLE / OPEN,0.22,0.22,4048,2577,2565,1290,0,0,25.6,25.0,
25,0106,10/8/2015 4:56:21 AM ,4371,20.921,20.538,0.383,1.0,3211,0.039,0.337,0.298,0.8,0.735,0.4,0.35,UNSTABLE / OPEN,0.00,0.22,3445,2069,2070,1011,0,0,25.4,25.0,
26,0106,10/8/2015 5:29:21 AM ,4156,20.921,20.555,0.367,1.0,3192,0.039,0.336,0.296,0.9,0.768,0.4,0.35,UNSTABLE / OPEN,0.00,0.22,3338,1954,2371,1139,0,0,24.9,25.0,
27,0106,10/8/2015 6:02:21 AM ,3561,20.921,20.605,0.317,1.1,2769,0.041,0.299,0.258,0.9,0.778,0.3,0.35,UNSTABLE / OPEN,0.28,0.49,943,311,854,222,0,0,25.6,25.0,
28,0106,10/8/2015 6:35:21 AM ,4475,20.921,20.529,0.392,1.1,3460,0.041,0.359,0.318,0.9,0.773,0.4,0.36,UNSTABLE / OPEN,0.00,0.49,2187,1321,1356,625,0,0,25.6,25.0,
29,0106,10/8/2015 7:08:21 AM ,4474,20.921,20.531,0.391,1.2,3422,0.041,0.356,0.314,1.0,0.765,0.4,0.36,UNSTABLE / OPEN,0.00,0.49,3278,1871,2281,1118,0,0,25.3,25.0,
30,0106,10/8/2015 7:41:21 AM ,3881,20.921,20.581,0.340,1.2,3051,0.042,0.322,0.280,1.0,0.786,0.4,0.36,UNSTABLE / OPEN,0.00,0.49,1427,730,1390,477,0,0,25.0,25.0,
31,0106,10/8/2015 8:14:21 AM ,2733,20.921,20.683,0.238,1.3,2051,0.042,0.231,0.189,1.0,0.751,0.3,0.36,UNSTABLE / OPEN,0.00,0.49,229,3,6,1,0,0,25.0,25.0,
32,0106,10/8/2015 8:47:21 AM ,2663,20.921,20.689,0.232,1.3,1906,0.042,0.219,0.176,1.1,0.716,0.2,0.35,UNSTABLE / OPEN,0.00,0.49,494,0,14,0,0,0,25.2,25.0,
33,0106,10/8/2015 9:20:21 AM ,2850,20.921,20.674,0.247,1.3,2043,0.042,0.230,0.188,1.1,0.717,0.3,0.35,UNSTABLE / OPEN,0.00,0.49,65,6,68,6,0,0,25.5,25.0,
34,0106,10/8/2015 9:53:21 AM ,4203,20.921,20.556,0.365,1.3,3088,0.041,0.326,0.284,1.1,0.735,0.4,0.35,UNSTABLE / OPEN,0.00,0.49,1159,543,853,300,0,0,25.6,25.0,
35,0106,10/8/2015 10:26:21 AM ,4094,20.921,20.565,0.356,1.4,2994,0.043,0.319,0.276,1.1,0.731,0.4,0.35,UNSTABLE / OPEN,0.00,0.49,2183,1220,1189,520,0,0,25.2,25.0,
36,0106,10/8/2015 10:59:21 AM ,3028,20.921,20.659,0.262,1.4,2122,0.043,0.239,0.196,1.2,0.701,0.3,0.35,UNSTABLE / OPEN,0.00,0.49,747,356,333,97,0,0,25.0,25.0,
37,0106,10/8/2015 11:32:21 AM ,3077,20.921,20.657,0.265,1.5,2170,0.042,0.241,0.199,1.2,0.705,0.3,0.36,UNSTABLE / OPEN,0.00,0.49,5,0,210,0,0,0,24.9,25.0,
38,0106,10/8/2015 12:05:21 PM ,2675,20.921,20.690,0.231,1.5,1916,0.042,0.218,0.176,1.2,0.716,0.2,0.36,UNSTABLE / OPEN,0.00,0.49,8,0,73,0,0,0,25.2,25.0,
39,0106,10/8/2015 12:37:21 PM ,2636,20.921,20.692,0.229,1.5,1951,0.042,0.221,0.179,1.2,0.740,0.2,0.36,UNSTABLE / OPEN,0.00,0.49,7,2,37,0,0,0,25.3,25.0,
40,0106,10/8/2015 1:10:21 PM ,2882,20.921,20.673,0.249,1.6,2101,0.041,0.233,0.192,1.3,0.729,0.3,0.36,UNSTABLE / OPEN,0.00,0.49,8,2,77,0,0,0,25.7,25.0,
41,0106,10/8/2015 1:43:21 PM ,3963,20.921,20.569,0.352,1.6,3348,0.040,0.348,0.307,1.3,0.845,0.4,0.36,UNSTABLE / OPEN,0.00,0.49,878,503,436,131,0,0,25.0,25.0,
42,0106,10/8/2015 2:16:21 PM ,2651,20.921,20.683,0.238,1.6,2249,0.040,0.248,0.209,1.3,0.848,0.3,0.35,UNSTABLE / OPEN,0.00,0.49,516,157,336,59,0,0,24.9,25.0,
43,0106,10/8/2015 2:49:21 PM ,2503,20.921,20.701,0.220,1.7,2024,0.040,0.225,0.186,1.3,0.809,0.2,0.36,UNSTABLE / OPEN,0.00,0.49,15,4,40,5,0,0,25.4,25.0,
44,0106,10/8/2015 3:22:21 PM ,3160,20.921,20.641,0.280,1.7,2591,0.039,0.278,0.238,1.4,0.820,0.3,0.36,UNSTABLE / OPEN,0.00,0.49,549,187,137,27,0,0,25.5,25.0,
