Oxymax Feeding Bouts CSV File 

CSV FILE CREATION:10/12/2015 10:23:26 AM
DATA FILENAME:C:\Users\Clams\Desktop\Data\BridgesLab\2015-10-07 mTSC-HFD cont & C57BL6J-Rapa2\2015-10-07-2.BDTA

GROUP/CAGE:0120
SUBJECT ID:4561
SUBJECT MASS:26.95 grams



:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,
COUNT,INTERVAL,CHANNEL,DATE,START,END,DURATION,WEIGHT,ACCUM,
#,#,#,,,,seconds,grams,grams,
===============,===============,===============,===============,===============,===============,===============,===============,===============,
 1 , 1 ,012001,10/7/2015,10/7/2015 3:40:12 PM ,10/7/2015 3:40:57 PM , 45 ,-0.04,-0.04,
 2 , 1 ,012001,10/7/2015,10/7/2015 3:43:25 PM ,10/7/2015 3:46:25 PM , 180 ,0.03,0.00,
 3 , 1 ,012001,10/7/2015,10/7/2015 3:59:33 PM ,10/7/2015 3:59:37 PM , 4 ,-0.03,-0.03,
 4 , 2 ,012001,10/7/2015,10/7/2015 4:16:01 PM ,10/7/2015 4:16:44 PM , 43 ,0.11,0.07,
 5 , 2 ,012001,10/7/2015,10/7/2015 4:17:03 PM ,10/7/2015 4:18:20 PM , 77 ,-0.09,-0.02,
 6 , 2 ,012001,10/7/2015,10/7/2015 4:33:30 PM ,10/7/2015 4:35:07 PM , 97 ,0.04,0.02,
 7 , 3 ,012001,10/7/2015,10/7/2015 4:49:16 PM ,10/7/2015 4:49:26 PM , 10 ,0.07,0.09,
 8 , 3 ,012001,10/7/2015,10/7/2015 4:55:36 PM ,10/7/2015 4:56:29 PM , 53 ,0.15,0.24,
 9 , 3 ,012001,10/7/2015,10/7/2015 4:56:45 PM ,10/7/2015 4:57:21 PM , 36 ,-0.23,0.01,
 10 , 3 ,012001,10/7/2015,10/7/2015 5:03:07 PM ,10/7/2015 5:03:28 PM , 21 ,0.17,0.18,
 11 , 3 ,012001,10/7/2015,10/7/2015 5:03:47 PM ,10/7/2015 5:05:19 PM , 92 ,-0.19,-0.01,
 12 , 3 ,012001,10/7/2015,10/7/2015 5:10:57 PM ,10/7/2015 5:11:55 PM , 58 ,0.06,0.05,
 13 , 4 ,012001,10/7/2015,10/7/2015 5:18:49 PM ,10/7/2015 5:20:37 PM , 108 ,-0.11,-0.06,
 14 , 4 ,012001,10/7/2015,10/7/2015 5:21:07 PM ,10/7/2015 5:21:46 PM , 39 ,0.06,0.00,
 15 , 4 ,012001,10/7/2015,10/7/2015 5:24:48 PM ,10/7/2015 5:26:25 PM , 97 ,0.21,0.21,
 16 , 4 ,012001,10/7/2015,10/7/2015 5:27:39 PM ,10/7/2015 5:27:50 PM , 11 ,-0.11,0.10,
 17 , 4 ,012001,10/7/2015,10/7/2015 5:42:08 PM ,10/7/2015 5:42:12 PM , 4 ,-0.04,0.06,
 18 , 4 ,012001,10/7/2015,10/7/2015 5:48:44 PM ,10/7/2015 5:50:24 PM , 100 ,0.04,0.10,
 19 , 5 ,012001,10/7/2015,10/7/2015 6:04:29 PM ,10/7/2015 6:06:50 PM , 141 ,-0.06,0.04,
 20 , 5 ,012001,10/7/2015,10/7/2015 6:10:48 PM ,10/7/2015 6:11:24 PM , 36 ,-0.08,-0.04,
 21 , 5 ,012001,10/7/2015,10/7/2015 6:11:40 PM ,10/7/2015 6:13:39 PM , 119 ,0.19,0.15,
 22 , 6 ,012001,10/7/2015,10/7/2015 6:25:34 PM ,10/7/2015 6:29:36 PM , 242 ,0.03,0.18,
 23 , 6 ,012001,10/7/2015,10/7/2015 6:30:25 PM ,10/7/2015 6:32:04 PM , 99 ,0.06,0.25,
 24 , 7 ,012001,10/7/2015,10/7/2015 6:51:50 PM ,10/7/2015 7:00:57 PM , 547 ,0.07,0.32,
 25 , 7 ,012001,10/7/2015,10/7/2015 7:05:51 PM ,10/7/2015 7:09:59 PM , 248 ,0.04,0.35,
 26 , 7 ,012001,10/7/2015,10/7/2015 7:16:40 PM ,10/7/2015 7:19:38 PM , 178 ,0.07,0.43,
 27 , 7 ,012001,10/7/2015,10/7/2015 7:28:29 PM ,10/7/2015 7:28:36 PM , 7 ,0.05,0.47,
 28 , 8 ,012001,10/7/2015,10/7/2015 7:32:12 PM ,10/7/2015 7:34:52 PM , 160 ,-0.06,0.41,
 29 , 8 ,012001,10/7/2015,10/7/2015 7:36:16 PM ,10/7/2015 7:40:39 PM , 263 ,0.13,0.54,
 30 , 8 ,012001,10/7/2015,10/7/2015 7:43:16 PM ,10/7/2015 7:52:16 PM , 540 ,0.04,0.58,
 31 , 8 ,012001,10/7/2015,10/7/2015 7:54:29 PM ,10/7/2015 7:54:45 PM , 16 ,0.07,0.64,
 32 , 8 ,012001,10/7/2015,10/7/2015 7:54:56 PM ,10/7/2015 7:56:49 PM , 113 ,0.06,0.71,
 33 , 8 ,012001,10/7/2015,10/7/2015 7:58:14 PM ,10/7/2015 8:00:47 PM , 153 ,-0.05,0.66,
 34 , 9 ,012001,10/7/2015,10/7/2015 8:13:49 PM ,10/7/2015 8:23:39 PM , 590 ,0.26,0.92,
 35 , 9 ,012001,10/7/2015,10/7/2015 8:24:25 PM ,10/7/2015 8:24:35 PM , 10 ,0.06,0.98,
 36 , 9 ,012001,10/7/2015,10/7/2015 8:26:34 PM ,10/7/2015 8:28:15 PM , 101 ,-0.05,0.93,
 37 , 9 ,012001,10/7/2015,10/7/2015 8:31:52 PM ,10/7/2015 8:32:10 PM , 18 ,-0.07,0.86,
 38 , 9 ,012001,10/7/2015,10/7/2015 8:32:23 PM ,10/7/2015 8:34:06 PM , 103 ,0.23,1.09,
 39 , 10 ,012001,10/7/2015,10/7/2015 8:36:19 PM ,10/7/2015 8:37:04 PM , 45 ,-0.11,0.98,
 40 , 10 ,012001,10/7/2015,10/7/2015 8:38:02 PM ,10/7/2015 8:38:44 PM , 42 ,-0.09,0.89,
 41 , 10 ,012001,10/7/2015,10/7/2015 8:43:25 PM ,10/7/2015 8:49:10 PM , 345 ,0.26,1.15,
 42 , 10 ,012001,10/7/2015,10/7/2015 8:54:53 PM ,10/7/2015 8:55:14 PM , 21 ,-0.05,1.10,
 43 , 10 ,012001,10/7/2015,10/7/2015 9:04:41 PM ,10/7/2015 9:05:35 PM , 54 ,0.04,1.13,
 44 , 11 ,012001,10/7/2015,10/7/2015 9:12:57 PM ,10/7/2015 9:13:32 PM , 35 ,-0.11,1.03,
 45 , 11 ,012001,10/7/2015,10/7/2015 9:14:20 PM ,10/7/2015 9:15:03 PM , 43 ,0.12,1.14,
 46 , 11 ,012001,10/7/2015,10/7/2015 9:40:08 PM ,10/7/2015 9:41:15 PM , 67 ,0.15,1.29,
 47 , 12 ,012001,10/7/2015,10/7/2015 9:51:27 PM ,10/7/2015 9:52:00 PM , 33 ,-0.14,1.15,
 48 , 12 ,012001,10/7/2015,10/7/2015 9:54:17 PM ,10/7/2015 9:54:32 PM , 15 ,0.04,1.19,
 49 , 12 ,012001,10/7/2015,10/7/2015 9:54:57 PM ,10/7/2015 9:56:04 PM , 67 ,-0.03,1.16,
 50 , 12 ,012001,10/7/2015,10/7/2015 10:08:48 PM ,10/7/2015 10:09:01 PM , 13 ,0.05,1.21,
 51 , 13 ,012001,10/7/2015,10/7/2015 10:34:52 PM ,10/7/2015 10:37:03 PM , 131 ,-0.05,1.16,
 52 , 14 ,012001,10/7/2015,10/7/2015 10:46:46 PM ,10/7/2015 10:55:38 PM , 532 ,0.05,1.21,
 53 , 14 ,012001,10/7/2015,10/7/2015 10:55:58 PM ,10/7/2015 10:59:24 PM , 206 ,0.16,1.37,
 54 , 14 ,012001,10/7/2015,10/7/2015 11:03:21 PM ,10/7/2015 11:03:52 PM , 31 ,0.05,1.42,
 55 , 14 ,012001,10/7/2015,10/7/2015 11:11:20 PM ,10/7/2015 11:16:40 PM , 320 ,0.09,1.52,
 56 , 15 ,012001,10/7/2015,10/7/2015 11:21:12 PM ,10/7/2015 11:21:26 PM , 14 ,-0.07,1.45,
 57 , 15 ,012001,10/7/2015,10/7/2015 11:24:38 PM ,10/7/2015 11:29:20 PM , 282 ,0.19,1.64,
 58 , 16 ,012001,10/8/2015,10/8/2015 12:07:02 AM ,10/8/2015 12:09:09 AM , 127 ,0.06,1.70,
 59 , 16 ,012001,10/8/2015,10/8/2015 12:20:15 AM ,10/8/2015 12:21:43 AM , 88 ,-0.06,1.64,
 60 , 17 ,012001,10/8/2015,10/8/2015 12:33:45 AM ,10/8/2015 12:34:30 AM , 45 ,0.05,1.69,
 61 , 17 ,012001,10/8/2015,10/8/2015 12:45:51 AM ,10/8/2015 12:47:35 AM , 104 ,-0.04,1.65,
 62 , 18 ,012001,10/8/2015,10/8/2015 1:01:06 AM ,10/8/2015 1:01:37 AM , 31 ,-0.03,1.62,
 63 , 18 ,012001,10/8/2015,10/8/2015 1:21:52 AM ,10/8/2015 1:23:07 AM , 75 ,0.22,1.84,
 64 , 18 ,012001,10/8/2015,10/8/2015 1:27:12 AM ,10/8/2015 1:28:18 AM , 66 ,-0.18,1.66,
 65 , 19 ,012001,10/8/2015,10/8/2015 1:34:33 AM ,10/8/2015 1:40:36 AM , 363 ,0.03,1.70,
 66 , 19 ,012001,10/8/2015,10/8/2015 1:44:11 AM ,10/8/2015 1:44:57 AM , 46 ,0.07,1.77,
 67 , 19 ,012001,10/8/2015,10/8/2015 1:53:35 AM ,10/8/2015 1:55:37 AM , 122 ,-0.04,1.73,
 68 , 19 ,012001,10/8/2015,10/8/2015 2:02:39 AM ,10/8/2015 2:03:19 AM , 40 ,-0.10,1.63,
 69 , 20 ,012001,10/8/2015,10/8/2015 2:07:32 AM ,10/8/2015 2:09:07 AM , 95 ,0.10,1.73,
 70 , 20 ,012001,10/8/2015,10/8/2015 2:11:38 AM ,10/8/2015 2:12:05 AM , 27 ,0.03,1.76,
 71 , 20 ,012001,10/8/2015,10/8/2015 2:14:16 AM ,10/8/2015 2:14:40 AM , 24 ,0.04,1.80,
 72 , 20 ,012001,10/8/2015,10/8/2015 2:22:33 AM ,10/8/2015 2:23:53 AM , 80 ,-0.06,1.75,
 73 , 21 ,012001,10/8/2015,10/8/2015 2:44:38 AM ,10/8/2015 2:57:32 AM , 774 ,0.14,1.88,
 74 , 21 ,012001,10/8/2015,10/8/2015 3:00:08 AM ,10/8/2015 3:00:22 AM , 14 ,0.05,1.93,
 75 , 21 ,012001,10/8/2015,10/8/2015 3:02:45 AM ,10/8/2015 3:04:06 AM , 81 ,-0.08,1.85,
 76 , 22 ,012001,10/8/2015,10/8/2015 3:17:14 AM ,10/8/2015 3:17:26 AM , 12 ,0.06,1.90,
 77 , 23 ,012001,10/8/2015,10/8/2015 3:46:06 AM ,10/8/2015 3:57:43 AM , 697 ,0.22,2.12,
 78 , 23 ,012001,10/8/2015,10/8/2015 3:59:51 AM ,10/8/2015 4:02:08 AM , 137 ,-0.15,1.97,
 79 , 23 ,012001,10/8/2015,10/8/2015 4:07:16 AM ,10/8/2015 4:09:48 AM , 152 ,0.06,2.02,
 80 , 23 ,012001,10/8/2015,10/8/2015 4:10:57 AM ,10/8/2015 4:11:58 AM , 61 ,-0.07,1.96,
 81 , 23 ,012001,10/8/2015,10/8/2015 4:12:36 AM ,10/8/2015 4:16:11 AM , 215 ,0.04,1.99,
 82 , 24 ,012001,10/8/2015,10/8/2015 4:19:59 AM ,10/8/2015 4:20:11 AM , 12 ,0.07,2.06,
 83 , 24 ,012001,10/8/2015,10/8/2015 4:22:35 AM ,10/8/2015 4:22:46 AM , 11 ,0.11,2.17,
 84 , 24 ,012001,10/8/2015,10/8/2015 4:25:29 AM ,10/8/2015 4:27:15 AM , 106 ,-0.09,2.08,
 85 , 24 ,012001,10/8/2015,10/8/2015 4:48:08 AM ,10/8/2015 4:48:26 AM , 18 ,0.05,2.14,
 86 , 25 ,012001,10/8/2015,10/8/2015 5:02:44 AM ,10/8/2015 5:03:33 AM , 49 ,-0.06,2.08,
 87 , 26 ,012001,10/8/2015,10/8/2015 5:18:33 AM ,10/8/2015 5:28:33 AM , 600 ,0.10,2.18,
 88 , 26 ,012001,10/8/2015,10/8/2015 5:28:52 AM ,10/8/2015 5:39:51 AM , 659 ,0.32,2.51,
