Oxymax Feeding Bouts CSV File 

CSV FILE CREATION:10/12/2015 10:23:20 AM
DATA FILENAME:C:\Users\Clams\Desktop\Data\BridgesLab\2015-10-07 mTSC-HFD cont & C57BL6J-Rapa2\2015-10-07-2.BDTA

GROUP/CAGE:0110
SUBJECT ID:4377
SUBJECT MASS:24.7 grams



:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,
COUNT,INTERVAL,CHANNEL,DATE,START,END,DURATION,WEIGHT,ACCUM,
#,#,#,,,,seconds,grams,grams,
===============,===============,===============,===============,===============,===============,===============,===============,===============,
 1 , 2 ,011001,10/7/2015,10/7/2015 4:06:27 PM ,10/7/2015 4:19:28 PM , 781 ,-0.06,-0.06,
 2 , 2 ,011001,10/7/2015,10/7/2015 4:22:07 PM ,10/7/2015 4:27:32 PM , 325 ,0.06,0.00,
 3 , 3 ,011001,10/7/2015,10/7/2015 5:01:04 PM ,10/7/2015 5:06:54 PM , 350 ,-0.04,-0.05,
 4 , 5 ,011001,10/7/2015,10/7/2015 5:08:32 PM ,10/7/2015 5:56:21 PM , 2869 ,0.90,0.85,
 5 , 5 ,011001,10/7/2015,10/7/2015 5:58:34 PM ,10/7/2015 5:58:57 PM , 23 ,-0.23,0.63,
 6 , 5 ,011001,10/7/2015,10/7/2015 5:59:09 PM ,10/7/2015 6:05:29 PM , 380 ,-0.03,0.59,
 7 , 5 ,011001,10/7/2015,10/7/2015 6:05:56 PM ,10/7/2015 6:09:37 PM , 221 ,0.11,0.70,
 8 , 5 ,011001,10/7/2015,10/7/2015 6:09:48 PM ,10/7/2015 6:13:57 PM , 249 ,-0.05,0.65,
 9 , 6 ,011001,10/7/2015,10/7/2015 6:14:35 PM ,10/7/2015 6:35:25 PM , 1250 ,-0.04,0.61,
 10 , 6 ,011001,10/7/2015,10/7/2015 6:36:03 PM ,10/7/2015 6:51:10 PM , 907 ,0.27,0.88,
 11 , 7 ,011001,10/7/2015,10/7/2015 6:51:41 PM ,10/7/2015 7:17:41 PM , 1560 ,0.17,1.05,
 12 , 8 ,011001,10/7/2015,10/7/2015 7:19:41 PM ,10/7/2015 7:55:09 PM , 2128 ,0.18,1.23,
 13 , 10 ,011001,10/7/2015,10/7/2015 7:57:16 PM ,10/7/2015 8:48:30 PM , 3074 ,0.07,1.30,
 14 , 10 ,011001,10/7/2015,10/7/2015 8:49:50 PM ,10/7/2015 9:04:03 PM , 853 ,-0.14,1.17,
 15 , 11 ,011001,10/7/2015,10/7/2015 9:04:42 PM ,10/7/2015 9:13:59 PM , 557 ,0.09,1.26,
 16 , 12 ,011001,10/7/2015,10/7/2015 9:14:19 PM ,10/7/2015 9:55:42 PM , 2483 ,0.05,1.30,
 17 , 12 ,011001,10/7/2015,10/7/2015 9:56:13 PM ,10/7/2015 10:14:19 PM , 1086 ,0.10,1.40,
 18 , 13 ,011001,10/7/2015,10/7/2015 10:16:58 PM ,10/7/2015 10:28:56 PM , 718 ,-0.21,1.19,
 19 , 13 ,011001,10/7/2015,10/7/2015 10:29:18 PM ,10/7/2015 10:29:46 PM , 28 ,0.15,1.33,
 20 , 13 ,011001,10/7/2015,10/7/2015 10:29:57 PM ,10/7/2015 10:39:09 PM , 552 ,-0.11,1.22,
 21 , 13 ,011001,10/7/2015,10/7/2015 10:42:14 PM ,10/7/2015 10:42:47 PM , 33 ,0.05,1.27,
 22 , 13 ,011001,10/7/2015,10/7/2015 10:42:58 PM ,10/7/2015 10:43:05 PM , 7 ,0.04,1.31,
 23 , 17 ,011001,10/8/2015,10/8/2015 12:23:56 AM ,10/8/2015 12:34:32 AM , 636 ,0.09,1.41,
 24 , 18 ,011001,10/8/2015,10/8/2015 12:35:26 AM ,10/8/2015 1:02:37 AM , 1631 ,0.04,1.45,
 25 , 18 ,011001,10/8/2015,10/8/2015 1:03:03 AM ,10/8/2015 1:09:51 AM , 408 ,-0.05,1.40,
 26 , 18 ,011001,10/8/2015,10/8/2015 1:19:22 AM ,10/8/2015 1:25:24 AM , 362 ,0.38,1.78,
 27 , 18 ,011001,10/8/2015,10/8/2015 1:26:13 AM ,10/8/2015 1:30:28 AM , 255 ,-0.36,1.42,
 28 , 19 ,011001,10/8/2015,10/8/2015 1:30:58 AM ,10/8/2015 1:34:28 AM , 210 ,0.15,1.57,
 29 , 19 ,011001,10/8/2015,10/8/2015 1:47:29 AM ,10/8/2015 1:48:54 AM , 85 ,0.05,1.63,
 30 , 19 ,011001,10/8/2015,10/8/2015 1:50:43 AM ,10/8/2015 1:55:12 AM , 269 ,-0.04,1.59,
 31 , 19 ,011001,10/8/2015,10/8/2015 1:56:27 AM ,10/8/2015 1:59:14 AM , 167 ,0.14,1.72,
 32 , 20 ,011001,10/8/2015,10/8/2015 2:00:18 AM ,10/8/2015 2:11:22 AM , 664 ,-0.17,1.56,
 33 , 22 ,011001,10/8/2015,10/8/2015 2:15:05 AM ,10/8/2015 3:14:53 AM , 3588 ,0.20,1.75,
 34 , 23 ,011001,10/8/2015,10/8/2015 3:21:11 AM ,10/8/2015 4:13:19 AM , 3128 ,0.11,1.86,
 35 , 24 ,011001,10/8/2015,10/8/2015 4:14:10 AM ,10/8/2015 4:22:29 AM , 499 ,-0.12,1.74,
 36 , 25 ,011001,10/8/2015,10/8/2015 4:27:16 AM ,10/8/2015 5:01:43 AM , 2067 ,0.24,1.98,
 37 , 25 ,011001,10/8/2015,10/8/2015 5:04:14 AM ,10/8/2015 5:13:28 AM , 554 ,-0.03,1.95,
 38 , 26 ,011001,10/8/2015,10/8/2015 5:17:20 AM ,10/8/2015 5:46:20 AM , 1740 ,0.16,2.11,
 39 , 29 ,011001,10/8/2015,10/8/2015 5:46:54 AM ,10/8/2015 7:22:15 AM , 5721 ,0.21,2.31,
 40 , 30 ,011001,10/8/2015,10/8/2015 7:35:13 AM ,10/8/2015 7:41:11 AM , 358 ,0.18,2.50,
 41 , 30 ,011001,10/8/2015,10/8/2015 7:45:30 AM ,10/8/2015 7:51:55 AM , 385 ,-0.12,2.38,
 42 , 30 ,011001,10/8/2015,10/8/2015 7:59:14 AM ,10/8/2015 8:06:24 AM , 430 ,0.04,2.42,
 43 , 31 ,011001,10/8/2015,10/8/2015 8:07:59 AM ,10/8/2015 8:14:22 AM , 383 ,-0.10,2.32,
 44 , 31 ,011001,10/8/2015,10/8/2015 8:16:29 AM ,10/8/2015 8:27:11 AM , 642 ,0.10,2.42,
 45 , 32 ,011001,10/8/2015,10/8/2015 8:31:19 AM ,10/8/2015 8:43:57 AM , 758 ,0.08,2.50,
 46 , 32 ,011001,10/8/2015,10/8/2015 8:44:35 AM ,10/8/2015 9:00:12 AM , 937 ,0.75,3.25,
 47 , 32 ,011001,10/8/2015,10/8/2015 9:00:53 AM ,10/8/2015 9:02:59 AM , 126 ,0.18,3.43,
 48 , 33 ,011001,10/8/2015,10/8/2015 9:03:59 AM ,10/8/2015 9:25:36 AM , 1297 ,-0.09,3.34,
 49 , 33 ,011001,10/8/2015,10/8/2015 9:26:00 AM ,10/8/2015 9:32:54 AM , 414 ,0.05,3.39,
 50 , 34 ,011001,10/8/2015,10/8/2015 9:33:16 AM ,10/8/2015 9:46:15 AM , 779 ,-0.04,3.35,
 51 , 34 ,011001,10/8/2015,10/8/2015 9:50:32 AM ,10/8/2015 9:54:18 AM , 226 ,0.07,3.42,
 52 , 34 ,011001,10/8/2015,10/8/2015 9:59:51 AM ,10/8/2015 10:03:51 AM , 240 ,-0.13,3.29,
 53 , 34 ,011001,10/8/2015,10/8/2015 10:05:59 AM ,10/8/2015 10:08:15 AM , 136 ,0.12,3.41,
 54 , 35 ,011001,10/8/2015,10/8/2015 10:15:44 AM ,10/8/2015 10:21:54 AM , 370 ,-0.10,3.31,
 55 , 35 ,011001,10/8/2015,10/8/2015 10:22:19 AM ,10/8/2015 10:30:39 AM , 500 ,0.03,3.35,
 56 , 36 ,011001,10/8/2015,10/8/2015 11:17:13 AM ,10/8/2015 11:25:06 AM , 473 ,0.10,3.45,
 57 , 37 ,011001,10/8/2015,10/8/2015 11:28:14 AM ,10/8/2015 11:28:19 AM , 5 ,-0.09,3.36,
 58 , 37 ,011001,10/8/2015,10/8/2015 11:32:35 AM ,10/8/2015 11:46:51 AM , 856 ,0.05,3.41,
 59 , 37 ,011001,10/8/2015,10/8/2015 11:48:58 AM ,10/8/2015 11:56:05 AM , 427 ,-0.04,3.36,
 60 , 38 ,011001,10/8/2015,10/8/2015 12:17:57 PM ,10/8/2015 12:19:10 PM , 73 ,-0.04,3.33,
 61 , 38 ,011001,10/8/2015,10/8/2015 12:22:12 PM ,10/8/2015 12:24:32 PM , 140 ,-0.08,3.24,
 62 , 39 ,011001,10/8/2015,10/8/2015 12:29:07 PM ,10/8/2015 12:34:13 PM , 306 ,0.12,3.36,
 63 , 39 ,011001,10/8/2015,10/8/2015 12:36:08 PM ,10/8/2015 12:54:30 PM , 1102 ,-0.08,3.29,
 64 , 39 ,011001,10/8/2015,10/8/2015 12:55:09 PM ,10/8/2015 12:58:28 PM , 199 ,0.07,3.36,
 65 , 40 ,011001,10/8/2015,10/8/2015 1:16:44 PM ,10/8/2015 1:21:22 PM , 278 ,-0.05,3.31,
 66 , 41 ,011001,10/8/2015,10/8/2015 2:02:18 PM ,10/8/2015 2:06:19 PM , 241 ,0.04,3.34,
 67 , 43 ,011001,10/8/2015,10/8/2015 2:25:52 PM ,10/8/2015 2:55:52 PM , 1800 ,0.19,3.53,
 68 , 43 ,011001,10/8/2015,10/8/2015 2:57:05 PM ,10/8/2015 3:10:52 PM , 827 ,0.09,3.62,
 69 , 44 ,011001,10/8/2015,10/8/2015 3:13:41 PM ,10/8/2015 3:16:44 PM , 183 ,0.06,3.68,
 70 , 44 ,011001,10/8/2015,10/8/2015 3:22:07 PM ,10/8/2015 3:23:22 PM , 75 ,-0.12,3.56,
 71 , 44 ,011001,10/8/2015,10/8/2015 3:36:59 PM ,10/8/2015 3:48:51 PM , 712 ,0.05,3.61,
 72 , 45 ,011001,10/8/2015,10/8/2015 3:52:57 PM ,10/8/2015 3:59:31 PM , 394 ,-0.07,3.54,
 73 , 45 ,011001,10/8/2015,10/8/2015 4:08:14 PM ,10/8/2015 4:11:55 PM , 221 ,-0.04,3.50,
 74 , 45 ,011001,10/8/2015,10/8/2015 4:15:58 PM ,10/8/2015 4:19:18 PM , 200 ,0.05,3.55,
 75 , 46 ,011001,10/8/2015,10/8/2015 4:44:32 PM ,10/8/2015 4:49:02 PM , 270 ,0.09,3.64,
 76 , 47 ,011001,10/8/2015,10/8/2015 4:52:43 PM ,10/8/2015 5:07:14 PM , 871 ,0.13,3.77,
 77 , 47 ,011001,10/8/2015,10/8/2015 5:07:29 PM ,10/8/2015 5:13:30 PM , 361 ,-0.06,3.71,
 78 , 48 ,011001,10/8/2015,10/8/2015 5:16:12 PM ,10/8/2015 5:30:53 PM , 881 ,0.04,3.75,
 79 , 48 ,011001,10/8/2015,10/8/2015 5:31:36 PM ,10/8/2015 5:37:20 PM , 344 ,-0.04,3.71,
 80 , 48 ,011001,10/8/2015,10/8/2015 5:38:59 PM ,10/8/2015 5:51:56 PM , 777 ,0.06,3.77,
 81 , 49 ,011001,10/8/2015,10/8/2015 5:54:15 PM ,10/8/2015 6:05:42 PM , 687 ,0.11,3.88,
 82 , 50 ,011001,10/8/2015,10/8/2015 6:07:01 PM ,10/8/2015 6:37:43 PM , 1842 ,-0.18,3.70,
 83 , 50 ,011001,10/8/2015,10/8/2015 6:57:57 PM ,10/8/2015 6:58:46 PM , 49 ,-0.11,3.59,
 84 , 51 ,011001,10/8/2015,10/8/2015 6:59:09 PM ,10/8/2015 7:10:10 PM , 661 ,0.79,4.38,
 85 , 51 ,011001,10/8/2015,10/8/2015 7:12:06 PM ,10/8/2015 7:26:27 PM , 861 ,0.19,4.57,
 86 , 52 ,011001,10/8/2015,10/8/2015 7:26:48 PM ,10/8/2015 7:54:41 PM , 1673 ,-0.06,4.51,
 87 , 52 ,011001,10/8/2015,10/8/2015 7:54:52 PM ,10/8/2015 7:57:43 PM , 171 ,-0.05,4.46,
 88 , 52 ,011001,10/8/2015,10/8/2015 7:57:58 PM ,10/8/2015 8:01:56 PM , 238 ,0.09,4.55,
