Oxymax Activity CSV File

CSV FILE CREATION:10/12/2015 10:23:29 AM
DATA FILENAME:C:\Users\Clams\Desktop\Data\BridgesLab\2015-10-07 mTSC-HFD cont & C57BL6J-Rapa2\2015-10-07-2.ADTA

GROUP/CAGE:0125
SUBJECT ID:4566
SUBJECT MASS:24.16 grams

SAMPLE FREQ:60 seconds


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,GROUP/CAGE,DATE/TIME,XTOT,XAMB,YTOT,YAMB,WHEEL,

===============,===============,===============,===============,===============,===============,===============,===============,
 1 ,0125,10/7/2015 3:41:21 PM , 203 , 130 , 213 , 122 , 0 ,
 1 ,0125,10/7/2015 3:42:21 PM , 101 , 43 , 59 , 29 , 0 ,
 1 ,0125,10/7/2015 3:43:21 PM , 89 , 48 , 46 , 21 , 0 ,
 1 ,0125,10/7/2015 3:44:21 PM , 75 , 31 , 62 , 27 , 0 ,
 1 ,0125,10/7/2015 3:45:21 PM , 165 , 116 , 113 , 81 , 0 ,
 1 ,0125,10/7/2015 3:46:21 PM , 115 , 55 , 138 , 86 , 0 ,
 1 ,0125,10/7/2015 3:47:21 PM , 128 , 89 , 90 , 54 , 0 ,
 1 ,0125,10/7/2015 3:48:21 PM , 107 , 72 , 163 , 103 , 0 ,
 1 ,0125,10/7/2015 3:49:21 PM , 90 , 53 , 83 , 64 , 0 ,
 1 ,0125,10/7/2015 3:50:21 PM , 106 , 71 , 77 , 57 , 0 ,
 1 ,0125,10/7/2015 3:51:21 PM , 30 , 14 , 10 , 3 , 0 ,
 1 ,0125,10/7/2015 3:52:21 PM , 78 , 26 , 23 , 5 , 0 ,
 1 ,0125,10/7/2015 3:53:21 PM , 79 , 54 , 59 , 30 , 0 ,
 1 ,0125,10/7/2015 3:54:21 PM , 75 , 47 , 84 , 31 , 0 ,
 1 ,0125,10/7/2015 3:55:21 PM , 81 , 47 , 71 , 38 , 0 ,
 1 ,0125,10/7/2015 3:56:21 PM , 45 , 11 , 42 , 10 , 0 ,
 1 ,0125,10/7/2015 3:57:21 PM , 41 , 1 , 36 , 4 , 0 ,
 1 ,0125,10/7/2015 3:58:21 PM , 39 , 2 , 16 , 0 , 0 ,
 1 ,0125,10/7/2015 3:59:21 PM , 79 , 39 , 54 , 30 , 0 ,
 1 ,0125,10/7/2015 4:00:21 PM , 87 , 56 , 84 , 35 , 0 ,
 1 ,0125,10/7/2015 4:01:21 PM , 41 , 4 , 21 , 2 , 0 ,
 1 ,0125,10/7/2015 4:02:21 PM , 29 , 0 , 0 , 0 , 0 ,
 1 ,0125,10/7/2015 4:03:21 PM , 1 , 0 , 0 , 0 , 0 ,
 1 ,0125,10/7/2015 4:04:21 PM , 4 , 0 , 0 , 0 , 0 ,
 1 ,0125,10/7/2015 4:05:21 PM , 3 , 0 , 0 , 0 , 0 ,
 1 ,0125,10/7/2015 4:06:21 PM , 0 , 0 , 0 , 0 , 0 ,
 1 ,0125,10/7/2015 4:07:21 PM , 0 , 0 , 0 , 0 , 0 ,
 1 ,0125,10/7/2015 4:08:21 PM , 19 , 1 , 12 , 2 , 0 ,
 1 ,0125,10/7/2015 4:09:21 PM , 4 , 0 , 0 , 0 , 0 ,
 1 ,0125,10/7/2015 4:10:21 PM , 9 , 1 , 2 , 0 , 0 ,
 1 ,0125,10/7/2015 4:11:21 PM , 0 , 0 , 0 , 0 , 0 ,
 1 ,0125,10/7/2015 4:12:21 PM , 0 , 0 , 0 , 0 , 0 ,
 2 ,0125,10/7/2015 4:13:21 PM , 0 , 0 , 1 , 0 , 0 ,
 2 ,0125,10/7/2015 4:14:21 PM , 0 , 0 , 0 , 0 , 0 ,
 2 ,0125,10/7/2015 4:15:21 PM , 0 , 0 , 0 , 0 , 0 ,
 2 ,0125,10/7/2015 4:16:21 PM , 0 , 0 , 0 , 0 , 0 ,
 2 ,0125,10/7/2015 4:17:21 PM , 0 , 0 , 0 , 0 , 0 ,
 2 ,0125,10/7/2015 4:18:21 PM , 1 , 0 , 45 , 0 , 0 ,
 2 ,0125,10/7/2015 4:19:21 PM , 0 , 0 , 6 , 0 , 0 ,
 2 ,0125,10/7/2015 4:20:21 PM , 0 , 0 , 0 , 0 , 0 ,
 2 ,0125,10/7/2015 4:21:21 PM , 7 , 0 , 0 , 0 , 0 ,
 2 ,0125,10/7/2015 4:22:21 PM , 0 , 0 , 5 , 0 , 0 ,
 2 ,0125,10/7/2015 4:23:21 PM , 0 , 0 , 0 , 0 , 0 ,
 2 ,0125,10/7/2015 4:24:21 PM , 0 , 0 , 3 , 0 , 0 ,
 2 ,0125,10/7/2015 4:25:21 PM , 0 , 0 , 0 , 0 , 0 ,
 2 ,0125,10/7/2015 4:26:21 PM , 0 , 0 , 1 , 0 , 0 ,
 2 ,0125,10/7/2015 4:27:21 PM , 0 , 0 , 0 , 0 , 0 ,
 2 ,0125,10/7/2015 4:28:21 PM , 1 , 0 , 7 , 0 , 0 ,
 2 ,0125,10/7/2015 4:29:21 PM , 0 , 0 , 0 , 0 , 0 ,
 2 ,0125,10/7/2015 4:30:21 PM , 0 , 0 , 0 , 0 , 0 ,
 2 ,0125,10/7/2015 4:31:21 PM , 0 , 0 , 0 , 0 , 0 ,
 2 ,0125,10/7/2015 4:32:21 PM , 0 , 0 , 5 , 0 , 0 ,
 2 ,0125,10/7/2015 4:33:21 PM , 0 , 0 , 12 , 0 , 0 ,
 2 ,0125,10/7/2015 4:34:21 PM , 0 , 0 , 0 , 0 , 0 ,
 2 ,0125,10/7/2015 4:35:21 PM , 0 , 0 , 0 , 0 , 0 ,
 2 ,0125,10/7/2015 4:36:21 PM , 0 , 0 , 0 , 0 , 0 ,
 2 ,0125,10/7/2015 4:37:21 PM , 0 , 0 , 0 , 0 , 0 ,
 2 ,0125,10/7/2015 4:38:21 PM , 0 , 0 , 0 , 0 , 0 ,
 2 ,0125,10/7/2015 4:39:21 PM , 0 , 0 , 0 , 0 , 0 ,
 2 ,0125,10/7/2015 4:40:21 PM , 0 , 0 , 19 , 0 , 0 ,
 2 ,0125,10/7/2015 4:41:21 PM , 0 , 0 , 83 , 0 , 0 ,
 2 ,0125,10/7/2015 4:42:21 PM , 0 , 0 , 10 , 0 , 0 ,
 2 ,0125,10/7/2015 4:43:21 PM , 0 , 0 , 6 , 0 , 0 ,
 2 ,0125,10/7/2015 4:44:21 PM , 0 , 0 , 2 , 0 , 0 ,
 2 ,0125,10/7/2015 4:45:21 PM , 31 , 13 , 34 , 13 , 0 ,
 3 ,0125,10/7/2015 4:46:21 PM , 31 , 3 , 43 , 7 , 0 ,
 3 ,0125,10/7/2015 4:47:21 PM , 98 , 66 , 89 , 53 , 0 ,
 3 ,0125,10/7/2015 4:48:21 PM , 86 , 50 , 77 , 42 , 0 ,
 3 ,0125,10/7/2015 4:49:21 PM , 49 , 22 , 56 , 20 , 0 ,
 3 ,0125,10/7/2015 4:50:21 PM , 70 , 34 , 59 , 32 , 0 ,
 3 ,0125,10/7/2015 4:51:21 PM , 27 , 7 , 14 , 5 , 0 ,
 3 ,0125,10/7/2015 4:52:21 PM , 43 , 18 , 23 , 9 , 0 ,
 3 ,0125,10/7/2015 4:53:21 PM , 35 , 24 , 66 , 20 , 0 ,
 3 ,0125,10/7/2015 4:54:21 PM , 60 , 36 , 68 , 20 , 0 ,
 3 ,0125,10/7/2015 4:55:21 PM , 106 , 67 , 77 , 38 , 0 ,
 3 ,0125,10/7/2015 4:56:21 PM , 97 , 62 , 60 , 41 , 0 ,
 3 ,0125,10/7/2015 4:57:21 PM , 45 , 23 , 31 , 16 , 0 ,
 3 ,0125,10/7/2015 4:58:21 PM , 53 , 37 , 71 , 42 , 0 ,
 3 ,0125,10/7/2015 4:59:21 PM , 125 , 90 , 117 , 65 , 0 ,
 3 ,0125,10/7/2015 5:00:21 PM , 83 , 61 , 76 , 44 , 0 ,
 3 ,0125,10/7/2015 5:01:21 PM , 63 , 36 , 52 , 24 , 0 ,
 3 ,0125,10/7/2015 5:02:21 PM , 44 , 23 , 46 , 26 , 0 ,
 3 ,0125,10/7/2015 5:03:21 PM , 38 , 13 , 31 , 10 , 0 ,
 3 ,0125,10/7/2015 5:04:21 PM , 62 , 33 , 47 , 24 , 0 ,
 3 ,0125,10/7/2015 5:05:21 PM , 169 , 110 , 116 , 58 , 0 ,
 3 ,0125,10/7/2015 5:06:21 PM , 133 , 98 , 94 , 64 , 0 ,
 3 ,0125,10/7/2015 5:07:21 PM , 89 , 49 , 93 , 54 , 0 ,
 3 ,0125,10/7/2015 5:08:21 PM , 128 , 85 , 110 , 83 , 0 ,
 3 ,0125,10/7/2015 5:09:21 PM , 14 , 1 , 10 , 6 , 0 ,
 3 ,0125,10/7/2015 5:10:21 PM , 83 , 33 , 65 , 31 , 0 ,
 3 ,0125,10/7/2015 5:11:21 PM , 104 , 68 , 79 , 44 , 0 ,
 3 ,0125,10/7/2015 5:12:21 PM , 64 , 14 , 41 , 9 , 0 ,
 3 ,0125,10/7/2015 5:13:21 PM , 48 , 15 , 67 , 20 , 0 ,
 3 ,0125,10/7/2015 5:14:21 PM , 72 , 33 , 83 , 24 , 0 ,
 3 ,0125,10/7/2015 5:15:21 PM , 59 , 22 , 46 , 16 , 0 ,
 3 ,0125,10/7/2015 5:16:21 PM , 77 , 44 , 45 , 16 , 0 ,
 3 ,0125,10/7/2015 5:17:21 PM , 10 , 4 , 14 , 7 , 0 ,
 3 ,0125,10/7/2015 5:18:21 PM , 0 , 0 , 0 , 0 , 0 ,
 4 ,0125,10/7/2015 5:19:21 PM , 0 , 0 , 0 , 0 , 0 ,
 4 ,0125,10/7/2015 5:20:21 PM , 1 , 0 , 0 , 0 , 0 ,
 4 ,0125,10/7/2015 5:21:21 PM , 0 , 0 , 0 , 0 , 0 ,
 4 ,0125,10/7/2015 5:22:21 PM , 0 , 0 , 0 , 0 , 0 ,
 4 ,0125,10/7/2015 5:23:21 PM , 0 , 0 , 0 , 0 , 0 ,
 4 ,0125,10/7/2015 5:24:21 PM , 0 , 0 , 0 , 0 , 0 ,
 4 ,0125,10/7/2015 5:25:21 PM , 0 , 0 , 0 , 0 , 0 ,
 4 ,0125,10/7/2015 5:26:21 PM , 0 , 0 , 0 , 0 , 0 ,
 4 ,0125,10/7/2015 5:27:21 PM , 0 , 0 , 0 , 0 , 0 ,
 4 ,0125,10/7/2015 5:28:21 PM , 0 , 0 , 0 , 0 , 0 ,
 4 ,0125,10/7/2015 5:29:21 PM , 0 , 0 , 0 , 0 , 0 ,
 4 ,0125,10/7/2015 5:30:21 PM , 1 , 1 , 0 , 0 , 0 ,
 4 ,0125,10/7/2015 5:31:21 PM , 12 , 1 , 0 , 0 , 0 ,
 4 ,0125,10/7/2015 5:32:21 PM , 8 , 0 , 0 , 0 , 0 ,
 4 ,0125,10/7/2015 5:33:21 PM , 0 , 0 , 0 , 0 , 0 ,
 4 ,0125,10/7/2015 5:34:21 PM , 0 , 0 , 0 , 0 , 0 ,
 4 ,0125,10/7/2015 5:35:21 PM , 12 , 3 , 0 , 0 , 0 ,
 4 ,0125,10/7/2015 5:36:21 PM , 116 , 1 , 0 , 0 , 0 ,
 4 ,0125,10/7/2015 5:37:21 PM , 12 , 2 , 0 , 0 , 0 ,
 4 ,0125,10/7/2015 5:38:21 PM , 0 , 0 , 0 , 0 , 0 ,
 4 ,0125,10/7/2015 5:39:21 PM , 0 , 0 , 0 , 0 , 0 ,
 4 ,0125,10/7/2015 5:40:21 PM , 8 , 4 , 0 , 0 , 0 ,
 4 ,0125,10/7/2015 5:41:21 PM , 0 , 0 , 0 , 0 , 0 ,
 4 ,0125,10/7/2015 5:42:21 PM , 9 , 2 , 4 , 0 , 0 ,
 4 ,0125,10/7/2015 5:43:21 PM , 37 , 17 , 31 , 6 , 0 ,
 4 ,0125,10/7/2015 5:44:21 PM , 57 , 13 , 27 , 2 , 0 ,
 4 ,0125,10/7/2015 5:45:21 PM , 113 , 47 , 43 , 2 , 0 ,
 4 ,0125,10/7/2015 5:46:21 PM , 125 , 37 , 15 , 6 , 0 ,
 4 ,0125,10/7/2015 5:47:21 PM , 67 , 31 , 63 , 32 , 0 ,
 4 ,0125,10/7/2015 5:48:21 PM , 68 , 29 , 83 , 34 , 0 ,
 4 ,0125,10/7/2015 5:49:21 PM , 49 , 23 , 53 , 13 , 0 ,
 4 ,0125,10/7/2015 5:50:21 PM , 104 , 44 , 103 , 52 , 0 ,
 4 ,0125,10/7/2015 5:51:21 PM , 52 , 12 , 43 , 15 , 0 ,
 5 ,0125,10/7/2015 5:52:21 PM , 83 , 47 , 70 , 36 , 0 ,
 5 ,0125,10/7/2015 5:53:21 PM , 59 , 39 , 65 , 30 , 0 ,
 5 ,0125,10/7/2015 5:54:21 PM , 49 , 31 , 31 , 18 , 0 ,
 5 ,0125,10/7/2015 5:55:21 PM , 2 , 0 , 0 , 0 , 0 ,
 5 ,0125,10/7/2015 5:56:21 PM , 0 , 0 , 0 , 0 , 0 ,
 5 ,0125,10/7/2015 5:57:21 PM , 4 , 2 , 5 , 0 , 0 ,
 5 ,0125,10/7/2015 5:58:21 PM , 0 , 0 , 4 , 0 , 0 ,
 5 ,0125,10/7/2015 5:59:21 PM , 0 , 0 , 12 , 0 , 0 ,
 5 ,0125,10/7/2015 6:00:21 PM , 27 , 12 , 11 , 4 , 0 ,
 5 ,0125,10/7/2015 6:01:21 PM , 61 , 10 , 0 , 0 , 0 ,
 5 ,0125,10/7/2015 6:02:21 PM , 54 , 10 , 0 , 0 , 0 ,
 5 ,0125,10/7/2015 6:03:21 PM , 88 , 39 , 18 , 4 , 0 ,
 5 ,0125,10/7/2015 6:04:21 PM , 54 , 28 , 44 , 11 , 0 ,
 5 ,0125,10/7/2015 6:05:21 PM , 85 , 54 , 53 , 27 , 0 ,
 5 ,0125,10/7/2015 6:06:21 PM , 25 , 5 , 21 , 0 , 0 ,
 5 ,0125,10/7/2015 6:07:21 PM , 0 , 0 , 0 , 0 , 0 ,
 5 ,0125,10/7/2015 6:08:21 PM , 26 , 0 , 0 , 0 , 0 ,
 5 ,0125,10/7/2015 6:09:21 PM , 1 , 0 , 0 , 0 , 0 ,
 5 ,0125,10/7/2015 6:10:21 PM , 0 , 0 , 3 , 0 , 0 ,
 5 ,0125,10/7/2015 6:11:21 PM , 0 , 0 , 0 , 0 , 0 ,
 5 ,0125,10/7/2015 6:12:21 PM , 0 , 0 , 3 , 0 , 0 ,
 5 ,0125,10/7/2015 6:13:21 PM , 0 , 0 , 0 , 0 , 0 ,
 5 ,0125,10/7/2015 6:14:21 PM , 0 , 0 , 2 , 0 , 0 ,
 5 ,0125,10/7/2015 6:15:21 PM , 0 , 0 , 0 , 0 , 0 ,
 5 ,0125,10/7/2015 6:16:21 PM , 0 , 0 , 0 , 0 , 0 ,
 5 ,0125,10/7/2015 6:17:21 PM , 29 , 16 , 20 , 10 , 0 ,
 5 ,0125,10/7/2015 6:18:21 PM , 78 , 42 , 45 , 26 , 0 ,
 5 ,0125,10/7/2015 6:19:21 PM , 57 , 36 , 54 , 24 , 0 ,
 5 ,0125,10/7/2015 6:20:21 PM , 63 , 33 , 62 , 25 , 0 ,
 5 ,0125,10/7/2015 6:21:21 PM , 59 , 34 , 51 , 25 , 0 ,
 5 ,0125,10/7/2015 6:22:21 PM , 135 , 93 , 96 , 58 , 0 ,
 5 ,0125,10/7/2015 6:23:21 PM , 92 , 42 , 44 , 29 , 0 ,
 5 ,0125,10/7/2015 6:24:21 PM , 53 , 14 , 16 , 2 , 0 ,
 6 ,0125,10/7/2015 6:25:21 PM , 37 , 12 , 44 , 16 , 0 ,
 6 ,0125,10/7/2015 6:26:21 PM , 54 , 35 , 59 , 33 , 0 ,
 6 ,0125,10/7/2015 6:27:21 PM , 36 , 10 , 17 , 5 , 0 ,
 6 ,0125,10/7/2015 6:28:21 PM , 14 , 0 , 13 , 0 , 0 ,
 6 ,0125,10/7/2015 6:29:21 PM , 42 , 23 , 55 , 26 , 0 ,
 6 ,0125,10/7/2015 6:30:21 PM , 22 , 14 , 32 , 8 , 0 ,
 6 ,0125,10/7/2015 6:31:21 PM , 111 , 75 , 97 , 57 , 0 ,
 6 ,0125,10/7/2015 6:32:21 PM , 39 , 13 , 78 , 48 , 0 ,
 6 ,0125,10/7/2015 6:33:21 PM , 160 , 124 , 74 , 42 , 0 ,
 6 ,0125,10/7/2015 6:34:21 PM , 98 , 63 , 62 , 42 , 0 ,
 6 ,0125,10/7/2015 6:35:21 PM , 84 , 43 , 62 , 32 , 0 ,
 6 ,0125,10/7/2015 6:36:21 PM , 121 , 79 , 136 , 96 , 0 ,
 6 ,0125,10/7/2015 6:37:21 PM , 49 , 31 , 76 , 36 , 0 ,
 6 ,0125,10/7/2015 6:38:21 PM , 36 , 21 , 35 , 11 , 0 ,
 6 ,0125,10/7/2015 6:39:21 PM , 47 , 15 , 14 , 10 , 0 ,
 6 ,0125,10/7/2015 6:40:21 PM , 97 , 59 , 75 , 32 , 0 ,
 6 ,0125,10/7/2015 6:41:21 PM , 50 , 23 , 69 , 27 , 0 ,
 6 ,0125,10/7/2015 6:42:21 PM , 98 , 55 , 64 , 36 , 0 ,
 6 ,0125,10/7/2015 6:43:21 PM , 121 , 87 , 141 , 96 , 0 ,
 6 ,0125,10/7/2015 6:44:21 PM , 89 , 42 , 68 , 39 , 0 ,
 6 ,0125,10/7/2015 6:45:21 PM , 133 , 87 , 113 , 74 , 0 ,
 6 ,0125,10/7/2015 6:46:21 PM , 107 , 74 , 118 , 71 , 0 ,
 6 ,0125,10/7/2015 6:47:21 PM , 48 , 13 , 25 , 5 , 0 ,
 6 ,0125,10/7/2015 6:48:21 PM , 51 , 24 , 46 , 13 , 0 ,
 6 ,0125,10/7/2015 6:49:21 PM , 86 , 59 , 105 , 71 , 0 ,
 6 ,0125,10/7/2015 6:50:21 PM , 42 , 23 , 63 , 21 , 0 ,
 6 ,0125,10/7/2015 6:51:21 PM , 82 , 38 , 44 , 22 , 0 ,
 6 ,0125,10/7/2015 6:52:21 PM , 50 , 28 , 43 , 25 , 0 ,
 6 ,0125,10/7/2015 6:53:21 PM , 65 , 38 , 61 , 38 , 0 ,
 6 ,0125,10/7/2015 6:54:21 PM , 159 , 111 , 153 , 105 , 0 ,
 6 ,0125,10/7/2015 6:55:21 PM , 116 , 89 , 120 , 67 , 0 ,
 6 ,0125,10/7/2015 6:56:21 PM , 77 , 46 , 55 , 30 , 0 ,
 6 ,0125,10/7/2015 6:57:21 PM , 96 , 74 , 69 , 44 , 0 ,
 7 ,0125,10/7/2015 6:58:21 PM , 42 , 7 , 78 , 9 , 0 ,
 7 ,0125,10/7/2015 6:59:21 PM , 21 , 4 , 105 , 36 , 0 ,
 7 ,0125,10/7/2015 7:00:21 PM , 111 , 47 , 42 , 2 , 0 ,
 7 ,0125,10/7/2015 7:01:21 PM , 116 , 27 , 93 , 32 , 0 ,
 7 ,0125,10/7/2015 7:02:21 PM , 47 , 23 , 45 , 21 , 0 ,
 7 ,0125,10/7/2015 7:03:21 PM , 79 , 57 , 93 , 64 , 0 ,
 7 ,0125,10/7/2015 7:04:21 PM , 129 , 84 , 131 , 80 , 0 ,
 7 ,0125,10/7/2015 7:05:21 PM , 182 , 131 , 156 , 104 , 0 ,
 7 ,0125,10/7/2015 7:06:21 PM , 169 , 116 , 177 , 125 , 0 ,
 7 ,0125,10/7/2015 7:07:21 PM , 108 , 59 , 93 , 55 , 0 ,
 7 ,0125,10/7/2015 7:08:21 PM , 51 , 28 , 68 , 36 , 0 ,
 7 ,0125,10/7/2015 7:09:21 PM , 199 , 149 , 139 , 95 , 0 ,
 7 ,0125,10/7/2015 7:10:21 PM , 130 , 79 , 80 , 52 , 0 ,
 7 ,0125,10/7/2015 7:11:21 PM , 21 , 13 , 51 , 12 , 0 ,
 7 ,0125,10/7/2015 7:12:21 PM , 25 , 10 , 22 , 3 , 0 ,
 7 ,0125,10/7/2015 7:13:21 PM , 73 , 24 , 46 , 28 , 0 ,
 7 ,0125,10/7/2015 7:14:21 PM , 29 , 4 , 3 , 2 , 0 ,
 7 ,0125,10/7/2015 7:15:21 PM , 52 , 6 , 4 , 1 , 0 ,
 7 ,0125,10/7/2015 7:16:21 PM , 92 , 40 , 48 , 16 , 0 ,
 7 ,0125,10/7/2015 7:17:21 PM , 85 , 28 , 81 , 24 , 0 ,
 7 ,0125,10/7/2015 7:18:21 PM , 93 , 63 , 82 , 55 , 0 ,
 7 ,0125,10/7/2015 7:19:21 PM , 142 , 102 , 97 , 47 , 0 ,
 7 ,0125,10/7/2015 7:20:21 PM , 159 , 117 , 123 , 74 , 0 ,
 7 ,0125,10/7/2015 7:21:21 PM , 193 , 131 , 142 , 93 , 0 ,
 7 ,0125,10/7/2015 7:22:21 PM , 152 , 93 , 105 , 66 , 0 ,
 7 ,0125,10/7/2015 7:23:21 PM , 65 , 30 , 55 , 32 , 0 ,
 7 ,0125,10/7/2015 7:24:21 PM , 133 , 69 , 86 , 46 , 0 ,
 7 ,0125,10/7/2015 7:25:21 PM , 100 , 39 , 58 , 21 , 0 ,
 7 ,0125,10/7/2015 7:26:21 PM , 104 , 54 , 76 , 26 , 0 ,
 7 ,0125,10/7/2015 7:27:21 PM , 205 , 136 , 139 , 87 , 0 ,
