Oxymax CSV File 

CSV Generation Date,10/12/2015 10:23:31 AM 
Experiment Started,10/7/2015 3:39:16 PM 
Data Filename,C:\Users\Clams\Desktop\Data\BridgesLab\2015-10-07 mTSC-HFD cont & C57BL6J-Rapa2\2015-10-07-2.CDTA

Group/Cage,0128
O2 Calibration Date,10/7/2015 3:31:23 PM
CO2 Calibration Date,10/7/2015 3:37:33 PM
Subject ID,4569
Subject Mass (G), 28.08 

Reference Settle Time (s), 55 
Reference Measure Time (s), 5 
Cage Settle Time (s), 55 
Cage Measure Time (s), 5 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_0


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,STATUS1,FEED1,FEED1 ACC,XTOT,XAMB,YTOT,YAMB,WHEEL,WHEEL ACC,ENCLOSURE TEMP,ENCLOSURE SETPOINT,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/hr,LPM,,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,degC,degC,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0128,10/7/2015 4:09:21 PM ,4235,20.921,20.510,0.411,0.0,3668,0.041,0.407,0.366,0.0,0.866,0.6,0.47,CELL NOT RESPONDING / OPEN,0.00,0.00,2424,965,1502,448,0,0,25.3,25.0,
2,0128,10/7/2015 4:42:21 PM ,2739,20.921,20.659,0.262,0.1,2125,0.039,0.252,0.213,0.0,0.776,0.4,0.47,CELL NOT RESPONDING / OPEN,0.00,0.00,179,57,108,20,0,0,25.2,25.0,
3,0128,10/7/2015 5:15:21 PM ,4108,20.921,20.515,0.406,0.1,3658,0.039,0.409,0.370,0.1,0.891,0.6,0.46,CELL NOT RESPONDING / OPEN,0.00,0.00,2268,1062,1702,578,0,0,25.3,25.0,
4,0128,10/7/2015 5:48:21 PM ,2626,20.921,20.664,0.257,0.2,2299,0.039,0.270,0.231,0.1,0.876,0.4,0.47,CELL NOT RESPONDING / OPEN,0.00,0.00,1763,888,1014,400,0,0,25.7,25.0,
5,0128,10/7/2015 6:21:21 PM ,4230,20.921,20.509,0.413,0.2,3779,0.039,0.416,0.377,0.2,0.893,0.6,0.47,CELL NOT RESPONDING / OPEN,0.00,0.00,2272,971,1407,559,0,0,25.4,25.0,
6,0128,10/7/2015 6:54:21 PM ,4635,20.921,20.464,0.458,0.3,4296,0.040,0.471,0.431,0.2,0.927,0.6,0.47,CELL NOT RESPONDING / OPEN,0.00,0.00,3484,1818,2507,1154,0,0,25.5,25.0,
7,0128,10/7/2015 7:27:21 PM ,4784,20.921,20.446,0.475,0.4,4574,0.040,0.499,0.458,0.3,0.956,0.7,0.47,CELL NOT RESPONDING / OPEN,0.00,0.00,3929,2233,2621,1295,0,0,25.2,25.0,
8,0128,10/7/2015 8:00:21 PM ,4582,20.921,20.469,0.452,0.4,4240,0.040,0.465,0.425,0.4,0.925,0.6,0.47,CELL NOT RESPONDING / OPEN,0.00,0.00,4492,2670,3335,1863,0,0,25.5,25.0,
9,0128,10/7/2015 8:33:21 PM ,4617,20.921,20.464,0.457,0.5,4328,0.040,0.474,0.434,0.4,0.937,0.6,0.47,CELL NOT RESPONDING / OPEN,0.00,0.00,4031,2386,2966,1593,0,0,25.3,25.0,
10,0128,10/7/2015 9:06:21 PM ,4070,20.921,20.517,0.404,0.6,3807,0.041,0.424,0.383,0.5,0.935,0.6,0.47,CELL NOT RESPONDING / OPEN,0.00,0.00,3124,1598,2283,1049,0,0,25.3,25.0,
11,0128,10/7/2015 9:39:21 PM ,2441,20.921,20.680,0.241,0.6,2239,0.041,0.267,0.225,0.6,0.917,0.3,0.47,CELL NOT RESPONDING / OPEN,0.00,0.00,894,260,971,196,0,0,25.6,25.0,
12,0128,10/7/2015 10:12:21 PM ,2467,20.921,20.677,0.244,0.7,2207,0.041,0.264,0.223,0.6,0.895,0.3,0.46,CELL NOT RESPONDING / OPEN,0.00,0.00,135,34,154,19,0,0,25.2,25.0,
13,0128,10/7/2015 10:44:21 PM ,3387,20.921,20.591,0.331,0.7,3044,0.040,0.344,0.304,0.6,0.899,0.5,0.47,CELL NOT RESPONDING / OPEN,0.00,0.00,1276,525,860,271,0,0,25.5,25.0,
14,0128,10/7/2015 11:17:21 PM ,3968,20.921,20.527,0.394,0.8,3781,0.040,0.419,0.379,0.7,0.953,0.6,0.47,CELL NOT RESPONDING / OPEN,0.00,0.00,2392,951,1895,695,0,0,25.1,25.0,
15,0128,10/7/2015 11:50:21 PM ,2369,20.921,20.690,0.231,0.8,2084,0.040,0.248,0.208,0.7,0.880,0.3,0.47,CELL NOT RESPONDING / OPEN,0.00,0.00,604,178,420,77,0,0,25.5,25.0,
16,0128,10/8/2015 12:23:21 AM ,2457,20.921,20.684,0.238,0.8,2012,0.039,0.242,0.202,0.8,0.819,0.3,0.47,CELL NOT RESPONDING / OPEN,0.00,0.00,47,16,3,0,0,0,25.2,25.0,
17,0128,10/8/2015 12:56:21 AM ,2419,20.921,20.686,0.235,0.9,2050,0.039,0.245,0.206,0.8,0.847,0.3,0.47,CELL NOT RESPONDING / OPEN,0.00,0.00,159,86,60,21,0,0,25.5,25.0,
18,0128,10/8/2015 1:29:21 AM ,3391,20.921,20.592,0.329,0.9,2916,0.039,0.330,0.291,0.8,0.860,0.5,0.47,CELL NOT RESPONDING / OPEN,0.00,0.00,774,130,452,82,0,0,25.1,25.0,
19,0128,10/8/2015 2:02:21 AM ,4070,20.921,20.523,0.398,1.0,3608,0.039,0.400,0.362,0.9,0.886,0.6,0.47,CELL NOT RESPONDING / OPEN,0.00,0.00,2389,1095,1537,664,0,0,25.4,25.0,
20,0128,10/8/2015 2:35:21 AM ,2326,20.921,20.693,0.228,1.0,2124,0.039,0.251,0.212,0.9,0.913,0.3,0.47,CELL NOT RESPONDING / OPEN,0.00,0.00,613,56,92,9,0,0,25.4,25.0,
21,0128,10/8/2015 3:08:21 AM ,2478,20.921,20.679,0.242,1.1,2200,0.039,0.259,0.220,1.0,0.888,0.3,0.47,CELL NOT RESPONDING / OPEN,0.00,0.00,122,4,14,5,0,0,25.3,25.0,
22,0128,10/8/2015 3:41:21 AM ,2524,20.921,20.674,0.248,1.1,2244,0.039,0.264,0.225,1.0,0.889,0.3,0.47,CELL NOT RESPONDING / OPEN,0.00,0.00,741,70,351,17,0,0,25.6,25.0,
23,0128,10/8/2015 4:14:21 AM ,2930,20.921,20.634,0.287,1.1,2599,0.039,0.301,0.261,1.0,0.887,0.4,0.47,CELL NOT RESPONDING / OPEN,0.00,0.00,668,119,462,39,0,0,25.2,25.0,
24,0128,10/8/2015 4:47:21 AM ,3647,20.921,20.559,0.362,1.2,3412,0.039,0.382,0.343,1.1,0.935,0.5,0.47,CELL NOT RESPONDING / OPEN,0.00,0.00,2812,1255,2059,949,0,0,25.6,25.0,
25,0128,10/8/2015 5:20:21 AM ,2108,20.921,20.716,0.206,1.2,1837,0.039,0.224,0.184,1.1,0.871,0.3,0.47,CELL NOT RESPONDING / OPEN,0.00,0.00,61,1,37,11,0,0,25.2,25.0,
26,0128,10/8/2015 5:53:21 AM ,3714,20.921,20.554,0.367,1.3,3501,0.041,0.391,0.350,1.2,0.943,0.5,0.47,CELL NOT RESPONDING / OPEN,0.00,0.00,1444,636,1216,495,0,0,25.5,25.0,
27,0128,10/8/2015 6:26:21 AM ,2107,20.921,20.712,0.209,1.3,1967,0.041,0.239,0.198,1.2,0.934,0.3,0.46,CELL NOT RESPONDING / OPEN,0.00,0.00,154,3,32,6,0,0,25.1,25.0,
28,0128,10/8/2015 6:59:21 AM ,3628,20.921,20.561,0.360,1.4,3382,0.041,0.382,0.340,1.2,0.932,0.5,0.47,CELL NOT RESPONDING / OPEN,0.00,0.00,1682,971,1239,621,0,0,25.3,25.0,
29,0128,10/8/2015 7:31:21 AM ,3256,20.921,20.599,0.322,1.4,3052,0.041,0.346,0.306,1.3,0.938,0.5,0.47,CELL NOT RESPONDING / OPEN,0.00,0.00,3030,1697,2216,1132,0,0,25.4,25.0,
30,0128,10/8/2015 8:04:21 AM ,2524,20.921,20.672,0.249,1.5,2340,0.041,0.275,0.234,1.3,0.927,0.4,0.47,CELL NOT RESPONDING / OPEN,0.00,0.00,26,3,73,16,0,0,25.6,25.0,
31,0128,10/8/2015 8:37:21 AM ,2561,20.921,20.666,0.255,1.5,2442,0.042,0.287,0.246,1.4,0.954,0.4,0.47,CELL NOT RESPONDING / OPEN,0.00,0.00,714,212,309,103,0,0,25.5,25.0,
32,0128,10/8/2015 9:10:21 AM ,2488,20.921,20.676,0.245,1.5,2304,0.041,0.272,0.231,1.4,0.926,0.3,0.47,CELL NOT RESPONDING / OPEN,0.00,0.00,3,1,2,0,0,0,25.3,25.0,
33,0128,10/8/2015 9:43:21 AM ,3641,20.921,20.561,0.360,1.6,3372,0.041,0.380,0.339,1.4,0.926,0.5,0.47,CELL NOT RESPONDING / OPEN,0.00,0.00,747,277,406,132,0,0,25.3,25.0,
34,0128,10/8/2015 10:16:21 AM ,2538,20.921,20.674,0.247,1.6,2156,0.043,0.259,0.216,1.5,0.850,0.3,0.47,CELL NOT RESPONDING / OPEN,0.00,0.00,1460,671,1031,349,0,0,25.6,25.0,
35,0128,10/8/2015 10:49:21 AM ,2439,20.921,20.683,0.238,1.7,2100,0.043,0.254,0.211,1.5,0.861,0.3,0.47,CELL NOT RESPONDING / OPEN,0.00,0.00,106,3,26,6,0,0,25.1,25.0,
36,0128,10/8/2015 11:22:21 AM ,2311,20.921,20.697,0.224,1.7,1963,0.043,0.240,0.197,1.6,0.850,0.3,0.47,CELL NOT RESPONDING / OPEN,0.00,0.00,332,78,153,74,0,0,25.4,25.0,
37,0128,10/8/2015 11:55:21 AM ,2402,20.921,20.690,0.231,1.8,1945,0.042,0.237,0.195,1.6,0.810,0.3,0.47,CELL NOT RESPONDING / OPEN,0.00,0.00,93,6,32,9,0,0,25.7,25.0,
38,0128,10/8/2015 12:28:21 PM ,2924,20.921,20.636,0.285,1.8,2584,0.042,0.300,0.258,1.6,0.884,0.4,0.47,CELL NOT RESPONDING / OPEN,0.00,0.00,2300,828,1944,777,0,0,25.1,25.0,
39,0128,10/8/2015 1:01:21 PM ,2510,20.921,20.680,0.241,1.8,1991,0.041,0.241,0.200,1.7,0.793,0.3,0.47,CELL NOT RESPONDING / OPEN,0.00,0.00,25,2,56,14,0,0,25.6,25.0,
40,0128,10/8/2015 1:34:21 PM ,2912,20.921,20.640,0.282,1.9,2411,0.040,0.282,0.242,1.7,0.828,0.4,0.47,CELL NOT RESPONDING / OPEN,0.00,0.00,149,27,264,43,0,0,25.6,25.0,
41,0128,10/8/2015 2:07:21 PM ,2304,20.921,20.701,0.220,1.9,1829,0.040,0.223,0.183,1.7,0.794,0.3,0.47,CELL NOT RESPONDING / OPEN,0.00,0.00,657,126,460,137,0,0,25.3,25.0,
42,0128,10/8/2015 2:40:21 PM ,2529,20.921,20.680,0.241,2.0,1953,0.040,0.235,0.196,1.8,0.772,0.3,0.47,CELL NOT RESPONDING / OPEN,0.00,0.00,40,1,24,5,0,0,25.7,25.0,
