Image Name,Channel,Name,Signal,Total,Area,Bkgnd.,Type,Protein,Genotype,Sample
2015-12-09_Muscle_Tsc1_KO-800-S6.tiff,W,2,3420,25000,1350,16,Signal,S6,Knockout,1264
2015-12-09_Muscle_Tsc1_KO-800-S6.tiff,W,3,9330,34200,1380,18,Signal,S6,Knockout,1266
2015-12-09_Muscle_Tsc1_KO-800-S6.tiff,W,4,4340,23200,1050,18,Signal,S6,Knockout,1265
2015-12-09_Muscle_Tsc1_KO-800-S6.tiff,W,5,15300,44900,1480,20,Signal,S6,Knockout,1552
2015-12-09_Muscle_Tsc1_KO-800-S6.tiff,W,6,96,20500,1275,16,Signal,S6,Wild-Type,1251
2015-12-09_Muscle_Tsc1_KO-800-S6.tiff,W,7,5340,30500,1400,18,Signal,S6,Wild-Type,867
2015-12-09_Muscle_Tsc1_KO-800-S6.tiff,W,8,7500,35100,1533,18,Signal,S6,Wild-Type,1260
2015-12-09_Muscle_Tsc1_KO-800-S6.tiff,W,9,204,26300,1633,16,Signal,S6,Wild-Type,1550
2015-12-09_Muscle_Tsc1_KO-800-S6.tiff,W,10,7140,35200,1560,18,Signal,S6,Wild-Type,811
2015-12-09_Muscle_Tsc1_KO-800-pS6K.tiff,W,1,31500,93800,1890,33,Signal,pS6K,Knockout,869
2015-12-09_Muscle_Tsc1_KO-800-pS6K.tiff,W,2,25700,80900,1675,33,Signal,pS6K,Knockout,1264
2015-12-09_Muscle_Tsc1_KO-800-pS6K.tiff,W,3,32700,93100,1950,31,Signal,pS6K,Knockout,1266
2015-12-09_Muscle_Tsc1_KO-800-pS6K.tiff,W,4,28100,89900,1872,33,Signal,pS6K,Knockout,1265
2015-12-09_Muscle_Tsc1_KO-800-pS6K.tiff,W,5,44900,127000,1875,44,Signal,pS6K,Knockout,1552
2015-12-09_Muscle_Tsc1_KO-800-pS6K.tiff,W,6,15600,70000,1875,29,Signal,pS6K,Wild-Type,1251
2015-12-09_Muscle_Tsc1_KO-800-pS6K.tiff,W,7,19300,79400,1820,33,Signal,pS6K,Wild-Type,867
2015-12-09_Muscle_Tsc1_KO-800-pS6K.tiff,W,8,23600,94600,1920,37,Signal,pS6K,Wild-Type,1260
2015-12-09_Muscle_Tsc1_KO-800-pS6K.tiff,W,9,15100,63800,1680,29,Signal,pS6K,Wild-Type,1550
2015-12-09_Muscle_Tsc1_KO-800-pS6K.tiff,W,10,24200,88900,1750,37,Signal,pS6K,Wild-Type,811
2015-12-09_Muscle_Tsc1_KO-700.tiff,W,1,260000,608000,1782,195,Signal,S6K,Knockout,869
2015-12-09_Muscle_Tsc1_KO-700.tiff,W,2,237000,563000,1755,186,Signal,S6K,Knockout,1264
2015-12-09_Muscle_Tsc1_KO-700.tiff,W,3,311000,690000,1943,195,Signal,S6K,Knockout,1266
2015-12-09_Muscle_Tsc1_KO-700.tiff,W,4,351000,735000,2040,188,Signal,S6K,Knockout,1265
2015-12-09_Muscle_Tsc1_KO-700.tiff,W,5,593000,1080000,2263,214,Signal,S6K,Knockout,1552
2015-12-09_Muscle_Tsc1_KO-700.tiff,W,6,580000,995000,1872,222,Signal,S6K,Wild-Type,1251
2015-12-09_Muscle_Tsc1_KO-700.tiff,W,7,847000,1330000,1890,256,Signal,S6K,Wild-Type,867
2015-12-09_Muscle_Tsc1_KO-700.tiff,W,8,1080000,1690000,1988,308,Signal,S6K,Wild-Type,1260
2015-12-09_Muscle_Tsc1_KO-700.tiff,W,9,479000,850000,1742,213,Signal,S6K,Wild-Type,1550
