Interval,Sample #,Date/Time,Light/Dark,Start Time,End Time,Duration (s),Weight (g),Accumulated (g),
12,47,12/7/2015 10:33:45 PM,Dark,12/7/2015 10:31:18 PM,12/7/2015 10:33:34 PM,136,-0.22,1.05,
13,48,12/7/2015 10:42:02 PM,Dark,12/7/2015 10:34:57 PM,12/7/2015 10:41:51 PM,414,0.08,1.13,
13,49,12/7/2015 10:44:23 PM,Dark,12/7/2015 10:42:26 PM,12/7/2015 10:44:13 PM,107,-0.40,0.73,
13,50,12/7/2015 10:45:25 PM,Dark,12/7/2015 10:44:42 PM,12/7/2015 10:45:14 PM,32,0.25,0.99,
13,51,12/7/2015 10:48:31 PM,Dark,12/7/2015 10:45:30 PM,12/7/2015 10:48:21 PM,171,-0.04,0.95,
13,52,12/7/2015 10:53:06 PM,Dark,12/7/2015 10:48:43 PM,12/7/2015 10:52:55 PM,252,-0.09,0.86,
14,53,12/7/2015 11:05:45 PM,Dark,12/7/2015 10:54:56 PM,12/7/2015 11:05:35 PM,639,0.43,1.28,
14,54,12/7/2015 11:17:04 PM,Dark,12/7/2015 11:05:52 PM,12/7/2015 11:16:53 PM,661,0.04,1.32,
14,55,12/7/2015 11:20:11 PM,Dark,12/7/2015 11:18:37 PM,12/7/2015 11:20:00 PM,83,-0.21,1.11,
15,56,12/7/2015 11:25:50 PM,Dark,12/7/2015 11:20:22 PM,12/7/2015 11:25:39 PM,317,0.22,1.33,
15,57,12/7/2015 11:29:11 PM,Dark,12/7/2015 11:25:56 PM,12/7/2015 11:29:00 PM,184,-0.25,1.08,
15,58,12/7/2015 11:41:09 PM,Dark,12/7/2015 11:30:17 PM,12/7/2015 11:40:59 PM,642,-0.14,0.94,
16,59,12/7/2015 11:52:00 PM,Dark,12/7/2015 11:41:22 PM,12/7/2015 11:51:49 PM,627,0.38,1.32,
16,60,12/7/2015 11:52:42 PM,Dark,12/7/2015 11:52:19 PM,12/7/2015 11:52:31 PM,12,0.08,1.40,
16,61,12/8/2015 12:02:35 AM,Dark,12/8/2015 12:01:59 AM,12/8/2015 12:02:24 AM,25,-0.12,1.28,
16,62,12/8/2015 12:04:49 AM,Dark,12/8/2015 12:02:55 AM,12/8/2015 12:04:39 AM,104,0.05,1.33,
16,63,12/8/2015 12:14:30 AM,Dark,12/8/2015 12:07:09 AM,12/8/2015 12:14:19 AM,430,0.07,1.40,
16,64,12/8/2015 12:15:48 AM,Dark,12/8/2015 12:14:43 AM,12/8/2015 12:15:37 AM,54,-0.09,1.31,
17,65,12/8/2015 12:19:07 AM,Dark,12/8/2015 12:18:17 AM,12/8/2015 12:18:57 AM,40,0.06,1.37,
17,66,12/8/2015 12:25:23 AM,Dark,12/8/2015 12:20:35 AM,12/8/2015 12:25:13 AM,278,-0.14,1.23,
17,67,12/8/2015 12:28:04 AM,Dark,12/8/2015 12:25:30 AM,12/8/2015 12:27:54 AM,144,0.28,1.51,
17,68,12/8/2015 12:38:14 AM,Dark,12/8/2015 12:29:24 AM,12/8/2015 12:38:03 AM,519,-0.27,1.24,
17,69,12/8/2015 12:40:08 AM,Dark,12/8/2015 12:38:42 AM,12/8/2015 12:39:58 AM,76,0.12,1.36,
17,70,12/8/2015 12:42:13 AM,Dark,12/8/2015 12:41:31 AM,12/8/2015 12:42:02 AM,31,0.11,1.47,
18,71,12/8/2015 12:42:40 AM,Dark,12/8/2015 12:42:19 AM,12/8/2015 12:42:30 AM,11,-0.16,1.31,
18,72,12/8/2015 12:51:24 AM,Dark,12/8/2015 12:43:15 AM,12/8/2015 12:51:14 AM,479,0.17,1.49,
18,73,12/8/2015 1:03:23 AM,Dark,12/8/2015 12:53:57 AM,12/8/2015 1:03:13 AM,556,-0.12,1.37,
18,74,12/8/2015 1:03:40 AM,Dark,12/8/2015 1:03:24 AM,12/8/2015 1:03:29 AM,5,0.09,1.46,
18,75,12/8/2015 1:04:15 AM,Dark,12/8/2015 1:03:45 AM,12/8/2015 1:04:04 AM,19,-0.09,1.37,
19,76,12/8/2015 1:15:53 AM,Dark,12/8/2015 1:12:58 AM,12/8/2015 1:15:43 AM,165,-0.13,1.23,
19,77,12/8/2015 1:16:46 AM,Dark,12/8/2015 1:16:13 AM,12/8/2015 1:16:35 AM,22,0.17,1.40,
19,78,12/8/2015 1:18:32 AM,Dark,12/8/2015 1:18:17 AM,12/8/2015 1:18:21 AM,4,0.03,1.44,
19,79,12/8/2015 1:28:36 AM,Dark,12/8/2015 1:19:33 AM,12/8/2015 1:28:25 AM,532,0.11,1.55,
20,80,12/8/2015 1:38:07 AM,Dark,12/8/2015 1:29:46 AM,12/8/2015 1:37:56 AM,490,0.05,1.60,
20,81,12/8/2015 1:38:32 AM,Dark,12/8/2015 1:38:12 AM,12/8/2015 1:38:22 AM,10,-0.17,1.44,
20,82,12/8/2015 1:39:03 AM,Dark,12/8/2015 1:38:47 AM,12/8/2015 1:38:52 AM,5,0.28,1.72,
20,83,12/8/2015 1:42:29 AM,Dark,12/8/2015 1:41:53 AM,12/8/2015 1:42:19 AM,26,-0.11,1.61,
20,84,12/8/2015 1:43:12 AM,Dark,12/8/2015 1:42:52 AM,12/8/2015 1:43:02 AM,10,-0.06,1.54,
20,85,12/8/2015 1:49:04 AM,Dark,12/8/2015 1:43:17 AM,12/8/2015 1:48:53 AM,336,0.19,1.73,
20,86,12/8/2015 1:50:33 AM,Dark,12/8/2015 1:49:09 AM,12/8/2015 1:50:22 AM,73,-0.19,1.54,
20,87,12/8/2015 1:51:44 AM,Dark,12/8/2015 1:50:54 AM,12/8/2015 1:51:34 AM,40,0.10,1.64,
21,88,12/8/2015 2:15:45 AM,Dark,12/8/2015 2:05:51 AM,12/8/2015 2:15:34 AM,583,0.03,1.67,
21,89,12/8/2015 2:16:41 AM,Dark,12/8/2015 2:15:51 AM,12/8/2015 2:16:30 AM,39,-0.21,1.46,
22,90,12/8/2015 2:40:03 AM,Dark,12/8/2015 2:17:06 AM,12/8/2015 2:39:52 AM,1366,0.16,1.62,
22,91,12/8/2015 2:42:43 AM,Dark,12/8/2015 2:42:13 AM,12/8/2015 2:42:32 AM,19,-0.03,1.59,
23,92,12/8/2015 2:51:23 AM,Dark,12/8/2015 2:42:47 AM,12/8/2015 2:51:13 AM,506,-0.16,1.43,
23,93,12/8/2015 2:52:44 AM,Dark,12/8/2015 2:51:35 AM,12/8/2015 2:52:33 AM,58,0.17,1.60,
23,94,12/8/2015 3:05:00 AM,Dark,12/8/2015 2:52:57 AM,12/8/2015 3:04:49 AM,712,0.05,1.65,
23,95,12/8/2015 3:06:11 AM,Dark,12/8/2015 3:05:43 AM,12/8/2015 3:06:00 AM,17,-0.19,1.46,
24,96,12/8/2015 3:19:55 AM,Dark,12/8/2015 3:06:30 AM,12/8/2015 3:19:45 AM,795,0.14,1.61,
24,97,12/8/2015 3:25:18 AM,Dark,12/8/2015 3:20:08 AM,12/8/2015 3:25:08 AM,300,0.18,1.78,
24,98,12/8/2015 3:29:11 AM,Dark,12/8/2015 3:27:22 AM,12/8/2015 3:29:01 AM,99,-0.07,1.71,
24,99,12/8/2015 3:29:28 AM,Dark,12/8/2015 3:29:12 AM,12/8/2015 3:29:17 AM,5,-0.17,1.55,
24,100,12/8/2015 3:35:12 AM,Dark,12/8/2015 3:30:28 AM,12/8/2015 3:35:01 AM,273,0.35,1.89,
25,101,12/8/2015 3:41:23 AM,Dark,12/8/2015 3:35:13 AM,12/8/2015 3:41:11 AM,358,-0.51,1.39,
25,102,12/8/2015 3:41:43 AM,Dark,12/8/2015 3:41:24 AM,12/8/2015 3:41:33 AM,9,0.23,1.61,
25,103,12/8/2015 3:51:21 AM,Dark,12/8/2015 3:45:20 AM,12/8/2015 3:51:10 AM,350,-0.10,1.51,
25,104,12/8/2015 3:53:12 AM,Dark,12/8/2015 3:52:58 AM,12/8/2015 3:53:01 AM,3,0.28,1.79,
25,105,12/8/2015 3:55:25 AM,Dark,12/8/2015 3:54:57 AM,12/8/2015 3:55:15 AM,18,-0.20,1.59,
25,106,12/8/2015 3:56:01 AM,Dark,12/8/2015 3:55:37 AM,12/8/2015 3:55:50 AM,13,-0.03,1.56,
25,107,12/8/2015 3:57:17 AM,Dark,12/8/2015 3:56:06 AM,12/8/2015 3:57:06 AM,60,0.12,1.68,
25,108,12/8/2015 4:05:49 AM,Dark,12/8/2015 3:57:18 AM,12/8/2015 4:05:39 AM,501,-0.05,1.63,
26,109,12/8/2015 4:17:28 AM,Dark,12/8/2015 4:05:56 AM,12/8/2015 4:17:17 AM,681,-0.06,1.57,
26,110,12/8/2015 4:20:43 AM,Dark,12/8/2015 4:19:40 AM,12/8/2015 4:20:32 AM,52,0.16,1.74,
26,111,12/8/2015 4:22:00 AM,Dark,12/8/2015 4:20:44 AM,12/8/2015 4:21:49 AM,65,-0.08,1.66,
26,112,12/8/2015 4:28:45 AM,Dark,12/8/2015 4:22:04 AM,12/8/2015 4:28:34 AM,390,-0.07,1.59,
27,113,12/8/2015 4:41:19 AM,Dark,12/8/2015 4:31:49 AM,12/8/2015 4:41:09 AM,560,-0.03,1.55,
27,114,12/8/2015 4:54:38 AM,Dark,12/8/2015 4:44:06 AM,12/8/2015 4:54:27 AM,621,0.10,1.65,
27,115,12/8/2015 4:56:00 AM,Dark,12/8/2015 4:55:45 AM,12/8/2015 4:55:50 AM,5,0.13,1.79,
28,116,12/8/2015 5:17:28 AM,Dark,12/8/2015 4:56:20 AM,12/8/2015 5:17:17 AM,1257,-0.06,1.73,
28,117,12/8/2015 5:17:57 AM,Dark,12/8/2015 5:17:43 AM,12/8/2015 5:17:46 AM,3,-0.19,1.54,
28,118,12/8/2015 5:18:17 AM,Dark,12/8/2015 5:17:57 AM,12/8/2015 5:18:07 AM,10,0.18,1.72,
28,119,12/8/2015 5:21:05 AM,Dark,12/8/2015 5:20:21 AM,12/8/2015 5:20:55 AM,34,-0.09,1.63,
29,120,12/8/2015 5:25:44 AM,Dark,12/8/2015 5:21:26 AM,12/8/2015 5:25:33 AM,247,-0.06,1.57,
29,121,12/8/2015 5:26:21 AM,Dark,12/8/2015 5:25:51 AM,12/8/2015 5:26:10 AM,19,0.16,1.74,
29,122,12/8/2015 5:28:23 AM,Dark,12/8/2015 5:28:04 AM,12/8/2015 5:28:13 AM,9,-0.06,1.67,
29,123,12/8/2015 5:37:19 AM,Dark,12/8/2015 5:37:03 AM,12/8/2015 5:37:09 AM,6,-0.13,1.54,
29,124,12/8/2015 5:43:35 AM,Dark,12/8/2015 5:38:17 AM,12/8/2015 5:43:24 AM,307,0.21,1.75,
29,125,12/8/2015 5:46:53 AM,Dark,12/8/2015 5:46:15 AM,12/8/2015 5:46:42 AM,27,0.03,1.78,
30,126,12/8/2015 5:52:42 AM,Dark,12/8/2015 5:47:15 AM,12/8/2015 5:52:32 AM,317,-0.14,1.64,
30,127,12/8/2015 6:05:22 AM,Dark,12/8/2015 6:05:07 AM,12/8/2015 6:05:12 AM,5,0.03,1.68,
30,128,12/8/2015 6:11:25 AM,Dark,12/8/2015 6:05:27 AM,12/8/2015 6:11:15 AM,348,0.07,1.75,
31,129,12/8/2015 6:20:58 AM,Dark,12/8/2015 6:15:25 AM,12/8/2015 6:20:48 AM,323,-0.04,1.70,
31,130,12/8/2015 6:28:22 AM,Dark,12/8/2015 6:24:14 AM,12/8/2015 6:28:12 AM,238,0.05,1.75,
31,131,12/8/2015 6:30:24 AM,Dark,12/8/2015 6:28:24 AM,12/8/2015 6:30:13 AM,109,-0.10,1.66,
31,132,12/8/2015 6:30:58 AM,Dark,12/8/2015 6:30:38 AM,12/8/2015 6:30:48 AM,10,0.06,1.72,
32,133,12/8/2015 6:40:03 AM,Dark,12/8/2015 6:34:17 AM,12/8/2015 6:39:52 AM,335,0.07,1.78,
32,134,12/8/2015 6:43:40 AM,Dark,12/8/2015 6:43:24 AM,12/8/2015 6:43:29 AM,5,-0.12,1.67,
32,135,12/8/2015 6:53:15 AM,Dark,12/8/2015 6:52:44 AM,12/8/2015 6:53:04 AM,20,0.11,1.77,
32,136,12/8/2015 6:59:07 AM,Dark,12/8/2015 6:53:37 AM,12/8/2015 6:58:56 AM,319,-0.18,1.60,
33,137,12/8/2015 7:08:57 AM,Light,12/8/2015 7:02:46 AM,12/8/2015 7:08:47 AM,361,0.18,1.78,
33,138,12/8/2015 7:18:58 AM,Light,12/8/2015 7:13:35 AM,12/8/2015 7:18:48 AM,313,-0.20,1.58,
33,139,12/8/2015 7:29:04 AM,Light,12/8/2015 7:22:09 AM,12/8/2015 7:28:53 AM,404,0.14,1.73,
35,140,12/8/2015 7:57:06 AM,Light,12/8/2015 7:56:19 AM,12/8/2015 7:56:56 AM,37,-0.15,1.57,
35,141,12/8/2015 8:06:10 AM,Light,12/8/2015 8:01:29 AM,12/8/2015 8:05:59 AM,270,0.20,1.77,
35,142,12/8/2015 8:07:19 AM,Light,12/8/2015 8:06:10 AM,12/8/2015 8:07:09 AM,59,0.17,1.94,
35,143,12/8/2015 8:10:31 AM,Light,12/8/2015 8:10:15 AM,12/8/2015 8:10:21 AM,6,-0.10,1.84,
35,144,12/8/2015 8:14:56 AM,Light,12/8/2015 8:10:44 AM,12/8/2015 8:14:45 AM,241,-0.24,1.60,
35,145,12/8/2015 8:17:11 AM,Light,12/8/2015 8:16:58 AM,12/8/2015 8:17:00 AM,2,0.12,1.72,
35,146,12/8/2015 8:20:36 AM,Light,12/8/2015 8:20:21 AM,12/8/2015 8:20:25 AM,4,0.12,1.84,
36,147,12/8/2015 8:24:55 AM,Light,12/8/2015 8:20:56 AM,12/8/2015 8:24:44 AM,228,-0.04,1.80,
36,148,12/8/2015 8:26:20 AM,Light,12/8/2015 8:25:02 AM,12/8/2015 8:26:10 AM,68,-0.09,1.71,
36,149,12/8/2015 8:31:12 AM,Light,12/8/2015 8:30:26 AM,12/8/2015 8:31:01 AM,35,0.08,1.79,
36,150,12/8/2015 8:36:32 AM,Light,12/8/2015 8:31:18 AM,12/8/2015 8:36:21 AM,303,0.06,1.85,
36,151,12/8/2015 8:45:36 AM,Light,12/8/2015 8:44:08 AM,12/8/2015 8:45:26 AM,78,-0.12,1.72,
37,152,12/8/2015 8:53:52 AM,Light,12/8/2015 8:50:20 AM,12/8/2015 8:53:41 AM,201,0.16,1.88,
37,153,12/8/2015 8:55:34 AM,Light,12/8/2015 8:54:06 AM,12/8/2015 8:55:24 AM,78,-0.18,1.70,
37,154,12/8/2015 9:00:13 AM,Light,12/8/2015 8:59:42 AM,12/8/2015 9:00:02 AM,20,0.08,1.78,
37,155,12/8/2015 9:00:40 AM,Light,12/8/2015 9:00:18 AM,12/8/2015 9:00:30 AM,12,-0.20,1.58,
37,156,12/8/2015 9:05:27 AM,Light,12/8/2015 9:00:46 AM,12/8/2015 9:05:16 AM,270,0.40,1.98,
37,157,12/8/2015 9:06:24 AM,Light,12/8/2015 9:06:05 AM,12/8/2015 9:06:13 AM,8,-0.29,1.69,
38,158,12/8/2015 9:15:09 AM,Light,12/8/2015 9:10:09 AM,12/8/2015 9:14:58 AM,289,0.25,1.94,
38,159,12/8/2015 9:16:02 AM,Light,12/8/2015 9:15:12 AM,12/8/2015 9:15:52 AM,40,-0.33,1.61,
38,160,12/8/2015 9:16:32 AM,Light,12/8/2015 9:16:17 AM,12/8/2015 9:16:21 AM,4,0.13,1.75,
38,161,12/8/2015 9:24:00 AM,Light,12/8/2015 9:19:28 AM,12/8/2015 9:23:50 AM,262,0.16,1.91,
38,162,12/8/2015 9:26:01 AM,Light,12/8/2015 9:24:07 AM,12/8/2015 9:25:51 AM,104,-0.16,1.74,
38,163,12/8/2015 9:26:59 AM,Light,12/8/2015 9:26:44 AM,12/8/2015 9:26:49 AM,5,0.09,1.83,
38,164,12/8/2015 9:35:44 AM,Light,12/8/2015 9:29:05 AM,12/8/2015 9:35:34 AM,389,-0.04,1.79,
39,165,12/8/2015 9:45:41 AM,Light,12/8/2015 9:39:57 AM,12/8/2015 9:45:30 AM,333,0.05,1.85,
39,166,12/8/2015 9:54:36 AM,Light,12/8/2015 9:48:57 AM,12/8/2015 9:54:26 AM,329,-0.04,1.81,
39,167,12/8/2015 9:55:27 AM,Light,12/8/2015 9:55:10 AM,12/8/2015 9:55:16 AM,6,0.10,1.91,
39,168,12/8/2015 9:58:59 AM,Light,12/8/2015 9:58:22 AM,12/8/2015 9:58:48 AM,26,-0.24,1.66,
40,169,12/8/2015 10:05:03 AM,Light,12/8/2015 9:59:00 AM,12/8/2015 10:04:52 AM,352,0.26,1.92,
40,170,12/8/2015 10:11:31 AM,Light,12/8/2015 10:08:29 AM,12/8/2015 10:11:20 AM,171,-0.17,1.75,
40,171,12/8/2015 10:14:37 AM,Light,12/8/2015 10:11:38 AM,12/8/2015 10:14:26 AM,168,0.09,1.84,
40,172,12/8/2015 10:14:54 AM,Light,12/8/2015 10:14:38 AM,12/8/2015 10:14:43 AM,5,-0.07,1.77,
40,173,12/8/2015 10:17:42 AM,Light,12/8/2015 10:17:26 AM,12/8/2015 10:17:31 AM,5,0.17,1.94,
40,174,12/8/2015 10:24:13 AM,Light,12/8/2015 10:17:55 AM,12/8/2015 10:24:02 AM,367,-0.17,1.77,
40,175,12/8/2015 10:24:29 AM,Light,12/8/2015 10:24:13 AM,12/8/2015 10:24:18 AM,5,0.07,1.84,
40,176,12/8/2015 10:27:52 AM,Light,12/8/2015 10:27:22 AM,12/8/2015 10:27:41 AM,19,0.06,1.89,
41,177,12/8/2015 10:34:17 AM,Light,12/8/2015 10:27:59 AM,12/8/2015 10:34:07 AM,368,-0.08,1.81,
41,178,12/8/2015 10:37:41 AM,Light,12/8/2015 10:37:11 AM,12/8/2015 10:37:31 AM,20,0.23,2.04,
41,179,12/8/2015 10:43:22 AM,Light,12/8/2015 10:37:42 AM,12/8/2015 10:43:12 AM,330,-0.21,1.83,
41,180,12/8/2015 10:47:52 AM,Light,12/8/2015 10:47:24 AM,12/8/2015 10:47:42 AM,18,-0.04,1.79,
41,181,12/8/2015 10:49:53 AM,Light,12/8/2015 10:47:59 AM,12/8/2015 10:49:42 AM,103,0.10,1.89,
41,182,12/8/2015 10:52:19 AM,Light,12/8/2015 10:49:54 AM,12/8/2015 10:52:08 AM,134,-0.08,1.82,
41,183,12/8/2015 10:53:05 AM,Light,12/8/2015 10:52:26 AM,12/8/2015 10:52:55 AM,29,0.05,1.86,
42,184,12/8/2015 11:03:13 AM,Light,12/8/2015 10:57:24 AM,12/8/2015 11:03:03 AM,339,-0.08,1.79,
42,185,12/8/2015 11:03:34 AM,Light,12/8/2015 11:03:21 AM,12/8/2015 11:03:24 AM,3,0.11,1.90,
42,186,12/8/2015 11:06:56 AM,Light,12/8/2015 11:06:33 AM,12/8/2015 11:06:45 AM,12,-0.23,1.67,
42,187,12/8/2015 11:10:14 AM,Light,12/8/2015 11:07:03 AM,12/8/2015 11:10:03 AM,180,0.07,1.74,
42,188,12/8/2015 11:12:36 AM,Light,12/8/2015 11:10:21 AM,12/8/2015 11:12:26 AM,125,0.05,1.79,
42,189,12/8/2015 11:16:31 AM,Light,12/8/2015 11:16:18 AM,12/8/2015 11:16:20 AM,2,0.11,1.91,
43,190,12/8/2015 11:21:27 AM,Light,12/8/2015 11:19:29 AM,12/8/2015 11:21:17 AM,108,-0.15,1.76,
43,191,12/8/2015 11:22:44 AM,Light,12/8/2015 11:22:01 AM,12/8/2015 11:22:34 AM,33,0.17,1.93,
43,192,12/8/2015 11:28:46 AM,Light,12/8/2015 11:26:05 AM,12/8/2015 11:28:35 AM,150,-0.25,1.68,
43,193,12/8/2015 11:31:12 AM,Light,12/8/2015 11:28:53 AM,12/8/2015 11:31:01 AM,128,0.16,1.83,
43,194,12/8/2015 11:41:01 AM,Light,12/8/2015 11:35:11 AM,12/8/2015 11:40:51 AM,340,0.06,1.90,
44,195,12/8/2015 11:51:03 AM,Light,12/8/2015 11:45:12 AM,12/8/2015 11:50:52 AM,340,-0.10,1.80,
44,196,12/8/2015 12:00:46 PM,Light,12/8/2015 11:54:56 AM,12/8/2015 12:00:35 PM,339,0.11,1.91,
44,197,12/8/2015 12:04:15 PM,Light,12/8/2015 12:04:00 PM,12/8/2015 12:04:05 PM,5,-0.12,1.79,
45,198,12/8/2015 12:10:44 PM,Light,12/8/2015 12:04:22 PM,12/8/2015 12:10:33 PM,371,0.09,1.88,
45,199,12/8/2015 12:11:53 PM,Light,12/8/2015 12:11:36 PM,12/8/2015 12:11:42 PM,6,0.04,1.92,
45,200,12/8/2015 12:19:04 PM,Light,12/8/2015 12:13:58 PM,12/8/2015 12:18:54 PM,296,0.29,2.20,
45,201,12/8/2015 12:19:39 PM,Light,12/8/2015 12:19:11 PM,12/8/2015 12:19:28 PM,17,-0.38,1.82,
45,202,12/8/2015 12:20:08 PM,Light,12/8/2015 12:19:39 PM,12/8/2015 12:19:57 PM,18,0.07,1.89,
45,203,12/8/2015 12:26:09 PM,Light,12/8/2015 12:23:48 PM,12/8/2015 12:25:59 PM,131,0.07,1.96,
45,204,12/8/2015 12:29:39 PM,Light,12/8/2015 12:26:26 PM,12/8/2015 12:29:28 PM,182,-0.10,1.86,
46,205,12/8/2015 12:38:40 PM,Light,12/8/2015 12:33:03 PM,12/8/2015 12:38:29 PM,326,0.14,2.00,
46,206,12/8/2015 12:42:23 PM,Light,12/8/2015 12:41:55 PM,12/8/2015 12:42:13 PM,18,-0.07,1.92,
46,207,12/8/2015 12:57:58 PM,Light,12/8/2015 12:51:53 PM,12/8/2015 12:57:47 PM,354,0.18,2.10,
