Interval,Sample #,Date/Time,Light/Dark,Start Time,End Time,Duration (s),Weight (g),Accumulated (g),
1,1,10/5/2015 4:28:00 PM,Light,4/5/1981 4:24:49 PM,4/5/1981 4:27:49 PM,180,0.08,0.08,
1,2,10/5/2015 4:28:26 PM,Light,4/5/1981 4:28:02 PM,4/5/1981 4:28:15 PM,13,-0.10,-0.02,
1,3,10/5/2015 4:40:18 PM,Light,4/5/1981 4:39:55 PM,4/5/1981 4:40:08 PM,13,-0.03,-0.05,
2,4,10/5/2015 4:54:19 PM,Light,4/5/1981 4:53:39 PM,4/5/1981 4:54:08 PM,29,0.11,0.06,
2,5,10/5/2015 4:55:55 PM,Light,4/5/1981 4:55:13 PM,4/5/1981 4:55:45 PM,32,-0.12,-0.06,
2,6,10/5/2015 4:58:48 PM,Light,4/5/1981 4:56:59 PM,4/5/1981 4:58:37 PM,98,0.12,0.06,
2,7,10/5/2015 5:00:25 PM,Light,4/5/1981 5:00:03 PM,4/5/1981 5:00:15 PM,12,-0.21,-0.15,
2,8,10/5/2015 5:02:18 PM,Light,4/5/1981 5:01:19 PM,4/5/1981 5:02:07 PM,48,0.15,0.00,
2,9,10/5/2015 5:03:09 PM,Light,4/5/1981 5:02:55 PM,4/5/1981 5:02:59 PM,4,-0.07,-0.07,
3,10,10/5/2015 5:10:18 PM,Light,4/5/1981 5:08:52 PM,4/5/1981 5:10:08 PM,76,-0.03,-0.10,
3,11,10/5/2015 5:11:19 PM,Light,4/5/1981 5:10:53 PM,4/5/1981 5:11:08 PM,15,-0.04,-0.14,
3,12,10/5/2015 5:15:31 PM,Light,4/5/1981 5:12:13 PM,4/5/1981 5:15:20 PM,187,0.04,-0.10,
3,13,10/5/2015 5:20:29 PM,Light,4/5/1981 5:19:14 PM,4/5/1981 5:20:19 PM,65,0.05,-0.05,
3,14,10/5/2015 5:22:07 PM,Light,4/5/1981 5:21:25 PM,4/5/1981 5:21:57 PM,32,-0.06,-0.11,
4,15,10/5/2015 5:26:31 PM,Light,4/5/1981 5:25:50 PM,4/5/1981 5:26:20 PM,30,0.05,-0.06,
4,16,10/5/2015 5:28:49 PM,Light,4/5/1981 5:26:32 PM,4/5/1981 5:28:39 PM,127,-0.04,-0.10,
4,17,10/5/2015 5:38:29 PM,Light,4/5/1981 5:38:03 PM,4/5/1981 5:38:19 PM,16,-0.06,-0.16,
4,18,10/5/2015 5:40:23 PM,Light,4/5/1981 5:38:49 PM,4/5/1981 5:40:13 PM,84,0.06,-0.10,
4,19,10/5/2015 5:43:11 PM,Light,4/5/1981 5:41:40 PM,4/5/1981 5:43:00 PM,80,-0.10,-0.20,
4,20,10/5/2015 5:44:41 PM,Light,4/5/1981 5:43:37 PM,4/5/1981 5:44:31 PM,54,0.07,-0.13,
4,21,10/5/2015 5:45:19 PM,Light,4/5/1981 5:44:45 PM,4/5/1981 5:45:08 PM,23,0.03,-0.10,
5,22,10/5/2015 5:47:30 PM,Light,4/5/1981 5:45:32 PM,4/5/1981 5:47:20 PM,108,-0.07,-0.16,
5,23,10/5/2015 5:51:09 PM,Light,4/5/1981 5:50:46 PM,4/5/1981 5:50:58 PM,12,0.04,-0.12,
5,24,10/5/2015 5:52:36 PM,Light,4/5/1981 5:52:04 PM,4/5/1981 5:52:26 PM,22,0.03,-0.08,
5,25,10/5/2015 5:53:56 PM,Light,4/5/1981 5:52:39 PM,4/5/1981 5:53:45 PM,66,-0.04,-0.12,
5,26,10/5/2015 6:00:22 PM,Light,4/5/1981 5:59:33 PM,4/5/1981 6:00:11 PM,38,-0.03,-0.15,
5,27,10/5/2015 6:04:04 PM,Light,4/5/1981 6:00:43 PM,4/5/1981 6:03:54 PM,191,0.03,-0.12,
5,28,10/5/2015 6:04:51 PM,Light,4/5/1981 6:04:36 PM,4/5/1981 6:04:41 PM,5,-0.13,-0.25,
5,29,10/5/2015 6:05:10 PM,Light,4/5/1981 6:04:54 PM,4/5/1981 6:04:59 PM,5,0.13,-0.13,
6,30,10/5/2015 6:06:32 PM,Light,4/5/1981 6:05:50 PM,4/5/1981 6:06:22 PM,32,-0.03,-0.16,
7,31,10/5/2015 6:45:36 PM,Light,4/5/1981 6:43:33 PM,4/5/1981 6:45:26 PM,113,-0.07,-0.23,
8,32,10/5/2015 6:47:41 PM,Light,4/5/1981 6:45:39 PM,4/5/1981 6:47:31 PM,112,0.05,-0.18,
8,33,10/5/2015 6:48:39 PM,Light,4/5/1981 6:47:45 PM,4/5/1981 6:48:29 PM,44,-0.07,-0.25,
8,34,10/5/2015 6:51:19 PM,Light,4/5/1981 6:49:36 PM,4/5/1981 6:51:09 PM,93,0.05,-0.19,
8,35,10/5/2015 6:56:14 PM,Light,4/5/1981 6:54:47 PM,4/5/1981 6:56:03 PM,76,-0.08,-0.28,
8,36,10/5/2015 6:58:19 PM,Light,4/5/1981 6:56:16 PM,4/5/1981 6:58:08 PM,112,0.05,-0.23,
9,37,10/5/2015 7:17:40 PM,Dark,4/5/1981 7:17:06 PM,4/5/1981 7:17:30 PM,24,-0.10,-0.33,
9,38,10/5/2015 7:20:11 PM,Dark,4/5/1981 7:18:09 PM,4/5/1981 7:20:01 PM,112,0.06,-0.27,
10,39,10/5/2015 7:29:27 PM,Dark,4/5/1981 7:27:59 PM,4/5/1981 7:29:17 PM,78,0.06,-0.21,
10,40,10/5/2015 7:30:45 PM,Dark,4/5/1981 7:29:30 PM,4/5/1981 7:30:34 PM,64,-0.07,-0.28,
10,41,10/5/2015 7:31:19 PM,Dark,4/5/1981 7:30:46 PM,4/5/1981 7:31:09 PM,23,-0.04,-0.32,
10,42,10/5/2015 7:38:26 PM,Dark,4/5/1981 7:34:56 PM,4/5/1981 7:38:15 PM,199,0.04,-0.28,
10,43,10/5/2015 7:39:38 PM,Dark,4/5/1981 7:38:37 PM,4/5/1981 7:39:28 PM,51,-0.04,-0.32,
10,44,10/5/2015 7:43:05 PM,Dark,4/5/1981 7:42:46 PM,4/5/1981 7:42:55 PM,9,0.15,-0.17,
11,45,10/5/2015 7:47:12 PM,Dark,4/5/1981 7:43:24 PM,4/5/1981 7:47:01 PM,217,-0.13,-0.30,
11,46,10/5/2015 7:47:30 PM,Dark,4/5/1981 7:47:13 PM,4/5/1981 7:47:19 PM,6,-0.04,-0.34,
11,47,10/5/2015 7:49:33 PM,Dark,4/5/1981 7:47:41 PM,4/5/1981 7:49:23 PM,102,0.08,-0.26,
11,48,10/5/2015 8:00:21 PM,Dark,4/5/1981 7:56:35 PM,4/5/1981 8:00:11 PM,216,-0.05,-0.31,
12,49,10/5/2015 8:07:49 PM,Dark,4/5/1981 8:05:53 PM,4/5/1981 8:07:38 PM,105,-0.07,-0.38,
12,50,10/5/2015 8:08:43 PM,Dark,4/5/1981 8:08:13 PM,4/5/1981 8:08:32 PM,19,0.04,-0.34,
12,51,10/5/2015 8:11:18 PM,Dark,4/5/1981 8:09:45 PM,4/5/1981 8:11:07 PM,82,-0.06,-0.40,
12,52,10/5/2015 8:13:04 PM,Dark,4/5/1981 8:11:56 PM,4/5/1981 8:12:54 PM,58,0.06,-0.34,
12,53,10/5/2015 8:20:24 PM,Dark,4/5/1981 8:17:19 PM,4/5/1981 8:20:13 PM,174,-0.07,-0.41,
12,54,10/5/2015 8:26:17 PM,Dark,4/5/1981 8:21:45 PM,4/5/1981 8:26:07 PM,262,0.10,-0.31,
13,55,10/5/2015 8:28:52 PM,Dark,4/5/1981 8:26:19 PM,4/5/1981 8:28:42 PM,143,-0.14,-0.45,
13,56,10/5/2015 8:29:32 PM,Dark,4/5/1981 8:28:59 PM,4/5/1981 8:29:22 PM,23,0.11,-0.34,
13,57,10/5/2015 8:33:22 PM,Dark,4/5/1981 8:30:36 PM,4/5/1981 8:33:11 PM,155,-0.08,-0.42,
13,58,10/5/2015 8:37:37 PM,Dark,4/5/1981 8:36:03 PM,4/5/1981 8:37:27 PM,84,0.08,-0.34,
14,59,10/5/2015 8:53:34 PM,Dark,4/5/1981 8:49:25 PM,4/5/1981 8:53:23 PM,238,-0.06,-0.40,
14,60,10/5/2015 9:04:12 PM,Dark,4/5/1981 8:54:13 PM,4/5/1981 9:04:01 PM,588,0.13,-0.27,
14,61,10/5/2015 9:05:07 PM,Dark,4/5/1981 9:04:24 PM,4/5/1981 9:04:56 PM,32,0.08,-0.18,
15,62,10/5/2015 9:18:33 PM,Dark,4/5/1981 9:15:10 PM,4/5/1981 9:18:22 PM,192,0.06,-0.12,
16,63,10/5/2015 9:34:02 PM,Dark,4/5/1981 9:31:11 PM,4/5/1981 9:33:51 PM,160,0.07,-0.05,
16,64,10/5/2015 9:37:39 PM,Dark,4/5/1981 9:34:15 PM,4/5/1981 9:37:28 PM,193,-0.11,-0.15,
16,65,10/5/2015 9:46:58 PM,Dark,4/5/1981 9:37:41 PM,4/5/1981 9:46:47 PM,546,0.10,-0.05,
17,66,10/5/2015 10:05:25 PM,Dark,4/5/1981 9:47:08 PM,4/5/1981 10:05:14 PM,1086,0.09,0.04,
18,67,10/5/2015 10:11:56 PM,Dark,4/5/1981 10:05:29 PM,4/5/1981 10:11:44 PM,375,-0.05,-0.01,
18,68,10/5/2015 10:15:02 PM,Dark,4/5/1981 10:11:57 PM,4/5/1981 10:14:52 PM,175,0.10,0.09,
18,69,10/5/2015 10:16:08 PM,Dark,4/5/1981 10:15:07 PM,4/5/1981 10:15:57 PM,50,-0.07,0.02,
18,70,10/5/2015 10:27:30 PM,Dark,4/5/1981 10:16:48 PM,4/5/1981 10:27:19 PM,631,0.14,0.16,
19,71,10/5/2015 10:40:12 PM,Dark,4/5/1981 10:27:43 PM,4/5/1981 10:40:01 PM,738,0.16,0.32,
19,72,10/5/2015 10:40:39 PM,Dark,4/5/1981 10:40:14 PM,4/5/1981 10:40:28 PM,14,-0.05,0.27,
20,73,10/5/2015 10:51:17 PM,Dark,4/5/1981 10:42:15 PM,4/5/1981 10:51:06 PM,531,0.13,0.39,
20,74,10/5/2015 10:53:46 PM,Dark,4/5/1981 10:53:29 PM,4/5/1981 10:53:35 PM,6,0.04,0.44,
20,75,10/5/2015 10:54:43 PM,Dark,4/5/1981 10:54:18 PM,4/5/1981 10:54:32 PM,14,-0.04,0.40,
20,76,10/5/2015 11:01:26 PM,Dark,4/5/1981 10:54:47 PM,4/5/1981 11:01:16 PM,389,0.10,0.49,
20,77,10/5/2015 11:02:48 PM,Dark,4/5/1981 11:01:54 PM,4/5/1981 11:02:38 PM,44,0.07,0.56,
21,78,10/5/2015 11:21:43 PM,Dark,4/5/1981 11:07:45 PM,4/5/1981 11:21:32 PM,827,0.13,0.69,
21,79,10/5/2015 11:27:20 PM,Dark,4/5/1981 11:22:14 PM,4/5/1981 11:27:10 PM,296,0.04,0.73,
22,80,10/5/2015 11:31:51 PM,Dark,4/5/1981 11:27:40 PM,4/5/1981 11:31:40 PM,240,0.05,0.78,
