Interval,Sample #,Date/Time,Light/Dark,Start Time,End Time,Duration (s),Weight (g),Accumulated (g),
1,1,10/5/2015 4:37:04 PM,Light,4/5/1981 4:33:56 PM,4/5/1981 4:36:54 PM,178,0.07,0.07,
1,2,10/5/2015 4:42:08 PM,Light,4/5/1981 4:37:08 PM,4/5/1981 4:41:58 PM,290,0.07,0.15,
1,3,10/5/2015 4:42:48 PM,Light,4/5/1981 4:42:17 PM,4/5/1981 4:42:37 PM,20,-0.22,-0.08,
2,4,10/5/2015 4:45:44 PM,Light,4/5/1981 4:42:50 PM,4/5/1981 4:45:33 PM,163,0.12,0.04,
2,5,10/5/2015 4:59:04 PM,Light,4/5/1981 4:45:48 PM,4/5/1981 4:58:53 PM,785,0.05,0.09,
2,6,10/5/2015 5:02:08 PM,Light,4/5/1981 5:01:00 PM,4/5/1981 5:01:57 PM,57,-0.03,0.06,
3,7,10/5/2015 5:19:36 PM,Light,4/5/1981 5:17:59 PM,4/5/1981 5:19:26 PM,87,-0.07,-0.01,
3,8,10/5/2015 5:24:59 PM,Light,4/5/1981 5:19:38 PM,4/5/1981 5:24:49 PM,311,0.11,0.10,
6,9,10/5/2015 6:21:51 PM,Light,4/5/1981 6:08:13 PM,4/5/1981 6:21:41 PM,808,0.06,0.16,
8,10,10/5/2015 6:49:41 PM,Light,4/5/1981 6:37:47 PM,4/5/1981 6:49:30 PM,703,-0.10,0.06,
8,11,10/5/2015 6:50:32 PM,Light,4/5/1981 6:49:42 PM,4/5/1981 6:50:21 PM,39,0.06,0.12,
8,12,10/5/2015 7:02:14 PM,Light,4/5/1981 6:51:21 PM,4/5/1981 7:02:04 PM,643,-0.04,0.08,
8,13,10/5/2015 7:03:23 PM,Light,4/5/1981 7:02:25 PM,4/5/1981 7:03:12 PM,47,0.03,0.11,
9,14,10/5/2015 7:16:05 PM,Dark,4/5/1981 7:03:24 PM,4/5/1981 7:15:55 PM,751,0.06,0.17,
9,15,10/5/2015 7:17:48 PM,Dark,4/5/1981 7:17:14 PM,4/5/1981 7:17:38 PM,24,-0.11,0.06,
10,16,10/5/2015 7:29:26 PM,Dark,4/5/1981 7:28:55 PM,4/5/1981 7:29:16 PM,21,-0.05,0.02,
10,17,10/5/2015 7:32:47 PM,Dark,4/5/1981 7:30:26 PM,4/5/1981 7:32:36 PM,130,0.12,0.13,
10,18,10/5/2015 7:44:27 PM,Dark,4/5/1981 7:43:31 PM,4/5/1981 7:44:16 PM,45,-0.05,0.08,
12,19,10/5/2015 8:10:17 PM,Dark,4/5/1981 7:56:58 PM,4/5/1981 8:10:06 PM,788,0.03,0.12,
12,20,10/5/2015 8:23:01 PM,Dark,4/5/1981 8:10:52 PM,4/5/1981 8:22:51 PM,719,0.10,0.21,
13,21,10/5/2015 8:35:42 PM,Dark,4/5/1981 8:24:59 PM,4/5/1981 8:35:32 PM,633,-0.12,0.10,
13,22,10/5/2015 8:36:39 PM,Dark,4/5/1981 8:35:45 PM,4/5/1981 8:36:28 PM,43,0.08,0.18,
14,23,10/5/2015 8:52:20 PM,Dark,4/5/1981 8:49:15 PM,4/5/1981 8:52:10 PM,175,-0.04,0.14,
15,24,10/5/2015 9:15:40 PM,Dark,4/5/1981 8:52:23 PM,4/5/1981 9:15:30 PM,1387,-0.07,0.07,
16,25,10/5/2015 9:29:40 PM,Dark,4/5/1981 9:17:23 PM,4/5/1981 9:29:29 PM,726,0.04,0.11,
17,26,10/5/2015 9:55:37 PM,Dark,4/5/1981 9:32:28 PM,4/5/1981 9:55:26 PM,1378,0.11,0.23,
17,27,10/5/2015 10:02:01 PM,Dark,4/5/1981 9:58:40 PM,4/5/1981 10:01:50 PM,190,-0.17,0.06,
17,28,10/5/2015 10:04:02 PM,Dark,4/5/1981 10:02:04 PM,4/5/1981 10:03:51 PM,107,0.08,0.14,
18,29,10/5/2015 10:08:55 PM,Dark,4/5/1981 10:04:11 PM,4/5/1981 10:08:44 PM,273,0.07,0.21,
