Interval,Sample #,Date/Time,Light/Dark,Start Time,End Time,Duration (s),Weight (g),Accumulated (g),
1,1,10/7/2015 3:41:43 PM,Light,4/7/1981 3:41:11 PM,4/7/1981 3:41:32 PM,21,-0.03,-0.03,
1,2,10/7/2015 3:49:31 PM,Light,4/7/1981 3:45:06 PM,4/7/1981 3:49:20 PM,254,-0.04,-0.07,
1,3,10/7/2015 3:51:40 PM,Light,4/7/1981 3:50:56 PM,4/7/1981 3:51:30 PM,34,-0.03,-0.10,
1,4,10/7/2015 4:04:41 PM,Light,4/7/1981 4:01:02 PM,4/7/1981 4:04:31 PM,209,0.14,0.04,
1,5,10/7/2015 4:05:16 PM,Light,4/7/1981 4:04:59 PM,4/7/1981 4:05:06 PM,7,-0.10,-0.06,
2,6,10/7/2015 4:16:22 PM,Light,4/7/1981 4:08:02 PM,4/7/1981 4:16:11 PM,489,0.11,0.05,
2,7,10/7/2015 4:20:15 PM,Light,4/7/1981 4:16:48 PM,4/7/1981 4:20:04 PM,196,0.04,0.10,
2,8,10/7/2015 4:20:51 PM,Light,4/7/1981 4:20:23 PM,4/7/1981 4:20:40 PM,17,0.05,0.15,
3,9,10/7/2015 4:51:04 PM,Light,4/7/1981 4:48:20 PM,4/7/1981 4:50:53 PM,153,-0.08,0.07,
3,10,10/7/2015 4:51:40 PM,Light,4/7/1981 4:51:15 PM,4/7/1981 4:51:29 PM,14,-0.09,-0.02,
3,11,10/7/2015 4:51:58 PM,Light,4/7/1981 4:51:41 PM,4/7/1981 4:51:47 PM,6,0.17,0.15,
3,12,10/7/2015 5:00:06 PM,Light,4/7/1981 4:56:31 PM,4/7/1981 4:59:55 PM,204,-0.04,0.11,
3,13,10/7/2015 5:09:06 PM,Light,4/7/1981 5:08:32 PM,4/7/1981 5:08:55 PM,23,0.03,0.14,
4,14,10/7/2015 5:23:58 PM,Light,4/7/1981 5:23:24 PM,4/7/1981 5:23:48 PM,24,0.11,0.25,
4,15,10/7/2015 5:24:51 PM,Light,4/7/1981 5:24:17 PM,4/7/1981 5:24:40 PM,23,-0.11,0.14,
