Interval,Sample #,Date/Time,Light/Dark,Start Time,End Time,Duration (s),Weight (g),Accumulated (g),
9,48,10/7/2015 8:22:02 PM,Dark,4/7/1981 8:16:09 PM,4/7/1981 8:21:52 PM,343,0.21,2.04,
9,49,10/7/2015 8:23:42 PM,Dark,4/7/1981 8:23:20 PM,4/7/1981 8:23:31 PM,11,-0.10,1.94,
9,50,10/7/2015 8:27:38 PM,Dark,4/7/1981 8:24:55 PM,4/7/1981 8:27:27 PM,152,0.07,2.01,
9,51,10/7/2015 8:29:12 PM,Dark,4/7/1981 8:28:53 PM,4/7/1981 8:29:01 PM,8,-0.09,1.93,
9,52,10/7/2015 8:30:14 PM,Dark,4/7/1981 8:29:33 PM,4/7/1981 8:30:03 PM,30,0.09,2.02,
9,53,10/7/2015 8:34:07 PM,Dark,4/7/1981 8:31:54 PM,4/7/1981 8:33:56 PM,122,-0.06,1.96,
10,54,10/7/2015 8:43:23 PM,Dark,4/7/1981 8:39:08 PM,4/7/1981 8:43:12 PM,244,0.18,2.14,
10,55,10/7/2015 8:44:58 PM,Dark,4/7/1981 8:44:05 PM,4/7/1981 8:44:47 PM,42,-0.06,2.08,
10,56,10/7/2015 8:49:07 PM,Dark,4/7/1981 8:48:28 PM,4/7/1981 8:48:56 PM,28,-0.05,2.03,
10,57,10/7/2015 8:55:55 PM,Dark,4/7/1981 8:49:19 PM,4/7/1981 8:55:44 PM,385,0.15,2.18,
10,58,10/7/2015 8:56:40 PM,Dark,4/7/1981 8:56:06 PM,4/7/1981 8:56:30 PM,24,-0.04,2.14,
10,59,10/7/2015 9:06:02 PM,Dark,4/7/1981 8:58:24 PM,4/7/1981 9:05:52 PM,448,0.25,2.39,
10,60,10/7/2015 9:08:31 PM,Dark,4/7/1981 9:08:01 PM,4/7/1981 9:08:21 PM,20,0.04,2.43,
11,61,10/7/2015 9:11:44 PM,Dark,4/7/1981 9:09:56 PM,4/7/1981 9:11:33 PM,97,0.08,2.51,
11,62,10/7/2015 9:13:13 PM,Dark,4/7/1981 9:12:32 PM,4/7/1981 9:13:02 PM,30,0.06,2.57,
11,63,10/7/2015 9:21:53 PM,Dark,4/7/1981 9:20:24 PM,4/7/1981 9:21:42 PM,78,-0.04,2.53,
11,64,10/7/2015 9:27:07 PM,Dark,4/7/1981 9:25:05 PM,4/7/1981 9:26:57 PM,112,0.11,2.64,
11,65,10/7/2015 9:34:00 PM,Dark,4/7/1981 9:32:38 PM,4/7/1981 9:33:49 PM,71,0.05,2.68,
11,66,10/7/2015 9:36:50 PM,Dark,4/7/1981 9:35:47 PM,4/7/1981 9:36:40 PM,53,0.03,2.72,
11,67,10/7/2015 9:39:07 PM,Dark,4/7/1981 9:38:14 PM,4/7/1981 9:38:57 PM,43,0.04,2.76,
12,68,10/7/2015 9:44:59 PM,Dark,4/7/1981 9:41:48 PM,4/7/1981 9:44:49 PM,181,0.05,2.81,
12,69,10/7/2015 9:47:31 PM,Dark,4/7/1981 9:46:14 PM,4/7/1981 9:47:21 PM,67,-0.14,2.67,
12,70,10/7/2015 9:49:36 PM,Dark,4/7/1981 9:48:57 PM,4/7/1981 9:49:26 PM,29,0.11,2.78,
12,71,10/7/2015 9:51:22 PM,Dark,4/7/1981 9:50:02 PM,4/7/1981 9:51:11 PM,69,0.06,2.84,
12,72,10/7/2015 9:53:43 PM,Dark,4/7/1981 9:53:14 PM,4/7/1981 9:53:32 PM,18,-0.12,2.73,
12,73,10/7/2015 9:55:31 PM,Dark,4/7/1981 9:54:42 PM,4/7/1981 9:55:21 PM,39,0.04,2.77,
12,74,10/7/2015 9:58:54 PM,Dark,4/7/1981 9:57:34 PM,4/7/1981 9:58:44 PM,70,-0.07,2.70,
12,75,10/7/2015 10:04:23 PM,Dark,4/7/1981 9:59:23 PM,4/7/1981 10:04:12 PM,289,0.12,2.82,
12,76,10/7/2015 10:06:48 PM,Dark,4/7/1981 10:06:15 PM,4/7/1981 10:06:37 PM,22,0.11,2.93,
12,77,10/7/2015 10:10:52 PM,Dark,4/7/1981 10:07:57 PM,4/7/1981 10:10:42 PM,165,0.05,2.98,
12,78,10/7/2015 10:14:40 PM,Dark,4/7/1981 10:12:50 PM,4/7/1981 10:14:29 PM,99,0.04,3.02,
13,79,10/7/2015 10:21:45 PM,Dark,4/7/1981 10:15:33 PM,4/7/1981 10:21:35 PM,362,0.11,3.13,
13,80,10/7/2015 10:27:27 PM,Dark,4/7/1981 10:26:25 PM,4/7/1981 10:27:16 PM,51,0.12,3.24,
13,81,10/7/2015 10:28:20 PM,Dark,4/7/1981 10:28:03 PM,4/7/1981 10:28:09 PM,6,-0.09,3.15,
13,82,10/7/2015 10:34:46 PM,Dark,4/7/1981 10:31:02 PM,4/7/1981 10:34:36 PM,214,0.17,3.33,
13,83,10/7/2015 10:40:14 PM,Dark,4/7/1981 10:38:32 PM,4/7/1981 10:40:03 PM,91,0.05,3.37,
13,84,10/7/2015 10:42:57 PM,Dark,4/7/1981 10:40:16 PM,4/7/1981 10:42:46 PM,150,-0.10,3.27,
