Interval,Sample #,Date/Time,Light/Dark,Start Time,End Time,Duration (s),Weight (g),Accumulated (g),
48,1,10/6/2015 8:20:39 AM,Light,4/6/1981 7:57:32 AM,4/6/1981 8:20:28 AM,1376,-0.18,-0.18,
49,2,10/6/2015 8:36:01 AM,Light,4/6/1981 8:20:59 AM,4/6/1981 8:35:51 AM,892,0.05,-0.12,
50,3,10/6/2015 8:59:10 AM,Light,4/6/1981 8:37:29 AM,4/6/1981 8:59:00 AM,1291,-0.08,-0.20,
50,4,10/6/2015 9:07:19 AM,Light,4/6/1981 8:59:14 AM,4/6/1981 9:07:08 AM,474,0.21,0.00,
53,5,10/6/2015 10:13:59 AM,Light,4/6/1981 9:07:25 AM,4/6/1981 10:13:48 AM,3983,0.35,0.35,
55,6,10/6/2015 10:52:29 AM,Light,4/6/1981 10:14:01 AM,4/6/1981 10:52:19 AM,2298,0.08,0.44,
58,7,10/6/2015 11:38:46 AM,Light,4/6/1981 10:52:32 AM,4/6/1981 11:38:35 AM,2763,-0.12,0.32,
65,8,10/6/2015 2:08:48 PM,Light,4/6/1981 1:30:25 PM,4/6/1981 2:08:37 PM,2292,-0.12,0.20,
100,9,10/7/2015 1:56:01 AM,Dark,4/6/1981 2:28:33 PM,4/7/1981 1:55:51 AM,41238,2.33,2.53,
111,10,10/7/2015 5:29:13 AM,Dark,4/7/1981 3:16:12 AM,4/7/1981 5:29:03 AM,7971,0.12,2.65,
112,11,10/7/2015 5:45:48 AM,Dark,4/7/1981 5:29:15 AM,4/7/1981 5:45:38 AM,983,0.24,2.89,
112,12,10/7/2015 5:58:51 AM,Dark,4/7/1981 5:45:57 AM,4/7/1981 5:58:40 AM,763,-0.13,2.76,
113,13,10/7/2015 6:05:23 AM,Dark,4/7/1981 5:58:51 AM,4/7/1981 6:05:12 AM,381,-0.05,2.71,
118,14,10/7/2015 8:02:43 AM,Light,4/7/1981 6:05:34 AM,4/7/1981 8:02:32 AM,7018,0.31,3.03,
120,15,10/7/2015 8:40:12 AM,Light,4/7/1981 8:03:21 AM,4/7/1981 8:40:02 AM,2201,-0.13,2.90,
121,16,10/7/2015 9:04:27 AM,Light,4/7/1981 8:42:43 AM,4/7/1981 9:04:17 AM,1294,0.08,2.98,
124,17,10/7/2015 10:00:34 AM,Light,4/7/1981 9:05:57 AM,4/7/1981 10:00:23 AM,3266,0.17,3.15,
125,18,10/7/2015 10:09:04 AM,Light,4/7/1981 10:00:38 AM,4/7/1981 10:08:52 AM,494,-0.17,2.98,
125,19,10/7/2015 10:15:45 AM,Light,4/7/1981 10:10:22 AM,4/7/1981 10:15:33 AM,311,-0.03,2.95,
125,20,10/7/2015 10:24:23 AM,Light,4/7/1981 10:18:30 AM,4/7/1981 10:24:13 AM,343,0.12,3.07,
125,21,10/7/2015 10:28:05 AM,Light,4/7/1981 10:26:29 AM,4/7/1981 10:27:54 AM,85,-0.24,2.83,
129,22,10/7/2015 11:37:38 AM,Light,4/7/1981 10:28:23 AM,4/7/1981 11:37:28 AM,4145,0.37,3.19,
129,23,10/7/2015 11:44:27 AM,Light,4/7/1981 11:37:49 AM,4/7/1981 11:44:17 AM,388,-0.04,3.15,
131,24,10/7/2015 12:17:43 PM,Light,4/7/1981 12:09:26 PM,4/7/1981 12:17:32 PM,486,0.06,3.22,
132,25,10/7/2015 12:39:56 PM,Light,4/7/1981 12:18:42 PM,4/7/1981 12:39:46 PM,1264,0.06,3.28,
132,26,10/7/2015 12:48:36 PM,Light,4/7/1981 12:43:23 PM,4/7/1981 12:48:26 PM,303,-0.12,3.16,
133,27,10/7/2015 1:04:48 PM,Light,4/7/1981 12:49:43 PM,4/7/1981 1:04:37 PM,894,-0.13,3.03,
134,28,10/7/2015 1:21:22 PM,Light,4/7/1981 1:06:30 PM,4/7/1981 1:21:11 PM,881,0.29,3.32,
136,29,10/7/2015 1:54:08 PM,Light,4/7/1981 1:22:00 PM,4/7/1981 1:53:58 PM,1918,-0.03,3.28,
136,30,10/7/2015 2:00:22 PM,Light,4/7/1981 1:54:54 PM,4/7/1981 2:00:12 PM,318,0.06,3.34,
136,31,10/7/2015 2:09:38 PM,Light,4/7/1981 2:00:25 PM,4/7/1981 2:09:27 PM,542,-0.06,3.29,
137,32,10/7/2015 2:18:40 PM,Light,4/7/1981 2:12:01 PM,4/7/1981 2:18:30 PM,389,-0.04,3.25,
139,33,10/7/2015 2:50:28 PM,,4/7/1981 2:20:01 PM,4/7/1981 2:50:17 PM,1816,0.10,3.35,
