"","age","animal.Alive","animal.Background","animal.Cage","animal.Cause_of_Death","animal.Gender","animal.Genotype","animal.MouseID","animal.age","animal.id","animal.strain.Strain","assay.assay","experiment.date","experiment.feeding_state","id","values","HighFatKnockout","Knockout"
"28",120,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; +/+",4092,188,9099,"Muscle TSC1","Total Fat Mass","2015-10-09","fed",60267,"2470",TRUE,"High Fat Diet"
"29",120,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; +/+",4092,188,9099,"Muscle TSC1","Lean Mass","2015-10-09","fed",60281,"15540",TRUE,"High Fat Diet"
"30",134,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; +/+",4092,188,9099,"Muscle TSC1","Body Weight","2015-10-23","fed",60285,"19800",TRUE,"High Fat Diet"
"31",134,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; +/+",4092,188,9099,"Muscle TSC1","Total Fat Mass","2015-10-23","fed",60311,"2390",TRUE,"High Fat Diet"
"32",134,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; +/+",4092,188,9099,"Muscle TSC1","Lean Mass","2015-10-23","fed",60323,"16460",TRUE,"High Fat Diet"
"33",151,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; +/+",4092,188,9099,"Muscle TSC1","Lean Mass","2015-11-09","fed",60441,"16520",TRUE,"High Fat Diet"
"34",162,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; +/+",4092,188,9099,"Muscle TSC1","Body Weight","2015-11-20","fed",60598,"21400",TRUE,"High Fat Diet"
"35",162,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; +/+",4092,188,9099,"Muscle TSC1","Total Fat Mass","2015-11-20","fed",60638,"3010",TRUE,"High Fat Diet"
"36",162,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; +/+",4092,188,9099,"Muscle TSC1","Lean Mass","2015-11-20","fed",60750,"17310",TRUE,"High Fat Diet"
"37",170,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; +/+",4092,188,9099,"Muscle TSC1","Body Weight","2015-11-28","fed",60841,"20800",TRUE,"High Fat Diet"
"38",170,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; +/+",4092,188,9099,"Muscle TSC1","Total Fat Mass","2015-11-28","fed",60872,"3350",TRUE,"High Fat Diet"
"39",170,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; +/+",4092,188,9099,"Muscle TSC1","Lean Mass","2015-11-28","fed",60903,"16580",TRUE,"High Fat Diet"
"40",176,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; +/+",4092,188,9099,"Muscle TSC1","Body Weight","2015-12-04","fed",61353,"22000",TRUE,"High Fat Diet"
"41",176,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; +/+",4092,188,9099,"Muscle TSC1","Total Fat Mass","2015-12-04","fed",61396,"3990",TRUE,"High Fat Diet"
"42",176,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; +/+",4092,188,9099,"Muscle TSC1","Lean Mass","2015-12-04","fed",61439,"16840",TRUE,"High Fat Diet"
"43",183,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; +/+",4092,188,9099,"Muscle TSC1","Body Weight","2015-12-11","fed",62155,"21500",TRUE,"High Fat Diet"
"44",183,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; +/+",4092,188,9099,"Muscle TSC1","Total Fat Mass","2015-12-11","fed",62219,"3510",TRUE,"High Fat Diet"
"45",183,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; +/+",4092,188,9099,"Muscle TSC1","Lean Mass","2015-12-11","fed",62263,"16880",TRUE,"High Fat Diet"
"46",187,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; +/+",4092,188,9099,"Muscle TSC1","Body Weight","2015-12-15","fed",62553,"22200",TRUE,"High Fat Diet"
"47",187,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; +/+",4092,188,9099,"Muscle TSC1","Total Fat Mass","2015-12-15","fed",62556,"3600",TRUE,"High Fat Diet"
"48",187,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; +/+",4092,188,9099,"Muscle TSC1","Lean Mass","2015-12-15","fed",62559,"17200",TRUE,"High Fat Diet"
"49",187,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; +/+",4092,188,9099,"Muscle TSC1","Plasma Glucose","2015-12-15","fed",62562,"131",TRUE,"High Fat Diet"
"50",188,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; +/+",4092,188,9099,"Muscle TSC1","Body Weight","2015-12-16","fasted",62565,"20600",TRUE,"High Fat Diet"
"51",188,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; +/+",4092,188,9099,"Muscle TSC1","Plasma Glucose","2015-12-16","fasted",62568,"80",TRUE,"High Fat Diet"
"52",70,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; Tg/+",4102,184,9109,"Muscle TSC1","Body Weight","2015-08-24","fed",52813,"18600",TRUE,"High Fat Diet"
"53",70,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; Tg/+",4102,184,9109,"Muscle TSC1","Total Fat Mass","2015-08-24","fed",52816,"2030",TRUE,"High Fat Diet"
"54",70,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; Tg/+",4102,184,9109,"Muscle TSC1","Lean Mass","2015-08-24","fed",52819,"15910",TRUE,"High Fat Diet"
"55",80,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; Tg/+",4102,184,9109,"Muscle TSC1","Body Weight","2015-09-03","fed",53578,"20500",TRUE,"High Fat Diet"
"56",80,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; Tg/+",4102,184,9109,"Muscle TSC1","Total Fat Mass","2015-09-03","fed",53581,"2960",TRUE,"High Fat Diet"
"57",80,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; Tg/+",4102,184,9109,"Muscle TSC1","Lean Mass","2015-09-03","fed",53584,"17080",TRUE,"High Fat Diet"
"58",137,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; Tg/+",4102,184,9109,"Muscle TSC1","Body Weight","2015-10-30","fed",58663,"23700",TRUE,"High Fat Diet"
"59",137,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; Tg/+",4102,184,9109,"Muscle TSC1","Total Fat Mass","2015-10-30","fed",58696,"2880",TRUE,"High Fat Diet"
