Interval,Sample #,Date/Time,Light/Dark,Start Time,End Time,Duration (s),Weight (g),Accumulated (g),
1,1,11/30/2015 4:06:07 PM,Light,11/30/2015 4:05:54 PM,11/30/2015 4:05:57 PM,3,-0.03,-0.03,
1,2,11/30/2015 4:07:10 PM,Light,11/30/2015 4:06:55 PM,11/30/2015 4:07:00 PM,5,-0.03,-0.06,
1,3,11/30/2015 4:13:22 PM,Light,11/30/2015 4:13:09 PM,11/30/2015 4:13:12 PM,3,0.11,0.04,
1,4,11/30/2015 4:13:46 PM,Light,11/30/2015 4:13:32 PM,11/30/2015 4:13:36 PM,4,-0.07,-0.03,
1,5,11/30/2015 4:15:04 PM,Light,11/30/2015 4:14:14 PM,11/30/2015 4:14:53 PM,39,0.04,0.01,
1,6,11/30/2015 4:21:12 PM,Light,11/30/2015 4:20:56 PM,11/30/2015 4:21:01 PM,5,-0.05,-0.04,
1,7,11/30/2015 4:28:40 PM,Light,11/30/2015 4:28:24 PM,11/30/2015 4:28:29 PM,5,-0.09,-0.13,
1,8,11/30/2015 4:29:04 PM,Light,11/30/2015 4:28:40 PM,11/30/2015 4:28:53 PM,13,0.03,-0.09,
2,9,11/30/2015 4:35:24 PM,Light,11/30/2015 4:35:04 PM,11/30/2015 4:35:14 PM,10,-0.05,-0.14,
2,10,11/30/2015 4:35:52 PM,Light,11/30/2015 4:35:28 PM,11/30/2015 4:35:41 PM,13,0.07,-0.07,
2,11,11/30/2015 4:46:52 PM,Light,11/30/2015 4:46:34 PM,11/30/2015 4:46:41 PM,7,-0.08,-0.15,
2,12,11/30/2015 4:51:34 PM,Light,11/30/2015 4:50:54 PM,11/30/2015 4:51:24 PM,30,0.09,-0.07,
3,13,11/30/2015 4:57:51 PM,Light,11/30/2015 4:57:34 PM,11/30/2015 4:57:40 PM,6,-0.25,-0.31,
3,14,11/30/2015 4:58:16 PM,Light,11/30/2015 4:57:51 PM,11/30/2015 4:58:05 PM,14,0.26,-0.05,
3,15,11/30/2015 4:58:59 PM,Light,11/30/2015 4:58:22 PM,11/30/2015 4:58:48 PM,26,-0.05,-0.10,
4,16,11/30/2015 5:23:52 PM,Light,11/30/2015 5:22:45 PM,11/30/2015 5:23:42 PM,57,-0.05,-0.15,
4,17,11/30/2015 5:36:14 PM,Light,11/30/2015 5:35:48 PM,11/30/2015 5:36:03 PM,15,-0.11,-0.26,
4,18,11/30/2015 5:36:57 PM,Light,11/30/2015 5:36:16 PM,11/30/2015 5:36:46 PM,30,0.12,-0.14,
5,19,11/30/2015 5:49:18 PM,Light,11/30/2015 5:49:04 PM,11/30/2015 5:49:07 PM,3,-0.07,-0.21,
5,20,11/30/2015 5:50:19 PM,Light,11/30/2015 5:49:51 PM,11/30/2015 5:50:07 PM,16,-0.10,-0.30,
5,21,11/30/2015 6:02:35 PM,Light,11/30/2015 6:01:45 PM,11/30/2015 6:02:25 PM,40,0.12,-0.18,
6,22,11/30/2015 6:16:34 PM,Light,11/30/2015 6:15:37 PM,11/30/2015 6:16:22 PM,45,-0.08,-0.26,
6,23,11/30/2015 6:29:38 PM,Light,11/30/2015 6:29:22 PM,11/30/2015 6:29:27 PM,5,0.05,-0.21,
7,24,11/30/2015 6:43:17 PM,Light,11/30/2015 6:43:01 PM,11/30/2015 6:43:06 PM,5,-0.08,-0.29,
7,25,11/30/2015 6:43:55 PM,Light,11/30/2015 6:43:30 PM,11/30/2015 6:43:45 PM,15,0.09,-0.20,
7,26,11/30/2015 6:48:25 PM,Light,11/30/2015 6:48:07 PM,11/30/2015 6:48:14 PM,7,-0.09,-0.30,
8,27,11/30/2015 7:16:30 PM,Dark,11/30/2015 7:16:03 PM,11/30/2015 7:16:20 PM,17,0.04,-0.26,
8,28,11/30/2015 7:24:45 PM,Dark,11/30/2015 7:24:29 PM,11/30/2015 7:24:34 PM,5,0.08,-0.18,
8,29,11/30/2015 7:25:20 PM,Dark,11/30/2015 7:24:56 PM,11/30/2015 7:25:10 PM,14,-0.11,-0.29,
8,30,11/30/2015 7:25:45 PM,Dark,11/30/2015 7:25:23 PM,11/30/2015 7:25:35 PM,12,0.11,-0.18,
9,31,11/30/2015 7:38:30 PM,Dark,11/30/2015 7:38:04 PM,11/30/2015 7:38:19 PM,15,-0.26,-0.44,
9,32,11/30/2015 7:52:07 PM,Dark,11/30/2015 7:51:44 PM,11/30/2015 7:51:57 PM,13,0.11,-0.33,
10,33,11/30/2015 8:05:06 PM,Dark,11/30/2015 8:04:50 PM,11/30/2015 8:04:55 PM,5,0.07,-0.27,
10,34,11/30/2015 8:05:30 PM,Dark,11/30/2015 8:05:18 PM,11/30/2015 8:05:20 PM,2,-0.05,-0.32,
12,35,11/30/2015 8:53:41 PM,Dark,11/30/2015 8:53:24 PM,11/30/2015 8:53:30 PM,6,0.05,-0.27,
12,36,11/30/2015 9:00:52 PM,Dark,11/30/2015 9:00:38 PM,11/30/2015 9:00:41 PM,3,-0.14,-0.41,
13,37,11/30/2015 9:15:51 PM,Dark,11/30/2015 9:15:31 PM,11/30/2015 9:15:41 PM,10,0.04,-0.36,
13,38,11/30/2015 9:25:16 PM,Dark,11/30/2015 9:24:23 PM,11/30/2015 9:25:06 PM,43,0.11,-0.25,
13,39,11/30/2015 9:25:36 PM,Dark,11/30/2015 9:25:20 PM,11/30/2015 9:25:26 PM,6,-0.06,-0.31,
13,40,11/30/2015 9:29:32 PM,Dark,11/30/2015 9:28:15 PM,11/30/2015 9:29:22 PM,67,-0.04,-0.35,
14,41,11/30/2015 9:41:13 PM,Dark,11/30/2015 9:39:52 PM,11/30/2015 9:41:02 PM,70,0.09,-0.25,
14,42,11/30/2015 9:45:49 PM,Dark,11/30/2015 9:45:31 PM,11/30/2015 9:45:38 PM,7,-0.05,-0.30,
14,43,11/30/2015 9:46:27 PM,Dark,11/30/2015 9:45:51 PM,11/30/2015 9:46:16 PM,25,0.04,-0.26,
14,44,11/30/2015 9:53:53 PM,Dark,11/30/2015 9:53:10 PM,11/30/2015 9:53:42 PM,32,-0.08,-0.34,
14,45,11/30/2015 9:55:38 PM,Dark,11/30/2015 9:55:21 PM,11/30/2015 9:55:28 PM,7,0.08,-0.26,
15,46,11/30/2015 10:10:28 PM,Dark,11/30/2015 10:09:47 PM,11/30/2015 10:10:17 PM,30,-0.06,-0.32,
15,47,11/30/2015 10:20:03 PM,Dark,11/30/2015 10:19:49 PM,11/30/2015 10:19:53 PM,4,-0.03,-0.35,
15,48,11/30/2015 10:20:21 PM,Dark,11/30/2015 10:20:06 PM,11/30/2015 10:20:11 PM,5,0.04,-0.30,
15,49,11/30/2015 10:21:27 PM,Dark,11/30/2015 10:21:01 PM,11/30/2015 10:21:14 PM,13,0.05,-0.25,
15,50,11/30/2015 10:26:15 PM,Dark,11/30/2015 10:25:55 PM,11/30/2015 10:26:05 PM,10,-0.08,-0.32,
16,51,11/30/2015 10:45:20 PM,Dark,11/30/2015 10:44:48 PM,11/30/2015 10:45:09 PM,21,0.07,-0.25,
17,52,11/30/2015 10:58:46 PM,Dark,11/30/2015 10:57:26 PM,11/30/2015 10:58:36 PM,70,-0.07,-0.32,
17,53,11/30/2015 11:01:17 PM,Dark,11/30/2015 11:01:02 PM,11/30/2015 11:01:07 PM,5,-0.06,-0.38,
17,54,11/30/2015 11:08:52 PM,Dark,11/30/2015 11:08:36 PM,11/30/2015 11:08:41 PM,5,0.06,-0.32,
18,55,11/30/2015 11:41:19 PM,Dark,11/30/2015 11:41:05 PM,11/30/2015 11:41:08 PM,3,-0.07,-0.40,
19,56,11/30/2015 11:47:50 PM,Dark,11/30/2015 11:47:34 PM,11/30/2015 11:47:39 PM,5,0.09,-0.31,
19,57,11/30/2015 11:48:20 PM,Dark,11/30/2015 11:47:53 PM,11/30/2015 11:48:09 PM,16,0.04,-0.27,
19,58,11/30/2015 11:51:02 PM,Dark,11/30/2015 11:50:30 PM,11/30/2015 11:50:52 PM,22,-0.04,-0.32,
